Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-38.5953,0.2598452307692308,0.02208976975190796,13,0.2161216,0.22294,0.253297,0.267208,0.271914,0.28606919999999997,0.29499864,0.2672203636363637,0.029998538500485308,88,0.20822272,0.21638580000000002,0.24615725,0.2685255,0.290411,0.3160368,0.32258741,0.29999000881057286,0.03780897048320573,227,0.21923624,0.24509340000000002,0.2744945,0.298702,0.323184,0.36179069999999997,0.3839567400000001
-37.5953,0.25188692307692306,0.02164600998822315,13,0.21325188,0.2158914,0.247621,0.254739,0.262887,0.27785519999999997,0.28456224,0.25576704545454554,0.027869070894571385,88,0.20001663,0.21099405,0.23636174999999998,0.256397,0.27597499999999997,0.29943355,0.30712878,0.29033847577092514,0.03797767293025494,227,0.20683802,0.2348582,0.2653125,0.289494,0.314358,0.35435259999999996,0.37333368
-36.5953,0.24694223076923075,0.021878334733071162,13,0.2101388,0.211598,0.245037,0.24878,0.25587,0.2770686,0.27998652,0.2483691704545456,0.02605152730635192,88,0.19488757999999998,0.209857,0.228703,0.2515485,0.265837,0.29243945,0.29949911999999995,0.28422149779735684,0.03884300891031556,227,0.20421736000000001,0.229482,0.258927,0.281986,0.3076845,0.3538378,0.37015052
-35.5953,0.24533469230769234,0.022615814066653358,13,0.21031339999999998,0.21065899999999999,0.242799,0.246312,0.250929,0.28085879999999996,0.28440215999999996,0.24530100000000007,0.02458290514008539,88,0.19919148,0.21073085,0.2286035,0.2421375,0.26287225000000003,0.2863149,0.29735605,0.281912079295154,0.03952222763802112,227,0.20317112,0.2257825,0.256173,0.278387,0.304895,0.35001799999999994,0.37288758
-34.5953,0.2440344615384616,0.024256889185052106,13,0.206618,0.21287,0.238266,0.242125,0.248561,0.28388319999999995,0.29788144,0.24184970454545446,0.023900387954894412,88,0.19529121,0.2068427,0.2248575,0.239356,0.25940375,0.28674639999999996,0.30027848,0.2792135462555067,0.04058393197574366,227,0.19571816,0.2198523,0.24958249999999998,0.275248,0.3044055,0.34835049999999995,0.37475166000000004
-33.5953,0.2456961538461538,0.026452150548509766,13,0.20711684,0.2184962,0.229747,0.243804,0.246867,0.2901885999999999,0.31149051999999994,0.243057375,0.024066057815226086,88,0.19332217999999998,0.20641785,0.22710775,0.243014,0.25627025000000003,0.28794369999999997,0.30209034,0.2810650484581498,0.040706259249320156,227,0.19900176,0.22313370000000002,0.250504,0.276301,0.30636850000000004,0.3528096,0.38496156000000004
-32.5953,0.25049484615384615,0.0267861573169369,13,0.21357147999999998,0.21888939999999998,0.241977,0.248327,0.253418,0.29502139999999993,0.31840267999999994,0.24869343181818196,0.023875112836609067,88,0.19900286,0.2079441,0.23177875,0.250766,0.2627695,0.29364545,0.30598247,0.2860689823788546,0.03943017410427569,227,0.20514532000000002,0.23274989999999998,0.25719250000000005,0.281162,0.3125825,0.3588457,0.38684792
-31.5953,0.2546773846153846,0.025580041593458693,13,0.21990368000000002,0.2228264,0.242837,0.252465,0.261745,0.2946365999999999,0.31736651999999993,0.2542573181818181,0.023332312829348105,88,0.20773629,0.21630560000000001,0.237757,0.255083,0.26574175,0.29654395,0.31363234,0.2900609074889869,0.038034344248594684,227,0.21367122,0.240958,0.26201450000000004,0.283215,0.314535,0.35875219999999997,0.38707618
-30.5953,0.253902,0.02349464953274823,13,0.21768992,0.2255096,0.2402,0.254092,0.262021,0.28779759999999993,0.30910911999999996,0.2555296136363636,0.022934936744150893,88,0.20911199,0.21859314999999999,0.240715,0.2537915,0.26867175,0.29499614999999996,0.31117453999999994,0.2894658810572687,0.03710989731206944,227,0.21684886,0.2430016,0.26351749999999996,0.284214,0.31091199999999997,0.358985,0.3824766200000001
-29.5953,0.2480376923076923,0.021109827649638358,13,0.2125678,0.217771,0.239163,0.247158,0.255605,0.27628699999999995,0.2951174,0.2511094431818182,0.022860748905612654,88,0.20736453,0.21686054999999999,0.2350335,0.250548,0.2635025,0.29363844999999994,0.30404754999999994,0.2833236035242291,0.03678107017265337,227,0.2103328,0.2321171,0.258251,0.279079,0.303858,0.35223829999999995,0.36774374000000004
-28.5953,0.23959776923076925,0.019424249767382034,13,0.2073102,0.209391,0.231406,0.241303,0.244478,0.26843419999999996,0.28117484,0.24255773863636368,0.023079150638017056,88,0.20305567000000002,0.21114995,0.22410850000000002,0.24159799999999998,0.2572545,0.28206489999999995,0.29908808,0.2730529339207048,0.03675839322696733,227,0.20259372,0.2196391,0.247366,0.267823,0.291061,0.34441489999999997,0.36653038
-27.5953,0.23027069230769232,0.018630569374841158,13,0.2014028,0.203498,0.222312,0.23084,0.23758,0.2602772,0.26952584,0.23156764772727279,0.02369568218781097,88,0.19313493,0.19882115,0.214534,0.230438,0.247172,0.2738491,0.2910716,0.2605791982378853,0.037129801161378935,227,0.19221958,0.20555589999999999,0.23524499999999998,0.256221,0.277093,0.3298929,0.35901684
-26.5953,0.2210270769230769,0.019920300100071855,13,0.19197324000000002,0.1975182,0.208195,0.221218,0.228074,0.25426419999999994,0.26395443999999996,0.21976409090909096,0.024441728694547107,88,0.17626007,0.18252405000000002,0.20177725000000002,0.2183475,0.23643775,0.26434059999999987,0.27796471,0.2475494361233481,0.0378604965001538,227,0.17564942,0.1911425,0.224633,0.242598,0.26604099999999997,0.3185906,0.34108466000000004
