Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-37.4867,0.4441902692307692,0.10786139202015063,26,0.21841975000000002,0.27570525,0.39157775,0.425548,0.48493575,0.63571325,0.66422775,0.4480867623762376,0.06592912050469786,101,0.344687,0.347877,0.402183,0.436159,0.476038,0.566127,0.619231,0.4776289246268657,0.07913656657835351,268,0.28343201,0.35021025,0.4258685,0.4799955,0.52645225,0.6007501499999999,0.6516037299999998
-36.4867,0.4392696923076923,0.09889159195432916,26,0.2497605,0.29147775,0.3821515,0.4215715,0.48838975,0.61964625,0.673635,0.44568892079207933,0.06291917938938542,101,0.341576,0.365189,0.404179,0.435691,0.476094,0.553789,0.637999,0.4764872835820896,0.0738205459806792,268,0.28490581000000004,0.36078364999999996,0.42876825,0.4811345,0.52801175,0.5935308499999999,0.62637597
-35.4867,0.43297996153846147,0.09246483083009703,26,0.266526,0.30197725000000003,0.37651425000000005,0.4151925,0.471016,0.5967745,0.6752505,0.44383325742574226,0.06040711968843631,101,0.340317,0.367048,0.409895,0.434261,0.467799,0.538083,0.646939,0.47452156343283586,0.06918160042834672,268,0.28094093000000003,0.37190375000000003,0.43017774999999997,0.477018,0.52588925,0.58578085,0.62506503
-34.4867,0.4268874615384615,0.08846509107720663,26,0.27521225,0.30773875,0.37249774999999996,0.413672,0.4585415,0.57708675,0.6741742500000001,0.44221696039603964,0.0590450905146094,101,0.345654,0.365842,0.408022,0.433914,0.465898,0.528448,0.657743,0.472432473880597,0.06638995219842704,268,0.28285091,0.37120395,0.42885225,0.47370650000000003,0.5196015,0.5730010999999999,0.6140650799999996
-33.4867,0.4195249615384614,0.08609450128433559,26,0.280165,0.31131675000000003,0.367574,0.414018,0.44217249999999997,0.5540120000000001,0.6730532499999999,0.4400941485148516,0.05871120190787891,101,0.347895,0.3701,0.406647,0.428267,0.464049,0.513867,0.669869,0.46975855597014926,0.06459699095756812,268,0.29233353,0.37234305,0.42529249999999996,0.4698895,0.516075,0.5674157,0.6132712599999998
-32.4867,0.4109667307692307,0.08614207550764386,26,0.27914025,0.30908725000000004,0.359292,0.4078055,0.4447435,0.5266127500000001,0.6750385,0.4374896039603962,0.05837179772545629,101,0.341237,0.359915,0.405249,0.430131,0.459,0.507497,0.67597,0.466252197761194,0.06330602897602687,268,0.29648593,0.36802165000000003,0.42299475000000003,0.46764,0.5099035000000001,0.5635587999999999,0.6123583499999998
-31.4867,0.40212723076923074,0.0871514181040367,26,0.270202,0.2999845,0.35641425000000004,0.39144650000000003,0.43432125,0.50003475,0.671559,0.4339139702970299,0.057638447298215004,101,0.337014,0.368741,0.404567,0.423432,0.456057,0.519343,0.668598,0.4613840111940299,0.06217811262276673,268,0.30620394,0.36221715,0.41842725000000003,0.45985200000000004,0.50669025,0.5609681999999999,0.61236569
-30.4867,0.3928043461538461,0.08843312522395318,26,0.25996025,0.284867,0.349283,0.377193,0.4327645,0.47686325,0.6639167499999999,0.4288609702970297,0.05626416220996372,101,0.33253,0.364478,0.398371,0.416158,0.453061,0.529721,0.615608,0.45481475,0.061041770249554844,268,0.31188845,0.35686894999999996,0.41457774999999997,0.45069349999999997,0.495537,0.5563186499999999,0.6036685499999999
-29.4867,0.3831947692307692,0.09023157306367109,26,0.25060075,0.27035725,0.3337695,0.3733585,0.4152755,0.471491,0.65927275,0.4219271683168318,0.054550001745383894,101,0.325772,0.360353,0.390354,0.411178,0.440067,0.522056,0.598172,0.44611881343283577,0.05992372511843645,268,0.30770003,0.3530745,0.405045,0.441611,0.48588775,0.55087115,0.5862698599999999
-28.4867,0.373919153846154,0.09104570556097297,26,0.24428075,0.26015425000000003,0.33170849999999996,0.369498,0.40051950000000003,0.48853275,0.65818975,0.41368701980198036,0.05232013696847137,101,0.313876,0.349747,0.383493,0.407103,0.431625,0.512369,0.576923,0.4358833619402985,0.05863543249797271,268,0.31208962,0.34717835,0.3946335,0.4323175,0.47176700000000005,0.53844635,0.5637087799999999
-27.4867,0.3656961153846154,0.09031256307660719,26,0.240744,0.253013,0.32516599999999996,0.356874,0.38753150000000003,0.49937174999999995,0.6499575,0.40495557425742584,0.04959805692430834,101,0.304607,0.345209,0.375835,0.398937,0.425167,0.486525,0.547035,0.42447620522388063,0.05735406058146576,268,0.30485856,0.33519285,0.383065,0.42041799999999996,0.45885224999999996,0.52048745,0.5503037299999998
-26.4867,0.35906588461538463,0.08816253997308694,26,0.23736075,0.2469495,0.3209395,0.3471225,0.38375275,0.502773,0.63605925,0.3966351584158417,0.046953502873956623,101,0.299229,0.339355,0.36713,0.392653,0.416932,0.47199,0.52317,0.41268052985074627,0.05673442496729734,268,0.29595978,0.32286875000000004,0.3722295,0.4093735,0.44635525,0.5107475,0.5414145599999998
-25.4867,0.3543541923076923,0.08380280469961336,26,0.23560899999999999,0.24683875,0.31745075,0.34121199999999996,0.3826495,0.49448875000000003,0.6151530000000001,0.389491306930693,0.044350617902289155,101,0.299074,0.333786,0.35899,0.384912,0.414283,0.455994,0.512988,0.4011511828358209,0.05676078317372423,268,0.29043585,0.31186325,0.36358,0.3971675,0.43753725,0.49916084999999993,0.54692509
-24.4867,0.35164488461538457,0.07731500582491185,26,0.23604725,0.247534,0.3148125,0.334486,0.382894,0.4773055,0.58657775,0.3840668910891089,0.041912079165295775,101,0.298451,0.325619,0.354537,0.384995,0.408572,0.44088,0.502277,0.3906919440298508,0.05682518255700817,268,0.2801249,0.2986629,0.35191825,0.38624400000000003,0.4288645,0.48535025,0.5385624799999998
-23.4867,0.35124826923076924,0.069405518520393,26,0.24091600000000002,0.25318475,0.31373724999999997,0.338343,0.38004475,0.45646125,0.5541437499999999,0.3812103069306932,0.04021027356105466,101,0.302721,0.315542,0.353872,0.380972,0.406621,0.441057,0.493427,0.38251175,0.056600978670032116,268,0.27090346,0.28924555,0.34317925,0.37848550000000003,0.42077225,0.4754921,0.5310034599999998
-22.4867,0.35310326923076923,0.06085614411745633,26,0.25119075,0.2646515,0.320058,0.343352,0.3785215,0.43775375,0.52157225,0.38090092079207927,0.03902417413903417,101,0.306392,0.318669,0.355045,0.380789,0.406855,0.429343,0.488836,0.37706327238805964,0.05595971485335319,268,0.26365362999999997,0.2882444,0.3362365,0.3754035,0.41344175,0.47062799999999994,0.5220732399999998
-21.4867,0.3566702307692307,0.052729332495913654,26,0.2658275,0.27822874999999997,0.32710449999999996,0.35643250000000004,0.3861415,0.42220475,0.49014,0.38242583168316846,0.038664882909966065,101,0.308669,0.334357,0.353151,0.38007,0.407026,0.443789,0.484932,0.37482505970149255,0.055284846219122996,268,0.26261126,0.2859503,0.33583675,0.37658250000000004,0.40943675,0.46028794999999995,0.5098781099999999
-20.4867,0.3619309615384616,0.04615773143253968,26,0.28528075,0.29391,0.3278745,0.36271200000000003,0.39841925,0.42043875,0.46718325,0.3855808613861386,0.039214155106805426,101,0.314733,0.323547,0.361411,0.384699,0.406694,0.451942,0.484141,0.3758016119402985,0.054649813068944425,268,0.25967144000000003,0.28884945,0.3357265,0.38076449999999995,0.41095624999999997,0.4680261,0.5025796499999999
-19.4867,0.36878834615384615,0.04292725924253008,26,0.30751675,0.31168724999999997,0.3283975,0.370268,0.401172,0.42962599999999995,0.4561405,0.3892837722772277,0.04086938857357208,101,0.311766,0.327899,0.362283,0.390144,0.414926,0.454578,0.497983,0.3791500671641791,0.05400000596028511,268,0.26103067999999996,0.29392045,0.3383425,0.38236749999999997,0.416632,0.47097595,0.50010566
-18.4867,0.3765308076923076,0.04276459163842838,26,0.3214855,0.32330175,0.33451125000000004,0.3711185,0.409321,0.449988,0.45974125,0.3923959603960398,0.042861353821577027,101,0.307543,0.3281,0.363045,0.391484,0.421135,0.473218,0.502261,0.38323115298507465,0.053274832136279815,268,0.26939603,0.2972848,0.3442145,0.3865525,0.41880175000000003,0.46917999999999993,0.49447134
-17.4867,0.383862,0.04440632023034559,26,0.32078,0.32730775,0.344551,0.37644849999999996,0.41598025,0.448663,0.47775725,0.39386462376237635,0.04486033623432876,101,0.304661,0.322351,0.363189,0.390256,0.422821,0.471324,0.493994,0.38603878358208954,0.05287395790781018,268,0.27517544,0.29774345,0.34775725,0.3884095,0.4238015,0.46977199999999997,0.4920595099999999
-16.4867,0.390031423076923,0.04657028745556384,26,0.3208885,0.329963,0.349687,0.3898335,0.4182615,0.4562845,0.49282525000000005,0.392886514851485,0.04650693201332762,101,0.305802,0.322654,0.360817,0.387894,0.418129,0.478477,0.503448,0.38688048507462686,0.05256325811616221,268,0.27407457,0.29956995,0.35094075,0.3896155,0.42592725,0.47119095,0.48753843999999974
-15.4867,0.39391530769230776,0.04784249689200532,26,0.32292525,0.33120299999999997,0.35478775,0.3938375,0.421146,0.470308,0.5041195,0.38911346534653457,0.047518647901547945,101,0.308629,0.324587,0.354542,0.384039,0.416533,0.477544,0.507613,0.3842447276119403,0.051837381794849584,268,0.264275,0.30152045,0.347366,0.38465550000000004,0.42542025,0.4629604,0.48764561999999984
-14.4867,0.393234,0.04803492253600499,26,0.3230845,0.32855650000000003,0.35687749999999996,0.386558,0.4252005,0.47288575,0.5018295,0.3825674059405941,0.04799481018947324,101,0.311362,0.322376,0.34616,0.372191,0.406232,0.47621,0.503508,0.3776763880597015,0.05050361586630894,268,0.25682710999999997,0.2988637,0.34158,0.376729,0.4188085,0.45586564999999996,0.47701435999999986
