Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-37.4867,0.30080375,0.16878668688278312,16,0.11645345,0.15245525,0.19190200000000002,0.25956599999999996,0.299591,0.65247225,0.65873205,0.3037392727272728,0.11879433214842967,88,0.14917552,0.18151105,0.21885475000000001,0.2648475,0.37442450000000005,0.5044606999999998,0.6757776199999997,0.38956893396226416,0.12175657450366964,212,0.23115155,0.2431007,0.28951475000000004,0.361813,0.46676375000000003,0.6147345499999999,0.6782010299999999
-36.4867,0.2939704375,0.15603765410351814,16,0.12262574999999999,0.15699675,0.192271,0.25625299999999995,0.30778075,0.621711,0.6411246,0.29861717045454544,0.10382173551484988,88,0.1546931,0.1877779,0.22895875,0.267934,0.356491,0.4825655999999999,0.6475480399999998,0.38670600471698113,0.11174264742602634,212,0.23472543999999998,0.24899065,0.29914850000000004,0.3654325,0.46508875,0.58386225,0.6756973499999995
-35.4867,0.284145875,0.14405869070434454,16,0.12689865,0.15580125,0.18653475,0.2460235,0.3032325,0.58560225,0.61861005,0.2953156704545455,0.09199343782515224,88,0.16062990000000002,0.19025955,0.2337315,0.27477300000000004,0.35047225,0.4542292999999999,0.6134934999999999,0.38341496698113176,0.10206558601103585,212,0.23901497,0.25328110000000004,0.305445,0.3646475,0.451989,0.5651321499999999,0.6602155499999993
-34.4867,0.2773416249999999,0.1348515771045461,16,0.13073335,0.15545874999999998,0.18276625,0.2387865,0.30662375000000003,0.54894925,0.60409225,0.293037215909091,0.08579094050226511,88,0.16552112,0.18866375000000002,0.2356965,0.275405,0.33578225,0.4271952,0.5678730499999998,0.37988788207547164,0.09555353491136327,212,0.24068465,0.25667685,0.3024205,0.361529,0.44870299999999996,0.5507772,0.6445024199999994
-33.4867,0.26907349999999997,0.125147865300212,16,0.13432670000000002,0.1554815,0.18473,0.232001,0.3086645,0.50937175,0.5843279499999999,0.2905774204545455,0.08213935990527789,88,0.17112767,0.18753225,0.23558225,0.2769495,0.31889825,0.43650259999999996,0.5401228299999996,0.37565655188679253,0.09052273593992521,212,0.240107,0.2600437,0.3047725,0.35757249999999996,0.43806100000000003,0.54345495,0.61155186
-32.4867,0.258444375,0.11316184051871608,16,0.13814535,0.15624675,0.18461725,0.2283925,0.29100400000000004,0.45854425,0.55487605,0.28847318181818166,0.08046246036100234,88,0.17623271000000001,0.1866501,0.232316,0.27002800000000005,0.32017175000000003,0.44209999999999994,0.5499951399999997,0.37111269811320735,0.0870943191097333,212,0.23860087,0.2607438,0.30605174999999996,0.3540355,0.42705475000000004,0.5329639999999999,0.59732266
-31.4867,0.24852606249999998,0.10384569758217799,16,0.14017805,0.15368225000000002,0.18282925,0.2253595,0.27018325,0.41595275,0.5246073499999999,0.2861449431818182,0.08104673022786867,88,0.178991,0.19474835000000001,0.2331145,0.271158,0.31947025,0.44016429999999984,0.5552408399999996,0.3652831981132075,0.08496203307615996,212,0.23445732,0.2594632,0.30075050000000003,0.34833400000000003,0.42651325,0.52525055,0.5657371099999998
-30.4867,0.2390933125,0.09530463627877275,16,0.14112515,0.15048575,0.1825445,0.221619,0.24633275,0.42666875,0.49223614999999993,0.2831565454545455,0.08290550853111335,88,0.17813845,0.19528484999999998,0.22917774999999999,0.26381849999999996,0.3073895,0.4308535,0.5540318199999996,0.35823291981132077,0.08332774860422255,212,0.22958794,0.25561725,0.29331725,0.3411055,0.41832274999999997,0.5119623999999999,0.5566903999999998
-29.4867,0.22977593749999997,0.08767412817433183,16,0.1428701,0.1537985,0.18050325,0.21574900000000002,0.23250825,0.4329555,0.4498983,0.2787962386363636,0.08370629109564211,88,0.18206932,0.19487925,0.226553,0.25942350000000003,0.30678075,0.41809769999999985,0.5796745299999997,0.34978411320754715,0.0819491649179259,212,0.2240384,0.25253075,0.2876495,0.3290835,0.4089875,0.5003693,0.55122721
-28.4867,0.22035968749999998,0.0823486419055945,16,0.14396319999999999,0.157804,0.17556625,0.199791,0.21666375000000002,0.406767,0.4411518,0.2731975454545454,0.08117717059120325,88,0.18470587,0.1943771,0.2230395,0.2546145,0.29650675,0.40012829999999994,0.5870638199999999,0.34083424528301876,0.07891114200910578,212,0.21991379,0.24516595,0.28114025,0.3208245,0.39107275,0.49741759999999996,0.5441576499999998
-27.4867,0.21250318750000005,0.07777037298373442,16,0.1432126,0.156331,0.17364275,0.192609,0.21118,0.36546125,0.43909865,0.2669910113636365,0.07664610395486283,88,0.18431332,0.19671160000000001,0.21978325,0.24473250000000002,0.28919649999999997,0.3835977999999998,0.5746857,0.33156525471698106,0.07433116150519957,212,0.22302294,0.2388148,0.27775775,0.3137405,0.37657075,0.49637685,0.5228683899999997
-26.4867,0.206466375,0.07039766312681599,16,0.1417605,0.15250650000000002,0.17235699999999998,0.1910115,0.20468424999999998,0.32448475,0.41720574999999993,0.2603189886363636,0.07092756929715108,88,0.1831158,0.19556485,0.218517,0.24039850000000001,0.27419925,0.36148109999999983,0.55558455,0.32259916981132075,0.06887891297945758,212,0.22570441,0.2364171,0.2714705,0.305102,0.36176775,0.46386209999999983,0.5076833199999998
-25.4867,0.2006333125,0.05829676970778483,16,0.1403819,0.1503575,0.17324150000000002,0.185436,0.20782099999999998,0.28340624999999997,0.37280204999999994,0.25430776136363636,0.06430144342528075,88,0.18117782,0.1936628,0.216498,0.2394435,0.27062525,0.3482914499999999,0.52815834,0.3148348867924527,0.06350825047253239,212,0.22118944000000001,0.2343574,0.26769025,0.299671,0.3481285,0.4436256,0.49159599
-24.4867,0.1960819375,0.04642868917880947,16,0.13892595,0.15192974999999997,0.17130574999999998,0.18327700000000002,0.208611,0.25666075,0.32619774999999995,0.2490828522727272,0.05685489430878386,88,0.17353077,0.19286129999999999,0.21101275,0.23668499999999998,0.2685785,0.33052544999999994,0.49167816,0.3083556603773585,0.05895239799268476,212,0.22002361,0.23289345,0.26709,0.295654,0.337929,0.41460554999999993,0.47774752
-23.4867,0.19405031250000002,0.03766041945547739,16,0.1385812,0.156406,0.1712515,0.1834735,0.20538075,0.25245249999999997,0.29046489999999997,0.24504481818181806,0.0500938076507972,88,0.17482393,0.1915971,0.21657775,0.23368450000000002,0.26620975,0.3124445499999999,0.4484026999999999,0.30347939622641484,0.05532628342492176,212,0.21815436,0.2333041,0.26530175,0.2956215,0.33372525,0.40261364999999993,0.46745757
-22.4867,0.19332006250000003,0.03201163153702885,16,0.1385605,0.1568545,0.1774425,0.18461650000000002,0.2052135,0.24921675000000001,0.26078415,0.24274719318181817,0.04477066523087551,88,0.17991084,0.192385,0.21461675000000002,0.23513250000000002,0.262312,0.30515074999999986,0.4120813399999998,0.30009101415094336,0.05277897956353051,212,0.21661916,0.23288314999999998,0.26413175,0.2881785,0.32924600000000004,0.39544924999999986,0.4559411399999998
-21.4867,0.19391987499999996,0.029675808852498018,16,0.1414097,0.15741650000000001,0.18008925,0.1860105,0.20619099999999999,0.24497750000000001,0.2500763,0.24183110227272728,0.040947875734564404,88,0.18224315,0.1946687,0.21359,0.234841,0.25934475,0.3084848499999998,0.3839140699999997,0.2981515047169812,0.05145315656163746,212,0.21751729,0.2316815,0.26204925,0.28476599999999996,0.32712674999999997,0.39214255,0.43999696
-20.4867,0.19585550000000002,0.028966334887244535,16,0.14586075,0.15645975,0.18094,0.18924200000000002,0.208655,0.238381,0.2563138,0.24221310227272716,0.039166043124419694,88,0.18468699,0.1988475,0.21350575,0.23619800000000002,0.263311,0.3034661,0.36443455999999963,0.29719257547169814,0.051021896008036985,212,0.21655854,0.22920185,0.2607145,0.28419,0.32644175,0.3907064,0.44509046999999974
-19.4867,0.198476625,0.028445445875394534,16,0.15210695000000002,0.15660275,0.1817125,0.19554500000000002,0.212643,0.23811374999999999,0.25970115,0.24321485227272718,0.03824524804695778,88,0.18716701,0.20164675,0.2173445,0.2363515,0.2624685,0.3025521499999999,0.35084413999999947,0.2965097688679247,0.05079786841497945,212,0.21678582000000002,0.22724285,0.26033025,0.28361000000000003,0.3283125,0.38827199999999995,0.4417723899999997
