Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-22.6377,0.2789325125,0.08815301474890772,24,0.107240101,0.1474087,0.22064475,0.26841349999999997,0.35329475,0.38272765000000003,0.45705822999999995,0.27609828738738745,0.06496313837588222,111,0.1033616,0.17397200000000002,0.2323525,0.279233,0.32615000000000005,0.3714815,0.4227984000000001,0.29557790798479094,0.07207705192531234,263,0.096161712,0.1707756,0.24915900000000002,0.298043,0.344587,0.4119747999999999,0.46193829999999997
-21.6377,0.28228458333333334,0.09025857354431004,24,0.11874196,0.15305445,0.22636375,0.268339,0.34957025,0.39566045,0.4813378299999999,0.28218196396396406,0.06480222524713568,111,0.1121495,0.185975,0.23795149999999998,0.283241,0.3278685,0.3852335,0.43966460000000007,0.2987259307984794,0.07386784135722053,263,0.1110415,0.1852747,0.25036,0.299625,0.34479099999999996,0.41720369999999996,0.4756522399999999
-20.6377,0.2863139583333333,0.09343561520500263,24,0.13033139,0.15512309999999999,0.23035275,0.269967,0.3447335,0.40725454999999994,0.5088065399999999,0.28747424324324333,0.06514497064452987,111,0.1245706,0.1806005,0.238342,0.284983,0.33714350000000004,0.39593,0.4544184,0.3006283129277565,0.07509791083883606,263,0.12999394,0.1827894,0.25226550000000003,0.298478,0.34435099999999996,0.42290809999999984,0.48938519999999996
-19.6377,0.2887669583333333,0.09718432263598681,24,0.14304176999999998,0.15163915,0.22633675,0.2676075,0.34477075,0.41148824999999994,0.5341192499999999,0.2888188738738738,0.0655125675667192,111,0.1275446,0.184334,0.250521,0.282553,0.3325395,0.4009005,0.4691757000000001,0.29797657262357435,0.0749659036113595,263,0.14001252,0.1824831,0.250886,0.290875,0.3407315,0.43174529999999994,0.4890635
-18.6377,0.2888599166666667,0.10108878935647597,24,0.14487060000000002,0.16068795,0.217027,0.27104700000000004,0.3402315,0.42054889999999995,0.55543802,0.2860249009009008,0.06596337597691547,111,0.12884220000000002,0.1819615,0.2414825,0.280942,0.323156,0.399891,0.4684097000000001,0.29111016197718637,0.07390999890147651,263,0.14127734,0.1842875,0.244806,0.283405,0.330545,0.4345885,0.48348382
-17.6377,0.28694620833333334,0.10527832531168498,24,0.14037536,0.1675782,0.20988174999999998,0.2747,0.32748725,0.4430573999999999,0.5779866799999999,0.2802281351351353,0.06649318505524204,111,0.1352181,0.1804575,0.238204,0.27538,0.317102,0.3996185,0.46296190000000004,0.28058661406844093,0.07263718972767771,263,0.1419538,0.1850334,0.23509649999999999,0.271933,0.3163405,0.4299153999999999,0.49910163999999985
-16.6377,0.27792495833333336,0.10643362364177933,24,0.13008799000000001,0.1652899,0.2060845,0.267821,0.313235,0.4568146999999998,0.5806658499999999,0.26704909009009015,0.06589774624419667,111,0.1430397,0.1712265,0.220302,0.261196,0.3005395,0.38805100000000003,0.45116690000000004,0.2624579403041825,0.0699239092794204,263,0.13202328000000002,0.17139620000000003,0.218372,0.253422,0.29373000000000005,0.40673229999999977,0.48412866
-15.6377,0.26520454166666657,0.1030757202351659,24,0.1194486,0.1633899,0.19320775,0.252004,0.2965375,0.45467839999999976,0.55839248,0.251628918918919,0.06403304154193794,111,0.1387169,0.1624015,0.2041105,0.247245,0.28622349999999996,0.367464,0.42073840000000007,0.24294610114068452,0.06593803905906259,263,0.12130388,0.1590352,0.1991075,0.234618,0.276045,0.3603182,0.46123852
-14.6377,0.250184075,0.09504439393011928,24,0.11034200599999999,0.15791555,0.183509,0.244859,0.28941700000000004,0.42986694999999975,0.5120262,0.23661387387387386,0.061431009888124555,111,0.1311923,0.15055649999999998,0.19147799999999998,0.22881,0.2708305,0.3461725,0.39647950000000004,0.22489013307984787,0.061682633844492026,263,0.10538838,0.1450126,0.182306,0.220974,0.25580749999999997,0.3322166,0.4258166199999999
-13.6377,0.23588303333333338,0.08367005446379543,24,0.103748846,0.1486016,0.17592025,0.2379085,0.27856575,0.38453699999999985,0.44824943999999994,0.22574193693693692,0.058341492042546635,111,0.1108652,0.1423905,0.1856775,0.221594,0.260545,0.3193045,0.3818689,0.21220854638783276,0.05736265116635855,263,0.10423708,0.1267063,0.1732405,0.210992,0.245111,0.3064167,0.3814716599999999
-12.6377,0.2229394875,0.07160932545828586,24,0.098563679,0.13826750000000002,0.17018875,0.2338675,0.2671465,0.32551329999999995,0.37771301,0.21863585585585577,0.054405803595145796,111,0.1067818,0.1412505,0.1837565,0.219024,0.252217,0.30720349999999996,0.3725009,0.20391569277566537,0.053290309410643534,263,0.10436348,0.1218413,0.1706455,0.20357,0.2323865,0.2877799,0.34514896
-11.6377,0.21154435416666664,0.06278528325596816,24,0.09475889500000001,0.1273632,0.16314025,0.2203625,0.25838174999999997,0.30195914999999995,0.31861026,0.21273799999999993,0.05082593185104699,111,0.1116894,0.1373655,0.1753205,0.213735,0.24405949999999998,0.28835299999999997,0.35184500000000013,0.19738386311787076,0.049465489840474254,263,0.100666554,0.12230070000000001,0.164857,0.194072,0.22706500000000002,0.28000709999999995,0.3142248399999998
-10.6377,0.2003155333333333,0.05948769289036154,24,0.092526166,0.11757625000000001,0.15207474999999998,0.1961525,0.252291,0.27852395,0.29520407,0.20593698198198201,0.04792759249780898,111,0.1193587,0.1297035,0.173623,0.201876,0.238417,0.2876205,0.33655920000000017,0.19056083384030412,0.04646949932342591,263,0.09677775400000001,0.1201417,0.158807,0.187644,0.219354,0.27272769999999996,0.3051123599999998
-9.6377,0.18738345833333336,0.05956381717187999,24,0.09024705,0.10780895,0.14252175,0.19143,0.2267425,0.27775584999999997,0.29527121,0.195650936936937,0.0462193772626864,111,0.1185665,0.1229535,0.16429300000000002,0.193034,0.222158,0.28301,0.3186901000000001,0.18152165209125484,0.04408077536066045,263,0.085291838,0.1164318,0.151426,0.179182,0.208182,0.26351249999999987,0.28360359999999996
-8.6377,0.1722400416666667,0.05976287573372181,24,0.086197524,0.098637715,0.12203624999999999,0.181375,0.20568425,0.24959305,0.29924955,0.18165652432432441,0.04537526022476088,111,0.1034968,0.1125835,0.1514535,0.176004,0.206821,0.2670125,0.29884540000000004,0.16966478479087438,0.042221837822587344,263,0.079697852,0.1050691,0.1404785,0.16628,0.195663,0.25112709999999994,0.26943059999999996
-7.6377,0.15451181249999998,0.05833467645284863,24,0.079548009,0.08717029,0.103098675,0.157472,0.19203274999999997,0.22625004999999998,0.29383901999999995,0.1645723918918919,0.044439285118882114,111,0.08711016,0.095441,0.1331925,0.161318,0.1868395,0.255538,0.2764786,0.15521669581749045,0.039950982220179766,263,0.070735664,0.09531893999999999,0.129759,0.151188,0.1782185,0.23349559999999994,0.2533085
-6.6377,0.1352671666666667,0.05487359231882631,24,0.069537845,0.0702685,0.086891975,0.131802,0.171381,0.1989657,0.27462524,0.14598469819819823,0.04273629256183466,111,0.07295807,0.0806469,0.11912,0.140592,0.1680995,0.2328335,0.2521454000000001,0.13981845855513292,0.0370201841596379,263,0.06303908600000001,0.08322413,0.115621,0.135244,0.1625495,0.20841249999999995,0.23115829999999998
-5.6377,0.11589657500000002,0.0493220208588173,24,0.058343553,0.0596878,0.074052625,0.1108035,0.14609075,0.16736685,0.24510676999999997,0.12828209279279282,0.04010987010717553,111,0.0589685,0.06833159999999999,0.103469,0.121636,0.15017599999999998,0.20746,0.22945190000000001,0.125617694676806,0.033975192438393184,263,0.056917986000000004,0.07612021,0.1032275,0.123846,0.1458235,0.1875112,0.21697613999999998
-4.6377,0.09797152083333333,0.043129305119705766,24,0.044975167999999996,0.04875136,0.0644532,0.0927089,0.12868925,0.1410213,0.21253656999999995,0.11260806036036036,0.03709393676700051,111,0.047667839999999996,0.057980550000000006,0.08947755,0.105718,0.1351525,0.18584450000000002,0.21144790000000005,0.11339102999999998,0.03117523550346348,263,0.052812998,0.06870227999999999,0.0918039,0.112114,0.131697,0.16922189999999998,0.1965096
-3.6377,0.08140345,0.03640076746165376,24,0.032277518,0.035213415000000005,0.059236250000000004,0.0755264,0.10615725000000001,0.1194668,0.17755591999999995,0.10001194414414416,0.03424248602965377,111,0.03547939,0.053037100000000004,0.07579315,0.0963292,0.1194855,0.1663695,0.1937347000000001,0.10339597281368826,0.029178771966288125,263,0.048401030000000005,0.06055998,0.08341135,0.102645,0.11933350000000001,0.15833689999999997,0.1750096
-2.6377,0.068518875,0.03131855918651667,24,0.023012628,0.023811985,0.048283,0.06525154999999999,0.08817897499999999,0.1053079,0.14812030999999998,0.09102754954954953,0.032182264573013375,111,0.034478100000000005,0.048598749999999996,0.06791215,0.0875085,0.1096645,0.1537965,0.17813080000000012,0.09599545152091252,0.02820064743770508,263,0.040471391999999995,0.053564570000000006,0.0761196,0.0942794,0.1116405,0.15093839999999992,0.16314283999999998
-1.6377,0.05812470833333334,0.028045802191212558,24,0.015241981,0.016811375,0.041762875000000005,0.05670815,0.068311,0.09317297,0.12520104799999998,0.0838903225225225,0.031009657979720048,111,0.03260911,0.04290305,0.060433,0.0794487,0.09958655,0.1411905,0.1660046000000001,0.09012562889733844,0.027976315407259943,263,0.036467486,0.04932382,0.07116955,0.0860732,0.10661100000000001,0.14015509999999998,0.15895652
-0.6377,0.05024267958333334,0.026938905840793437,24,0.0100192597,0.0119117,0.03349125,0.047935000000000005,0.058692075,0.089023785,0.11557253899999999,0.0779995099099099,0.03067413935000668,111,0.029411020000000003,0.03641805,0.0549677,0.0740134,0.0930091,0.1330795,0.15698270000000009,0.08546000612167308,0.028066095609986606,263,0.03220636,0.045710259999999996,0.06701995,0.0826684,0.1029925,0.13546289999999994,0.15284319999999998
0.3623,0.044072957916666676,0.02728652095906153,24,0.0069456339,0.009181631,0.02615115,0.0407026,0.05084935,0.08624138499999999,0.11440162999999998,0.07211896306306305,0.03092538754433418,111,0.024344,0.03042255,0.048999150000000005,0.0686284,0.08893855,0.12672250000000002,0.14809350000000002,0.08099862467300376,0.028273525013080458,263,0.028984368,0.04139076,0.06222485,0.0768445,0.0988108,0.13367939999999995,0.14910312
1.3623,0.03895629333333334,0.02848254468712871,24,0.0057718072,0.007493214000000001,0.021419225,0.033244499999999996,0.043376525,0.08548295499999999,0.11969133599999998,0.0652665648648649,0.03093030775494732,111,0.01806259,0.0226328,0.042751899999999995,0.0621833,0.07963405,0.1232265,0.14135890000000004,0.07606607972243347,0.028359597001688726,263,0.026425396,0.03623051,0.0565971,0.0716151,0.09272240000000001,0.1297932,0.1503988
