Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-22.6377,0.0011409653199999997,0.00028685036597090707,25,0.0007651674,0.0007958622,0.000942273,0.00111568,0.00121964,0.0017152799999999991,0.0019352663999999996,0.0009787014054054059,0.00017370888140074415,111,0.0005541456999999999,0.00070609,0.000905265,0.000984087,0.001068045,0.0012449,0.0014982030000000007,0.0010039089427480914,0.00022307157076534209,262,0.0005759929,0.0007583872000000001,0.000874299,0.0009618205,0.0010859300000000001,0.0014373909999999999,0.0017737973999999998
-21.6377,0.00113667088,0.00029781566752485787,25,0.00081297784,0.0008197658,0.000936945,0.00108541,0.00118885,0.0017521719999999989,0.0020014947999999998,0.0009703473693693691,0.00016179563011712865,111,0.0005804212,0.0007206345,0.000896675,0.000962065,0.001036235,0.001250775,0.0014607500000000002,0.0009855722709923669,0.00020821834491111484,262,0.00061885702,0.00074996665,0.00085731525,0.0009427744999999999,0.0010555550000000001,0.0013701369999999998,0.0017001628999999997
-20.6377,0.0011235667999999997,0.00030682900108393714,25,0.00081282608,0.0008348569999999999,0.00093499,0.00106327,0.00115048,0.0018093379999999989,0.0020200891999999997,0.0009523292612612613,0.0001509600274141055,111,0.0006344197,0.000735787,0.0008713530000000001,0.000942393,0.00100764,0.00125533,0.001413131,0.0009565451603053429,0.0001888590778069841,262,0.00064215669,0.0007401995500000001,0.000839012,0.000911912,0.0010165975,0.0013115209999999997,0.0015567681999999997
-19.6377,0.0011046709199999999,0.0003140287234081091,25,0.00080146852,0.0008236708,0.000907499,0.00103581,0.00111843,0.001875165999999999,0.001994428,0.0009279087747747743,0.00014093324172043524,111,0.000652794,0.0007377250000000001,0.0008509889999999999,0.000911703,0.00097472,0.00121379,0.001358848,0.000921659064885496,0.00016858195989149564,262,0.00065902684,0.00072377625,0.00081604875,0.0008815365,0.000972653,0.0012696104999999995,0.0014536944999999997
-18.6377,0.0010788172399999998,0.00031924616672082375,25,0.00079015708,0.0008004294,0.00088226,0.000998781,0.00107843,0.0018919799999999995,0.001946452,0.0008976466486486489,0.00013030533748780896,111,0.0006641272,0.0007379675,0.0008328280000000001,0.000878484,0.0009370995,0.001168885,0.0013829970000000006,0.0008808451030534357,0.00014728588682644955,262,0.00067300695,0.0007158465000000001,0.0007848555,0.0008472355,0.0009250409999999999,0.001183668,0.0013693465999999998
-17.6377,0.0010393682000000002,0.0003213342937011496,25,0.00076727392,0.0007761186,0.000873319,0.00094542,0.00102009,0.001857068,0.0018911432,0.0008583290090090089,0.00011792270064067745,111,0.000667838,0.000712039,0.0008001295000000001,0.000834342,0.000893863,0.0011105,0.0012651000000000003,0.0008286026259541985,0.00012071267793784001,262,0.00065702464,0.0006869858,0.0007473657500000001,0.0008022995,0.00086359,0.0010834735,0.0012301585999999996
-16.6377,0.000987466,0.00031489089472095993,25,0.00073182976,0.0007488406,0.000835481,0.000897265,0.000967151,0.0017576479999999997,0.0018911031999999997,0.0008102072972972974,0.00010325479173830096,111,0.0006543056000000001,0.0006709145000000001,0.0007533105,0.000789702,0.0008367175,0.0010414299999999999,0.0011021820000000002,0.0007668046755725194,9.468406810547181e-05,262,0.00062508153,0.0006487223,0.0007010032499999999,0.0007471120000000001,0.0008001542500000001,0.0009483505,0.0010789617999999999
-15.6377,0.0009373092800000001,0.00029490095941314486,25,0.00070282736,0.0007114348,0.000813844,0.000868611,0.000899601,0.0015982379999999999,0.0018137239999999994,0.0007705738108108107,8.929023912434136e-05,111,0.0006331606,0.0006515984999999999,0.0007195974999999999,0.000757236,0.0008042805,0.0009480595,0.0010312765000000002,0.0007183562213740458,7.657468291858003e-05,262,0.00058430332,0.000612536,0.00066676825,0.0007065875,0.00075473625,0.0008597410999999998,0.0009583295799999999
-14.6377,0.0008943291199999999,0.00026182138006860075,25,0.00065385476,0.0006926844,0.000772778,0.000825092,0.000881551,0.0015238419999999994,0.0016897359999999996,0.0007416888018018018,7.651606708764089e-05,111,0.0006015665000000001,0.0006444985,0.000693202,0.000726418,0.0007748105000000001,0.0008703135,0.0009695555000000002,0.0006840273740458013,6.571183864906811e-05,262,0.00055817697,0.0005917546,0.00063694975,0.0006805085,0.0007214675,0.00078964165,0.00089988601
-13.6377,0.00085867372,0.000219955335561662,25,0.00065530532,0.0006811752,0.000756746,0.000807166,0.000858577,0.001430661999999999,0.0015258704,0.0007231988288288292,6.656524646047034e-05,111,0.0005880140000000001,0.000633294,0.0006791835,0.000707371,0.0007632965000000001,0.0008370134999999999,0.0009142509000000001,0.0006621231564885501,6.035822806161451e-05,262,0.00055012022,0.0005717646,0.0006143602500000001,0.0006604285,0.0007023055,0.00075827115,0.0008343099299999998
