Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-22.6537,0.30553499999999995,0.0634914013935483,25,0.16227828,0.17447980000000002,0.284277,0.319235,0.345794,0.37533059999999996,0.4236834799999999,0.35357307339449534,0.047337787658703376,109,0.23797600000000002,0.2729774,0.321852,0.355134,0.382777,0.4315268,0.44754568,0.3965348295454545,0.06200528493541018,264,0.22866915,0.2927767,0.36192825,0.40435849999999995,0.43670175,0.48698824999999996,0.52040749
-21.6537,0.30305531999999996,0.06106996454048967,25,0.1650394,0.1732694,0.279443,0.303669,0.338,0.3678204,0.41897511999999987,0.3530433211009174,0.044957997812336885,109,0.24696492,0.2794966,0.323668,0.358303,0.381779,0.42463019999999996,0.44407204,0.3966996477272723,0.05809686647094103,264,0.24448687,0.29473175,0.36365749999999997,0.40153300000000003,0.43513575,0.48512655,0.5117237600000001
-20.6537,0.30328904,0.05920262247814703,25,0.1688362,0.1754938,0.283423,0.321608,0.336158,0.3609678,0.41001671999999983,0.3530901009174311,0.0421522548695983,109,0.24491924,0.2859862,0.325263,0.355625,0.38036,0.4222826,0.44430776,0.398137340909091,0.053998707626392334,264,0.2532133,0.30494765,0.36681600000000003,0.4019285,0.43227325,0.48400125,0.5042983799999999
-19.6537,0.30370687999999996,0.05790210343352534,25,0.17510992,0.1777426,0.283491,0.320439,0.340111,0.3580462,0.39820699999999987,0.35427218348623846,0.03937671232282998,109,0.24869468,0.2961544,0.326307,0.355731,0.379512,0.4211236,0.44177184,0.4008317651515148,0.049677447550329504,264,0.27623039,0.31624835,0.3702165,0.4022635,0.43342125,0.4789642,0.50202006
-18.6537,0.3028274,0.05756486455223069,25,0.1632284,0.1804348,0.279631,0.309291,0.340961,0.3568696,0.3835472399999999,0.3567324036697248,0.03723003322565923,109,0.26167724,0.303565,0.333659,0.356033,0.381812,0.42191639999999997,0.43428396,0.40492411363636377,0.04553120556497451,264,0.30094178,0.33151435,0.37384275,0.405966,0.43689675,0.4758343,0.49531381
-17.6537,0.30406851999999995,0.05922144596140827,25,0.14695416,0.1875908,0.284519,0.32131,0.344664,0.3638692,0.37174084,0.36311033944954124,0.03632917477889071,109,0.28832776,0.3084068,0.343518,0.361994,0.382566,0.42363759999999995,0.44523768,0.41254878409090895,0.04263677611309543,264,0.3209608,0.3463501,0.3815105,0.41119249999999996,0.442504,0.4845395,0.5089799700000001
-16.6537,0.30681304,0.06110185618939903,25,0.13509195999999998,0.1954378,0.29283,0.323444,0.345581,0.3682812,0.36895996,0.3701381743119267,0.036662615873172204,109,0.2958304,0.3175286,0.353469,0.368546,0.392223,0.42396259999999997,0.44935616,0.4211344734848483,0.04148554556411361,264,0.33149711,0.35514945,0.39098075,0.4211935,0.4495665,0.4838051,0.5188961
-15.6537,0.30971888000000003,0.06313857724437044,25,0.12590052000000002,0.20334760000000002,0.30103,0.326531,0.349253,0.3721044,0.37595967999999996,0.3772283577981652,0.0369676973409877,109,0.30453864,0.3247252,0.360246,0.376296,0.401199,0.42714159999999995,0.45268192,0.4295717234848484,0.041869521995417734,264,0.34424491,0.36411730000000003,0.39820425,0.42961550000000004,0.456359,0.50341165,0.5317438600000001
-14.6537,0.31210086,0.06448117951217755,25,0.12408693999999999,0.208101,0.283145,0.33138,0.352687,0.372411,0.37678880000000003,0.3835319357798165,0.03666445267615669,109,0.31451252,0.3286614,0.366565,0.383926,0.405546,0.4303176,0.46067136000000003,0.43587155303030284,0.04303873666637395,264,0.3446266,0.36849,0.40291725,0.4358455,0.46573325,0.5125493,0.5407517
-13.6537,0.31442679999999995,0.06304187405605896,25,0.13178468,0.2108992,0.287674,0.334315,0.355344,0.3716254,0.37272879999999997,0.3870919999999999,0.0359979679058673,109,0.3166568,0.3384086,0.366953,0.391619,0.407708,0.4386448,0.46397596,0.43815316666666654,0.04368933551258307,264,0.34047494,0.36921675000000004,0.40911200000000003,0.438476,0.46723675000000003,0.5108979,0.54233393
