Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-22.6537,0.0009911122,0.00018570621744954223,25,0.00071382488,0.0007503932,0.000845811,0.00097971,0.00111009,0.0013297439999999999,0.0013721328,0.0009063311100917426,0.00014152704837365238,109,0.00067040492,0.0007069548,0.00083458,0.000894029,0.000955441,0.0011711459999999992,0.0012694324,0.0009128234318181815,0.00020551223971809976,264,0.00057279955,0.000707993,0.0007981392500000001,0.0008653975,0.00095162825,0.001314638,0.0016025744000000013
-21.6537,0.00098405148,0.0001784906557108616,25,0.000714377,0.0007550152,0.000858363,0.000959591,0.0010968,0.0013287959999999997,0.0013771643999999999,0.0008969902110091742,0.0001308064821894509,109,0.0006819658799999999,0.0007162032,0.000830475,0.000882089,0.000947443,0.0011449939999999992,0.0012383679999999999,0.0009029992462121217,0.0001944624578223858,264,0.00059914797,0.00071105785,0.00079151175,0.0008501555,0.000939656,0.0012809855,0.001559327200000001
-20.6537,0.0009662188000000002,0.00016152886624661448,25,0.00071185552,0.0007567166,0.000850958,0.000943956,0.0010648,0.0012581659999999998,0.0013206431999999999,0.000881783036697248,0.0001196883407145351,109,0.00068729568,0.0007158830000000001,0.000815104,0.000863497,0.000929261,0.0011085899999999998,0.00122495,0.0008846885530303032,0.00017968404347612154,264,0.00061518804,0.00070354265,0.0007789085,0.0008380315,0.00091567775,0.0012470365,0.001481967100000001
-19.6537,0.0009448744400000001,0.00014623644860524114,25,0.00070950196,0.0007569456,0.000853279,0.000932945,0.00102222,0.0012107599999999997,0.0012543035999999998,0.0008608697431192658,0.00010694333855091153,109,0.00068930396,0.0007144324,0.000801604,0.000842673,0.000906126,0.0010629019999999997,0.0011830288,0.0008589212727272721,0.00016228923060402685,264,0.00062208291,0.00068991515,0.00076004575,0.000819986,0.000891817,0.001187283,0.0014001177000000007
-18.6537,0.0009208654000000002,0.00013538132465496612,25,0.00070903028,0.0007557884,0.00082884,0.000892944,0.00100412,0.0011687919999999997,0.001207058,0.000834411366972477,9.333538163076413e-05,109,0.00068589852,0.0007088556,0.000782739,0.000822904,0.000872105,0.0010435159999999998,0.0011275084,0.0008258083219696968,0.00014262281063561735,264,0.00062187275,0.00066873645,0.0007304665,0.00078728,0.0008634065,0.0011145039999999999,0.0013039794000000002
-17.6537,0.0008877987999999999,0.00012304418732241414,25,0.00070491276,0.0007430771999999999,0.000806791,0.000862527,0.000946087,0.001105588,0.001154366,0.0007962799908256883,7.821160070632878e-05,109,0.00067545872,0.0006899596000000001,0.000748051,0.000787769,0.000829544,0.0009815806,0.0010442072,0.0007785149696969689,0.00011890364688798,264,0.00061389616,0.0006382596000000001,0.0006976115,0.0007532495000000001,0.000820061,0.0010111905,0.0011482379
-16.6537,0.0008560888799999999,0.0001125656300180477,25,0.00069742652,0.0007216885999999999,0.000782663,0.000847084,0.00089917,0.0010891737999999998,0.0011273376,0.0007601984587155961,6.580510591181667e-05,109,0.00064150152,0.0006673776,0.000717492,0.000751818,0.000792783,0.0008879501999999999,0.0009547492,0.0007325416969696965,9.759114124299062e-05,264,0.00059106082,0.00061120235,0.00066854675,0.0007168765,0.000771538,0.0009231189999999999,0.0010177605
-15.6537,0.00083471308,0.000113822832878162,25,0.00069420312,0.0007091132,0.000764886,0.000802526,0.00088699,0.0010674191999999996,0.001141168,0.0007307196238532107,5.537033087058731e-05,109,0.0006193832,0.0006524986,0.000695192,0.000729809,0.00075713,0.000832078,0.00087642308,0.0006942936590909096,8.195498916094145e-05,264,0.00056324251,0.0005850926,0.0006414625,0.000682923,0.0007275982500000001,0.0008423497,0.00092031473
-14.6537,0.0008302682,0.0001293724888381091,25,0.00069859656,0.000705614,0.000749719,0.000784833,0.000851488,0.0010852039999999998,0.0011861711999999998,0.0007117472293577983,4.8088319580406203e-05,109,0.00060616336,0.000638398,0.000674997,0.000714665,0.000744633,0.000786899,0.0008240331600000001,0.0006699780378787876,7.344903436585212e-05,264,0.00054993875,0.0005705913,0.00062208875,0.000662501,0.0007011405,0.0008065758,0.00085607472
-13.6537,0.0008370988000000002,0.000150977130576124,25,0.0007078867200000001,0.0007093122,0.000743665,0.00078137,0.000835719,0.001159798,0.0012265659999999997,0.0007051876238532108,4.648699120598129e-05,109,0.00060097236,0.0006409456000000001,0.000668372,0.000706439,0.000737738,0.0007807462000000001,0.0008017318,0.0006615175833333332,7.059547452471337e-05,264,0.0005475437000000001,0.0005645353999999999,0.00061877225,0.0006507685,0.00069278125,0.00079733225,0.0008564221800000001
-12.6537,0.00084321716,0.00016406707162308143,25,0.00070975824,0.0007150886,0.00074429,0.000779209,0.000838494,0.0012134759999999998,0.0012752731999999998,0.0007042770825688072,4.879638166081133e-05,109,0.0006004048,0.0006378471999999999,0.000665653,0.000701335,0.000737114,0.0007831396,0.0008222632800000001,0.000661289143939394,7.067366988106881e-05,264,0.0005453953800000001,0.00056389955,0.0006162577500000001,0.000652121,0.0006883345,0.0007952928,0.0008916648100000001
-11.6537,0.0008403896800000001,0.00016565935653842999,25,0.00070349604,0.0007145538,0.00074187,0.000771679,0.000845353,0.0011862959999999999,0.0012991891999999997,0.000700730495412844,5.040438102479817e-05,109,0.0006067779599999999,0.0006311515999999999,0.000658553,0.000698784,0.000734943,0.0007798518,0.0008429935600000001,0.0006587222575757573,7.032079729772263e-05,264,0.00053964265,0.0005583184,0.00061363225,0.0006526025,0.0006878495,0.00078038435,0.00088088873
-10.6537,0.0008244638399999998,0.000151913957196083,25,0.0006904562800000001,0.0007046708000000001,0.000726253,0.000762436,0.000842368,0.0011222259999999998,0.0012474007999999997,0.0006905567155963301,5.075646875487559e-05,109,0.00060670424,0.0006169872,0.000646116,0.000693761,0.000724792,0.0007671567999999999,0.0008426827200000001,0.0006498274734848483,6.790743804598195e-05,264,0.0005291692,0.00055246175,0.0006033892499999999,0.0006469564999999999,0.00068213275,0.00075815125,0.0008534492900000001
-9.6537,0.0007938015999999999,0.0001249350074748867,25,0.0006717512,0.0006809192000000001,0.000711239,0.000753027,0.000822143,0.001021496,0.0011392207999999997,0.0006722028348623851,5.020881551995547e-05,109,0.00057649912,0.0006009956,0.000634233,0.000673691,0.000700369,0.000746878,0.0008248628400000001,0.0006317232575757576,6.300985848770512e-05,264,0.00051830644,0.0005389775,0.0005903182499999999,0.000630419,0.000666521,0.0007324639999999999,0.0008129446
-8.6537,0.0007501644399999999,9.082055327543798e-05,25,0.0006450042,0.0006508724,0.000684957,0.000737655,0.000780916,0.0009098794,0.0009824207999999997,0.0006447801376146788,4.7733055832035527e-05,109,0.00055306452,0.0005766980000000001,0.000615068,0.000644185,0.00067119,0.0007203816,0.0007860556,0.000603105893939394,5.606400363086629e-05,264,0.0004971475799999999,0.00051750665,0.000568438,0.000602942,0.000634475,0.0006921106999999999,0.0007542929400000001
