Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-58.3042,0.3556278461538461,0.06473862580419347,26,0.19151025,0.2340035,0.31070200000000003,0.381735,0.39507424999999996,0.4189565,0.43033975,0.44722084821428576,0.039548690274371856,112,0.35255696,0.36664775,0.423429,0.451024,0.4708895,0.50771165,0.52333286,0.5146965185185185,0.045516717651347,270,0.41594349,0.44434185,0.480614,0.5172315000000001,0.542478,0.5921007,0.61036475
-57.3042,0.3583060769230768,0.06514492941552585,26,0.19080075,0.23705625000000002,0.31251075,0.384113,0.40196875,0.4189915,0.42804050000000005,0.4506061785714284,0.038938411474147054,112,0.3525363,0.37080465,0.42929925,0.455874,0.4755865,0.5087418499999999,0.52176119,0.5181875962962962,0.045390628444139096,270,0.4187258,0.4460535,0.485657,0.5201665,0.5465804999999999,0.5946366,0.61440296
-56.3042,0.3592199615384616,0.06552782589921981,26,0.19070949999999998,0.23762125,0.312131,0.384961,0.4052155,0.4199265,0.42541425,0.45208728571428575,0.038712228532282275,112,0.35383324,0.3738193,0.43007575000000003,0.457497,0.478735,0.5080142,0.5234940299999999,0.5202648703703704,0.04568939368849776,270,0.41847684,0.44898725,0.487931,0.5224934999999999,0.548946,0.59517805,0.61877318
-55.3042,0.3601134615384615,0.06596219441967088,26,0.190396,0.23797675000000001,0.31185775,0.38586699999999996,0.40757275,0.4209945,0.423797,0.45369263392857145,0.038357968630512475,112,0.35904108,0.37782635000000003,0.43253625,0.4597255,0.4803135,0.5072774999999999,0.5249155,0.522428162962963,0.04605851971847727,270,0.41964655,0.4491671,0.490826,0.5248475,0.55108875,0.5969394,0.62217098
-54.3042,0.36090234615384625,0.06642737807316637,26,0.1897465,0.237338,0.31233225,0.386646,0.40774350000000004,0.41887175,0.4242465,0.4550575982142857,0.0379212398449425,112,0.36376107999999996,0.38144405,0.434373,0.460526,0.48162275,0.50770195,0.52346697,0.5240368851851852,0.04638294379468727,270,0.42065221999999997,0.4504093,0.492744,0.5266625,0.5518460000000001,0.59933165,0.62321264
-53.3042,0.361520923076923,0.06690573444596395,26,0.188865,0.23589125,0.3126925,0.38701549999999996,0.4078825,0.4173245,0.424842,0.45597556249999976,0.03741738095759494,112,0.36609367,0.38466205000000003,0.4361725,0.4610015,0.48387075,0.50563275,0.51990629,0.5247412444444445,0.04662380240928314,270,0.41875915,0.4510183,0.49174375000000003,0.5268660000000001,0.553086,0.6014486,0.62473522
-52.3042,0.3620481153846154,0.06726550163602553,26,0.18869375,0.2346355,0.312824,0.388087,0.40968425,0.4191625,0.42688375,0.45652204464285717,0.03687662552652037,112,0.36833665,0.3870776,0.43681575,0.46112149999999996,0.486597,0.50606345,0.5169740899999999,0.5244635814814814,0.046624739934122555,270,0.41731004,0.4510228,0.4919575,0.5266865,0.553809,0.60210665,0.62521527
-51.3042,0.3625634999999999,0.06742131311106303,26,0.1898155,0.234154,0.31312575,0.38893900000000003,0.4110445,0.4212315,0.42768975,0.45696913392857164,0.03653999130497279,112,0.36987852,0.38831994999999997,0.43659024999999996,0.460437,0.48551075,0.5073939999999999,0.51685707,0.5241508703703703,0.046452319387011755,270,0.41803572,0.45000035,0.49206725,0.5261564999999999,0.55351275,0.60022625,0.62735715
-50.3042,0.3632420769230769,0.06732328694347779,26,0.191682,0.235093,0.31393925,0.3886405,0.412196,0.42272875,0.4276355,0.4576667500000001,0.03647176348545185,112,0.37040993,0.38865225,0.43731175,0.4614325,0.4850125,0.50970775,0.5168266,0.5243840000000001,0.04630354913749728,270,0.41930354000000003,0.45005315,0.49187400000000003,0.5263530000000001,0.55375325,0.6003412499999999,0.62852239
-49.3042,0.36384203846153856,0.06716882205278325,26,0.19341975,0.2364725,0.31451399999999996,0.3877515,0.4134725,0.4239625,0.42762,0.45838511607142857,0.03653001324019399,112,0.37110916,0.3894435,0.43799924999999995,0.462733,0.48565625,0.512023,0.51771352,0.524927411111111,0.04636593636714465,270,0.41968044000000004,0.4510489,0.49173975000000003,0.526751,0.5544505,0.6006153,0.62963103
