Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-58.3042,0.18370734000000005,0.05970583478339171,25,0.09906598,0.10577,0.144763,0.178429,0.189255,0.3064936,0.3171028,0.18252550000000003,0.020042394663708624,112,0.14420152,0.15673499999999999,0.171535,0.1799985,0.190351,0.21695544999999997,0.25039264000000006,0.18422140823970035,0.025231062137687974,267,0.13643732,0.1463711,0.169365,0.183261,0.19493149999999998,0.22535059999999996,0.2558278199999998
-57.3042,0.179628408,0.058618570155973326,25,0.096607996,0.10264104,0.139365,0.172943,0.190329,0.3010941999999999,0.30804348,0.1800866071428572,0.019489055230364576,112,0.14822489,0.1546578,0.167504,0.1780755,0.18801325,0.21220355,0.25059508,0.18227911985018727,0.024271655857104852,267,0.1373422,0.1478802,0.16812549999999998,0.18163,0.19276300000000002,0.22032419999999997,0.25184605999999987
-56.3042,0.17803694,0.058570179818331326,25,0.094830456,0.10081516,0.136514,0.172029,0.189355,0.2985977999999999,0.30429335999999996,0.17835986607142854,0.0193164458482177,112,0.14742006,0.1532738,0.165148,0.1773005,0.187073,0.20854309999999998,0.25094106,0.18041010486891385,0.02421853829454411,267,0.13420932,0.1463732,0.16566599999999998,0.179348,0.1905755,0.22211619999999999,0.24627809999999986
-55.3042,0.17666141200000002,0.05881741844175017,25,0.093229648,0.0995188,0.13445,0.171274,0.188195,0.2975848,0.30096236,0.17652195535714288,0.01922675875313211,112,0.14557247,0.1512394,0.163137,0.175222,0.185689,0.20575009999999996,0.24869068,0.1781470561797753,0.02433786246739418,267,0.13177516,0.1439412,0.16357,0.177811,0.18818249999999997,0.22003019999999998,0.24000351999999983
-54.3042,0.17558394800000002,0.05935802284288059,25,0.091683484,0.09862192,0.133654,0.168827,0.188269,0.2966756,0.2996562,0.17476862499999998,0.019223414345098357,112,0.14351983000000001,0.15031265,0.161345,0.1733555,0.18474775,0.20418165,0.2457795,0.1760300749063671,0.0244304698252323,267,0.13062854000000002,0.14137349999999999,0.16154200000000002,0.176227,0.1858805,0.21718589999999996,0.23769775999999998
-53.3042,0.17477128,0.05997089132748765,25,0.090484656,0.09829316,0.132805,0.165197,0.189016,0.2946194,0.30077796,0.17344341071428568,0.019262723969643937,112,0.14238533,0.1495401,0.15988850000000002,0.1723005,0.18221325,0.20195414999999994,0.24432968000000002,0.17457202247191,0.024417491760450615,267,0.13087128,0.1395356,0.15942800000000001,0.174152,0.184238,0.21510889999999996,0.23415945999999987
-52.3042,0.17439888,0.060350432800629794,25,0.089952112,0.09748912,0.131551,0.161327,0.190338,0.29155839999999994,0.30311331999999996,0.1729362142857144,0.018981661245247836,112,0.14445198,0.1484894,0.159547,0.171894,0.18150149999999998,0.202616,0.24263179,0.17435191011235954,0.024114905417295815,267,0.13039900000000001,0.1391618,0.1598545,0.173013,0.1845855,0.2138269,0.2323923399999999
-51.3042,0.174308312,0.06063392383784509,25,0.089980784,0.09670876,0.131249,0.157296,0.19144,0.29006579999999993,0.30526303999999993,0.17276754464285712,0.018545831306383546,112,0.14426537,0.1483277,0.16072975,0.1715725,0.1810335,0.20183864999999995,0.23985484,0.17469646441947567,0.023652538507550787,267,0.13003112,0.139862,0.1604255,0.173173,0.185174,0.21285089999999998,0.23146457999999998
-50.3042,0.174304368,0.06041761117826574,25,0.090091396,0.09639824000000001,0.132811,0.155647,0.193073,0.2906182,0.30597564,0.17290693750000008,0.018121420035780187,112,0.14338459,0.14988865,0.16139325000000002,0.17223,0.18134224999999998,0.20105904999999993,0.23827683,0.17524814981273407,0.02328749298596688,267,0.13142034,0.1418637,0.16198600000000002,0.173573,0.186159,0.21541649999999998,0.23069997999999994
-49.3042,0.174236868,0.05976094672057107,25,0.09019136,0.09639408000000001,0.134643,0.157306,0.194931,0.29046179999999994,0.30537559999999997,0.17306358928571416,0.017834594314206212,112,0.14311708,0.1508802,0.16144675,0.1728025,0.181335,0.20065399999999997,0.23731703,0.17555676029962544,0.023187165480120207,267,0.13243348,0.141241,0.16255350000000002,0.174817,0.186002,0.21701899999999996,0.23150691999999998
-48.3042,0.173997204,0.058906387480267365,25,0.090249008,0.09647892000000001,0.135153,0.157765,0.19692,0.2881428,0.30312575999999997,0.17306345535714288,0.01781500794926074,112,0.14269838999999998,0.1512124,0.16111575,0.17248249999999998,0.18099625,0.20046095,0.23773948,0.1753218389513108,0.0232850064028493,267,0.1320175,0.140631,0.1613755,0.174159,0.1857835,0.21759589999999993,0.23048247999999993
-47.3042,0.17385176399999996,0.058270116051718425,25,0.0902401,0.09660204,0.134913,0.15773,0.199529,0.2848277999999999,0.30043712,0.17303450000000004,0.01808583338437041,112,0.14198861000000002,0.15092260000000002,0.16024549999999999,0.17245749999999999,0.18117025,0.19945205,0.24027971,0.1747481011235955,0.02347978112979909,267,0.13113622,0.1399424,0.160454,0.173564,0.1857205,0.21796409999999997,0.23043409999999995
-46.3042,0.17374235199999993,0.05789357522368898,25,0.09022632800000001,0.0968016,0.1344,0.15752,0.202213,0.2809906,0.29827951999999996,0.17281499999999997,0.01857377940795829,112,0.14041643,0.14964725,0.16034075,0.171791,0.1812645,0.19806919999999997,0.242835,0.17374283146067415,0.023732283790864592,267,0.12782118,0.1385813,0.1588745,0.17242,0.1849845,0.2177256,0.23059864
-45.3042,0.17390913200000002,0.05773031104853498,25,0.090487912,0.09718364,0.134825,0.157653,0.205486,0.276688,0.29785803999999994,0.17274941964285714,0.019172620523580815,112,0.14163130000000002,0.14728650000000001,0.16032675,0.171504,0.18152925,0.19814815,0.24537516,0.17288265168539338,0.02399205913199737,267,0.12764034,0.1383316,0.157756,0.170976,0.1847895,0.2161089,0.2301844199999999
-44.3042,0.17441478400000002,0.05749524703132483,25,0.091452752,0.09796376,0.136151,0.158674,0.209203,0.2744308,0.2996776399999999,0.1730664107142857,0.019640884109544784,112,0.13903049,0.1476462,0.16023025000000002,0.1716405,0.1814685,0.19969294999999998,0.24729279999999998,0.17253602247191002,0.024115890655276192,267,0.12695374,0.13841489999999998,0.1572735,0.169986,0.1847375,0.21613449999999998,0.23112543999999985
-43.3042,0.17518743599999997,0.05679042965421844,25,0.093207404,0.0993996,0.138231,0.15909,0.213941,0.27441079999999995,0.30177323999999994,0.17364789285714294,0.019875363523156154,112,0.13611832000000001,0.14858254999999998,0.1610715,0.1725045,0.182133,0.20196945,0.24851875,0.1724933520599252,0.024152451889800374,267,0.12599818,0.1373181,0.1581505,0.169478,0.183527,0.2155,0.23395161999999992
-42.3042,0.17593665200000003,0.055315873007446364,25,0.095453996,0.10137148,0.141109,0.15933,0.219558,0.27294039999999997,0.30117303999999995,0.1741964642857143,0.019796906071826756,112,0.13390942,0.1488289,0.16270125000000002,0.173134,0.18294425,0.20364254999999998,0.24782002,0.17228207490636718,0.024205270716375276,267,0.12376246,0.1375121,0.158346,0.169376,0.183597,0.215005,0.23679834
-41.3042,0.176281676,0.05291912742461588,25,0.097813244,0.10349820000000001,0.144657,0.15992,0.222452,0.2693076,0.2963005999999999,0.17433733035714288,0.01948272453771298,112,0.13278,0.14637125,0.16305075,0.1737185,0.18401275,0.20291165,0.24479083000000001,0.17121420973782778,0.024299898726718533,267,0.12089838,0.13601090000000002,0.1563765,0.168195,0.1821885,0.2126199,0.23809784
-40.3042,0.17619689199999997,0.04999626364064552,25,0.100012068,0.1056742,0.148185,0.161804,0.217368,0.264113,0.28804315999999996,0.17408822321428566,0.019043234005813637,112,0.132022,0.1457184,0.16281075,0.1736775,0.18346500000000002,0.20290564999999997,0.24109337,0.16918625093632955,0.02433150569419346,267,0.11795842,0.1341875,0.15448099999999998,0.165626,0.180094,0.211814,0.2378702599999999
-39.3042,0.17564332,0.04687185083174478,25,0.102039,0.10777160000000001,0.149064,0.163524,0.207492,0.25834499999999994,0.27725199999999994,0.17346931250000003,0.018556487413724027,112,0.13247068,0.14632365,0.1637515,0.1732825,0.1823225,0.20208674999999993,0.23859472,0.16617837078651687,0.024253230657314245,267,0.11519366,0.1318718,0.152202,0.162224,0.1768115,0.2084316,0.2362537199999999
-38.3042,0.17454616,0.043969186425154606,25,0.103681,0.109319,0.147514,0.164806,0.197594,0.25282899999999997,0.26547731999999996,0.17248673214285712,0.018046642750335497,112,0.13121776,0.14551315,0.16258299999999998,0.172988,0.18097975,0.2003818499999999,0.23388696,0.1625120711610487,0.02406931973899397,267,0.11334072,0.1290324,0.148208,0.158622,0.172598,0.20418,0.23406309999999994
-37.3042,0.17296100000000003,0.041518666142471385,25,0.10518728,0.11041720000000001,0.145265,0.163243,0.187746,0.24754979999999996,0.25467096,0.17126666071428567,0.01746656898993745,112,0.12990455,0.1448034,0.1608265,0.171727,0.17947174999999999,0.19852224999999993,0.22784310000000002,0.15872060674157304,0.023721582509093776,267,0.11230798,0.12483810000000001,0.14397900000000002,0.155315,0.1688645,0.1995195,0.22910675999999994
-36.3042,0.17116583999999996,0.03944781496133003,25,0.10591884,0.11263940000000001,0.144184,0.16174,0.178277,0.2417972,0.24534196,0.17004175000000005,0.016792955563794232,112,0.12941513999999998,0.1450343,0.1605445,0.1703285,0.17858375,0.19571034999999995,0.22105351,0.1554350861423221,0.023210998722330765,267,0.11045738,0.1219616,0.14021,0.153022,0.1656695,0.198052,0.22432571999999992
-35.3042,0.16946772,0.03766966926511744,25,0.10692283999999999,0.11493740000000001,0.14486,0.161201,0.178103,0.2358362,0.23761296,0.16909337499999993,0.01602582487996588,112,0.13061141,0.1455112,0.16040675000000001,0.16860550000000002,0.17753775,0.19310175,0.21284905,0.15301647191011233,0.022647635323669164,267,0.11097342,0.1192509,0.13894,0.151964,0.16435450000000001,0.19469389999999998,0.22055139999999998
-34.3042,0.16817775999999998,0.03617546634493236,25,0.1082446,0.11732400000000001,0.144933,0.159385,0.175506,0.232942,0.23571488,0.1686489107142858,0.015206727521721567,112,0.13284022,0.1458277,0.158785,0.1687445,0.177602,0.1911917,0.20444526999999998,0.1515036666666667,0.022170639104415676,267,0.11024645999999999,0.1164822,0.13727050000000002,0.150785,0.1629335,0.1918161,0.21638625999999997
-33.3042,0.16754404,0.03512341244274726,25,0.10965319999999999,0.1196996,0.146409,0.160919,0.175764,0.23193959999999997,0.23700623999999998,0.16887151785714286,0.01440166844437339,112,0.13558712,0.14541985,0.1587855,0.168381,0.17836775,0.1906536,0.19732201,0.15076055056179782,0.0218387252349461,267,0.10790604,0.1156986,0.1363955,0.150033,0.1624985,0.18852729999999998,0.21299869999999999
-32.3042,0.1676206,0.034621030123803846,25,0.11104404,0.1223598,0.148566,0.16306,0.178271,0.23288739999999997,0.23945876,0.16973161607142853,0.013726965836173964,112,0.13852847,0.14630125,0.159621,0.1693415,0.1790225,0.1907575,0.19429119,0.1505364224719102,0.0217185396319263,267,0.10757502,0.1156479,0.136024,0.15028,0.16217399999999998,0.1877008,0.20994609999999989
-31.3042,0.16820008,0.03464685985521151,25,0.11205156000000001,0.1247772,0.144637,0.165153,0.181218,0.23510239999999996,0.24282231999999998,0.17109041071428563,0.013252649564462296,112,0.14319997,0.14866500000000002,0.16209475,0.171547,0.17997825,0.1914217,0.19677423,0.1505887617977529,0.021857172807653966,267,0.10572922,0.1153811,0.134905,0.15084,0.163765,0.1873466,0.20777958
