Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-52.5726,0.001459331923076923,0.000102150600586359,26,0.00125932,0.001310935,0.0013554925,0.00149369,0.0015296925,0.001584265,0.00160482,0.0014023893750000002,8.104495189420366e-05,112,0.0012200394,0.0012600765,0.0013476125,0.001405595,0.00145184,0.0015398805,0.0015663538,0.0013068282061068695,7.964674769636672e-05,262,0.001126795,0.0011724805,0.0012536275,0.0013062949999999999,0.00136207,0.001428401,0.0014632018
-51.5726,0.0014685719230769232,0.00010096413113652711,26,0.0012933225000000001,0.0013059875,0.001372545,0.001508365,0.0015347325000000002,0.0015930425,0.0016411375,0.0014114307142857137,7.753252599311198e-05,112,0.0012418726,0.0012684165,0.0013632525,0.0014140049999999999,0.00145717,0.00154859,0.0015721182,0.0013129849236641225,7.669599526848867e-05,262,0.0011475491000000001,0.0011848645,0.001259325,0.001313095,0.0013689925,0.0014278219999999998,0.0014773845
-50.5726,0.0014761296153846157,0.00010062792520889097,26,0.0013077,0.0013497725,0.0013951525,0.0014936749999999999,0.0015291625,0.001635865,0.001680305,0.0014147263392857146,7.018896885936925e-05,112,0.0012561469000000002,0.0012992775,0.0013718875,0.001412225,0.00146275,0.001531345,0.0015653808,0.00131490141221374,6.98006029784767e-05,262,0.0011597266,0.001201512,0.0012708225,0.0013145000000000001,0.0013644425000000002,0.0014262989999999998,0.0014598052999999999
-49.5726,0.0014853719230769231,0.00010275805101379573,26,0.0013274625,0.001361585,0.0014131675,0.001454275,0.0015581800000000002,0.001674445,0.0016925400000000002,0.0014153816964285718,8.597886209834853e-05,112,0.001263649,0.0012841929999999999,0.0013621925,0.001404485,0.0014779275,0.001563839,0.0016266638,0.0013162122519083971,9.043542386022864e-05,262,0.0011018532,0.0011724465,0.0012517,0.001318895,0.00137896,0.0014656110000000001,0.0015037138
-48.5726,0.0014953796153846152,9.258312008053169e-05,26,0.0013271825,0.0013508125,0.0014282825,0.0014809250000000001,0.0015445300000000001,0.0016457474999999999,0.0016720074999999998,0.001426710714285715,9.133259098515589e-05,112,0.0012515160999999999,0.0012948645,0.0013638349999999999,0.0014098650000000002,0.00148437,0.0015774979999999999,0.0016496063,0.0013238100381679381,9.562501111010114e-05,262,0.0010810366999999999,0.0011644685,0.0012635875,0.0013264000000000001,0.0013893025,0.0014744025,0.0015147173999999998
-47.5726,0.0015061361538461538,8.074068144755397e-05,26,0.0013467275,0.0013732725,0.0014507575,0.001496505,0.0015498425,0.001629915,0.00165317,0.0014370328571428578,8.658983611192088e-05,112,0.001258704,0.0013178475,0.0013796199999999998,0.00142247,0.001490515,0.0015839699999999999,0.0016493458999999999,0.00133063213740458,9.14359885217334e-05,262,0.0011075965,0.0011798515,0.001270535,0.00133276,0.00139425,0.0014711695,0.0015095250999999999
-46.5726,0.0015184223076923076,7.256803700295013e-05,26,0.00138018,0.00139628,0.001463935,0.001519585,0.0015644449999999998,0.0016319525,0.001654905,0.0014469771428571433,8.06189712368914e-05,112,0.0012704052,0.00133756,0.0013925425,0.00144277,0.0015023775,0.0015939055,0.0016431813,0.0013360431297709922,8.806651638056535e-05,262,0.0011181116,0.00118562,0.0012760949999999999,0.001336615,0.0014012075,0.0014648355,0.0014998823999999998
-45.5726,0.0015306592307692307,6.763411937317298e-05,26,0.0014072925,0.00141572,0.00148112,0.001531685,0.001574635,0.0016375,0.0016591,0.0014563533035714291,7.627601510290825e-05,112,0.0012820378999999999,0.0013510995,0.0014018300000000002,0.001450705,0.0015106575,0.0015890484999999998,0.0016413025,0.001340730801526717,8.614754503435978e-05,262,0.0011273606,0.0011974879999999998,0.0012846625,0.0013431200000000002,0.00140495,0.0014652225,0.0014975022999999998
-44.5726,0.0015406580769230767,6.444380739957754e-05,26,0.0014258674999999999,0.00143446,0.001494055,0.001542525,0.0015820475,0.0016427274999999998,0.0016627649999999999,0.0014631878571428577,7.29412692714787e-05,112,0.0012916515,0.001354998,0.0014138500000000001,0.0014616,0.0015128725,0.0015816299999999999,0.0016402524,0.0013427257633587782,8.504010995488652e-05,262,0.0011305735,0.0011994805000000001,0.0012883075,0.0013517350000000002,0.0014024375,0.001470386,0.0014924807
-43.5726,0.0015474411538461538,6.22264775366193e-05,26,0.0014401325,0.0014498,0.0015011825,0.00154521,0.00158633,0.001649035,0.0016673274999999999,0.0014660144642857141,7.011747433356133e-05,112,0.0013002848000000001,0.001353921,0.00141868,0.0014677000000000002,0.00151114,0.0015779095,0.0016334073,0.0013400870229007646,8.489840370715142e-05,262,0.0011340948,0.0011992559999999999,0.001284625,0.0013481,0.0013980499999999999,0.0014697064999999998,0.0014910115
-42.5726,0.0015477450000000001,6.19395670149542e-05,26,0.0014484825,0.0014630175,0.00149915,0.001539175,0.00158546,0.0016611075000000002,0.00167588,0.0014613467857142856,6.697122195208528e-05,112,0.001305517,0.001344531,0.0014195375,0.001464555,0.0015085950000000002,0.0015632489999999998,0.0016128955,0.0013303358015267176,8.448728298469955e-05,262,0.0011364764,0.0011926305,0.0012739025,0.001338265,0.0013911625,0.0014618605,0.0014934158999999998
-41.5726,0.0015398857692307693,6.578870840337735e-05,26,0.0014462,0.0014578025,0.0015011375,0.0015219,0.001573625,0.0016762525,0.00168647,0.0014479288392857147,6.3241220517274e-05,112,0.0013079786,0.001339041,0.0014101875,0.001449685,0.0014918175,0.001540811,0.001587273,0.0013134423282442752,8.315607433248594e-05,262,0.0011121031,0.0011750204999999999,0.0012576275,0.00131627,0.0013752,0.0014415755,0.0014845136999999998
-40.5726,0.0015239046153846154,7.489306756867523e-05,26,0.00142323,0.00143226,0.001476115,0.00150508,0.0015514225,0.0016907699999999999,0.00169242,0.0014266899107142855,5.952720924528965e-05,112,0.0012891647,0.0013328915,0.0013927625,0.00142901,0.0014660075,0.001523067,0.0015529106,0.0012927191984732828,8.035546706889856e-05,262,0.0011009032,0.001156943,0.0012397975000000001,0.00129399,0.0013531849999999998,0.001418519,0.0014632536999999999
-39.5726,0.0015062188461538455,8.756876481152047e-05,26,0.001380335,0.0014093575000000001,0.0014483875,0.001492495,0.0015252675,0.0016929100000000002,0.0017155875,0.0014035850000000002,5.742338816290893e-05,112,0.0012681345000000001,0.0013131285,0.0013667625,0.00140628,0.0014408575,0.0014991314999999999,0.0015275093,0.0012746788549618318,7.670994894829081e-05,262,0.0010910075,0.0011447349999999998,0.001222445,0.0012738699999999999,0.001328465,0.0013978235,0.0014333193999999999
-38.5726,0.0014939915384615382,9.98326023578393e-05,26,0.0013438825,0.001387975,0.001431905,0.00147404,0.0015196725,0.0016938525,0.0017345025,0.0013858896428571425,5.9082302466442213e-05,112,0.0012648769,0.001299885,0.0013393825,0.0013870150000000001,0.0014304349999999999,0.0014816514999999998,0.0015203731,0.0012656096946564892,7.375360261544505e-05,262,0.0010965614000000002,0.00113886,0.0012173725,0.001265635,0.0013194650000000001,0.001392373,0.0014179271999999999
-37.5726,0.0014904280769230773,0.00010801558398746845,26,0.0013218499999999998,0.00137708,0.0014312225,0.001462875,0.0015230950000000001,0.0016916575,0.0017472775,0.0013775333928571429,6.455741671759859e-05,112,0.0012398062,0.001288793,0.0013273025,0.00137586,0.001425435,0.0014730284999999997,0.0015410579,0.0012676581679389313,7.290398236132421e-05,262,0.0010979355,0.0011407610000000001,0.001220545,0.001266415,0.0013127125,0.0013916434999999999,0.0014233810999999999
-36.5726,0.0014958103846153844,0.00011078587146313445,26,0.001316115,0.0013823,0.0014322075000000002,0.001469665,0.0015365,0.00168812,0.0017549075,0.0013786647321428565,7.18524255386237e-05,112,0.0012147555999999999,0.001278707,0.00132661,0.001375865,0.001425605,0.0014908834999999999,0.0015624424000000002,0.0012783179007633584,7.433326919087537e-05,262,0.0011112523,0.001155536,0.0012278075,0.00127819,0.0013225725000000001,0.0014043929999999999,0.0014435626999999998
-35.5726,0.0015058626923076925,0.00010896868653178095,26,0.0013234425,0.0013947325,0.0014357299999999999,0.00147346,0.0015526375,0.0016857975000000001,0.001757505,0.001385825625,7.854430111372622e-05,112,0.0012031802,0.0012676599999999999,0.0013409575,0.00138427,0.0014317775,0.0014995174999999999,0.0015893684,0.0012917973664122136,7.658748727575469e-05,262,0.001125365,0.0011667525,0.00123978,0.00129104,0.001336055,0.0014148275,0.0014694680999999999
-34.5726,0.0015148173076923075,0.00010472131838580692,26,0.0013377725,0.0014079575,0.0014476825,0.00147828,0.0015633325,0.0016869825,0.001756425,0.0013942888392857147,8.278792072252766e-05,112,0.0012039477,0.0012694,0.00135055,0.001393865,0.0014396749999999999,0.0015245054999999997,0.0016135137,0.0013028451526717565,7.83610630924596e-05,262,0.0011288815,0.001171708,0.0012519575000000001,0.0013017200000000001,0.00134708,0.00143378,0.0014944951
-33.5726,0.001516736923076923,0.00010030964746301249,26,0.00135046,0.001413045,0.001460585,0.001482225,0.0015544625,0.001689095,0.00175161,0.0013989868749999996,8.332487992473028e-05,112,0.0012128141,0.0012776105,0.001350265,0.00139993,0.0014409875,0.00154244,0.0016231618,0.001307506106870229,7.916260941155725e-05,262,0.0011317168000000001,0.001182771,0.0012545125,0.00130825,0.0013577049999999998,0.001451335,0.0015033981
-32.5726,0.0015084134615384616,9.691504815836628e-05,26,0.0013597625,0.0014073575,0.0014502675,0.001480315,0.0015367375,0.00168733,0.0017393125,0.0013961409821428566,8.068634856636313e-05,112,0.0012207112,0.0012813605,0.001345795,0.0013985999999999998,0.0014363375,0.0015429489999999996,0.0016147593,0.0013030991603053426,7.884265875720604e-05,262,0.0011338725000000001,0.001178062,0.0012510275,0.00130313,0.00135254,0.0014529954999999998,0.0014877937999999995
-31.5726,0.0014900469230769234,9.497362163334534e-05,26,0.0013645175,0.0013881100000000001,0.0014287025,0.001464525,0.001516045,0.0016772525,0.0017153225,0.0013849808035714284,7.59334648315908e-05,112,0.0012282854,0.0012776405,0.0013399225,0.001383625,0.0014131625,0.0015297774999999997,0.0015825601,0.0012901663358778626,7.731196306199825e-05,262,0.0011233844,0.001171238,0.0012377525000000001,0.00128926,0.0013396725,0.0014315845,0.0014675837
-30.5726,0.0014653546153846155,9.347358686733998e-05,26,0.0013582949999999998,0.0013699925,0.0014046475,0.001432895,0.0014919575,0.00165896,0.00167844,0.0013684281250000002,7.055068643119046e-05,112,0.0012308333,0.0012643365,0.001321595,0.0013665,0.0014012575,0.001508778,0.0015544258,0.0012739019083969464,7.45846064527776e-05,262,0.0011123,0.0011512415,0.0012251575000000001,0.0012732,0.0013190875,0.0014085049999999998,0.0014506859
-29.5726,0.00144102,9.042152557881339e-05,26,0.00132839,0.00134877,0.00138002,0.00141157,0.0014633375,0.0016328550000000001,0.0016338875,0.0013521797321428563,6.65494546374365e-05,112,0.0012259301000000001,0.001263316,0.00131219,0.0013417099999999999,0.0013811399999999999,0.0014718849999999998,0.001516827,0.0012613817938931294,7.125833543920705e-05,262,0.0011056754000000001,0.0011439225,0.0012167475,0.0012594350000000002,0.0013068375,0.001380425,0.0014327738999999997
-28.5726,0.0014220830769230768,8.566065424775747e-05,26,0.00130172,0.00132919,0.00137352,0.00140272,0.0014436575,0.0016007425,0.001608185,0.0013404408928571429,6.45364872361458e-05,112,0.0012208128,0.001243599,0.0013011099999999999,0.0013288,0.0013724050000000002,0.001452203,0.0014857757,0.0012562653435114505,6.828070926643575e-05,262,0.0011110478999999999,0.0011406945,0.0012160950000000002,0.001256015,0.0012971825,0.0013654539999999999,0.0014217530999999998
-27.5726,0.0014106884615384615,8.006290355425829e-05,26,0.00128144,0.00130821,0.001368755,0.0013971449999999998,0.0014353525,0.0015728125,0.00158611,0.0013356986607142853,6.405698015984802e-05,112,0.0012144359000000001,0.0012404415,0.0012903525,0.001328475,0.0013704475,0.0014570054999999999,0.0014705547,0.001259955687022902,6.707062673765714e-05,262,0.0011134388,0.001143037,0.0012225975,0.00126191,0.001298765,0.0013673074999999999,0.0014161846999999998
-26.5726,0.001407558846153846,7.446744912117901e-05,26,0.0012717675,0.0013011824999999999,0.0013730975000000002,0.00140094,0.0014391075,0.0015543225,0.0015699725,0.0013378338392857128,6.432942560477751e-05,112,0.0012148240999999998,0.0012445565,0.0012908149999999998,0.0013357450000000002,0.001372445,0.00144856,0.0014910325,0.0012724308778625957,6.779951662646245e-05,262,0.0011202664,0.0011521745,0.001231285,0.001271085,0.00131704,0.0013949269999999998,0.0014141366
-25.5726,0.0014097157692307693,6.923257812175287e-05,26,0.0012700225,0.0013067775,0.00137892,0.0014003750000000001,0.0014445025,0.001540575,0.0015573599999999998,0.0013442754464285714,6.458688124246082e-05,112,0.001216184,0.0012464665,0.00130118,0.001342765,0.0013790275,0.0014565214999999999,0.0015061607000000001,0.0012898387786259547,6.920272557942573e-05,262,0.0011285987,0.001176117,0.001248175,0.00128842,0.0013404799999999998,0.001400313,0.0014371961999999998
-24.5726,0.0014099734615384617,6.516374286010942e-05,26,0.0012681774999999998,0.00131694,0.001375815,0.001400325,0.0014405275,0.0015279999999999998,0.00154178,0.0013482712500000001,6.39982127442592e-05,112,0.0012204377,0.001252882,0.00130438,0.00134983,0.001383325,0.0014590505,0.0015187797999999999,0.0013032596564885493,6.975736545708798e-05,262,0.0011374748,0.0011886775,0.0012563175,0.0013008849999999999,0.0013526325,0.0014150675,0.0014637044999999999
-23.5726,0.0014016026923076923,6.327245811932343e-05,26,0.0012582775,0.001319405,0.001366425,0.00139656,0.001438715,0.001514105,0.0015204925,0.0013424655357142862,6.224276129032e-05,112,0.0012194571,0.0012485655,0.00130226,0.001346065,0.0013746475,0.0014545345000000001,0.0015132802,0.001303939503816794,6.87586492959945e-05,262,0.0011379855,0.0011921045,0.0012566225,0.00130477,0.0013515749999999998,0.0014154439999999999,0.0014705152999999998
-22.5726,0.001382395384615385,6.295105751173806e-05,26,0.0012391750000000001,0.0013061875,0.0013459975,0.001372955,0.0014239550000000002,0.0014897925,0.0014920075,0.0013238715178571431,5.9609607729890234e-05,112,0.0012098953,0.0012328525,0.0012808675,0.00132339,0.001359025,0.0014324575,0.0014844377,0.0012887802671755727,6.572228900134149e-05,262,0.0011323758,0.0011859745,0.0012459625,0.0012898699999999998,0.0013328575,0.0013957239999999999,0.0014511643
