Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-37.6408,0.4255182916666667,0.05026378115197702,24,0.32175571,0.3348832,0.389919,0.4340385,0.467554,0.4815567,0.49654376999999994,0.48797869642857167,0.04124230692266633,112,0.38928001,0.41095385,0.464298,0.4916275,0.514033,0.55056555,0.57104935,0.5456631518518519,0.04442905580696925,270,0.44462914000000003,0.4674415,0.5177594999999999,0.543384,0.5744659999999999,0.61848445,0.65995814
-36.6408,0.42506416666666663,0.049380906047357724,24,0.32143855,0.3356919,0.39261075,0.43441450000000004,0.46449575,0.4790385,0.49446147,0.4871381250000001,0.04096155882321225,112,0.38933779999999996,0.41206995,0.4636305,0.488221,0.51481675,0.54622575,0.57299226,0.5444924592592593,0.04431417047937697,270,0.44541041,0.4676813,0.5168125,0.542173,0.5734805000000001,0.61696595,0.6579824900000001
-35.6408,0.42845408333333346,0.04927406352222997,24,0.32583827,0.3380248,0.3975025,0.43857650000000004,0.46724525,0.48397305,0.49585868,0.49090160714285697,0.040971383804471156,112,0.39257647999999995,0.41560635,0.4670165,0.492852,0.51945325,0.5486232,0.5765176,0.5487391629629629,0.04439398499013351,270,0.45071945,0.4731381,0.5206164999999999,0.5466025000000001,0.57705725,0.62076935,0.66094412
-34.6408,0.42850966666666673,0.04901921318144077,24,0.32730398,0.3374744,0.39762925,0.4392335,0.4669485,0.4841505,0.49388241,0.4908452410714287,0.04107135639331146,112,0.38982134,0.41488725,0.46599749999999995,0.49455950000000004,0.5197959999999999,0.5485047,0.57720057,0.5487918481481481,0.044568776395512724,270,0.45125859,0.4753961,0.5215195,0.5468375000000001,0.5764235,0.6208265,0.6599508900000001
-33.6408,0.42766241666666677,0.0486939206721695,24,0.32799058999999997,0.33582059999999997,0.39684624999999996,0.43933750000000005,0.46584250000000005,0.48361944999999995,0.49098089,0.4900173392857142,0.04107022478601667,112,0.38682287,0.4136522,0.46449399999999996,0.4928095,0.5174267499999999,0.5489284999999999,0.57759195,0.5480690333333333,0.044592126915607204,270,0.44879111,0.4756976,0.520218,0.5460155,0.575738,0.6205579,0.65730971
-32.6408,0.4264038333333333,0.048400953873700234,24,0.32802122,0.33416525,0.39589799999999997,0.4391695,0.46395200000000003,0.48233784999999996,0.4875941,0.4887877946428573,0.04096576390090237,112,0.3836643,0.41200495,0.463755,0.491284,0.51620725,0.54812805,0.57702889,0.5469316962962963,0.04451992492600044,270,0.44686496,0.47622805,0.5185200000000001,0.543794,0.575252,0.6194365500000001,0.6536390500000001
-31.6408,0.424417875,0.04814730794073764,24,0.32742704,0.3320442,0.3944425,0.4383955,0.46151825,0.48016765,0.48381250000000003,0.4865731785714287,0.04095992000410401,112,0.38017994,0.40915905,0.46205725,0.489812,0.5148285,0.5452391999999999,0.57596711,0.5447911481481482,0.04450480980831875,270,0.44444368,0.4731671,0.51642625,0.5422145,0.573997,0.6167178999999999,0.65148613
-30.6408,0.4218127916666666,0.04801214068199578,24,0.32604395999999997,0.3291961,0.39237900000000003,0.43748549999999997,0.4575285,0.47727895,0.47952888,0.48354028571428576,0.04093896760965839,112,0.37641187,0.4058114,0.45846025,0.4867815,0.5127005,0.5413996499999999,0.5741268,0.5418399925925925,0.04453267049462501,270,0.44249916,0.4696971,0.51309625,0.5388735,0.57125125,0.6141680999999999,0.65111806
-29.6408,0.4183175416666666,0.0479239348551242,24,0.32289022,0.3264865,0.38981025,0.4358605,0.45403125,0.47337904999999997,0.4749586,0.4792585982142859,0.040878661969794436,112,0.37169047,0.40301405,0.45512600000000003,0.48163,0.5081307500000001,0.53787385,0.57130108,0.5375392296296295,0.044579180180110055,270,0.43761103,0.46749785,0.5089937499999999,0.534844,0.5661634999999999,0.6115349,0.6494952
-28.6408,0.41445950000000004,0.04790277705665017,24,0.31939858000000004,0.32272120000000004,0.385847,0.434081,0.450741,0.46863459999999996,0.47092587,0.47435749999999993,0.04075960508499419,112,0.36700069,0.3988757,0.4515435,0.4762865,0.503964,0.5350574,0.56707703,0.5326458666666666,0.04463168133479021,270,0.43181129,0.4629067,0.5043545,0.5313615,0.5608920000000001,0.60769635,0.64695571
