Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-37.6408,0.18540141666666665,0.04086887662301885,24,0.12788762999999997,0.1309986,0.1552955,0.1854495,0.20821975,0.265431,0.27042635000000004,0.18478747321428565,0.029180389624676447,112,0.13240072,0.1458939,0.16586599999999999,0.179168,0.20082,0.23566354999999997,0.26294452,0.18072601845018443,0.026774619409606702,271,0.1334507,0.1444925,0.163133,0.176654,0.1939825,0.2284755,0.2606839
-36.6408,0.1845322916666667,0.0403902063424971,24,0.12629958,0.1289382,0.1546405,0.183758,0.2078095,0.26305239999999996,0.26658589,0.18410813392857142,0.028776967371006826,112,0.13277132,0.146387,0.164778,0.17943,0.198744,0.23477984999999998,0.26396107,0.18059619557195566,0.026495484953494797,271,0.1342122,0.1453345,0.1629385,0.176725,0.193163,0.225689,0.26037940000000004
-35.6408,0.18063537500000004,0.0390499890305752,24,0.12331968,0.12635525,0.152059,0.1773435,0.20620850000000002,0.25322255,0.25857186000000004,0.18054638392857147,0.027634345953445223,112,0.12971169999999999,0.14562075,0.16201175,0.1761345,0.1946165,0.23049465,0.25747582,0.17721605166051657,0.025589995965529962,271,0.1296763,0.142096,0.1604215,0.174226,0.190192,0.2212865,0.25139650000000013
-34.6408,0.17841087500000005,0.038335058707586855,24,0.12144081000000001,0.12478005,0.15048725000000002,0.1730695,0.2065475,0.24736354999999996,0.25401982,0.1790781964285714,0.02699377697649152,112,0.1293995,0.14557815,0.1609775,0.1751565,0.19120925,0.22876119999999994,0.25631549,0.1760741180811808,0.02506917089250973,271,0.12887230000000002,0.1407195,0.15990300000000002,0.173723,0.189193,0.2188475,0.24538740000000017
-33.6408,0.17612641666666665,0.037509442349681205,24,0.11990462,0.12347195,0.149109,0.169703,0.20236700000000002,0.24154345,0.24851723,0.1779461428571429,0.02628436747884932,112,0.12950459,0.1453865,0.1608995,0.1753075,0.18724625,0.22489274999999992,0.25512785000000004,0.17543825092250923,0.024481397654889003,271,0.1292857,0.1403705,0.159843,0.173012,0.1884285,0.2169045,0.24178080000000018
-32.6408,0.17353641666666667,0.036739503120727844,24,0.11818957,0.1217323,0.148441,0.167548,0.20170825,0.23568334999999999,0.24281078,0.17687304464285716,0.025523657179346376,112,0.1296861,0.1455823,0.1601175,0.17461549999999998,0.18567450000000002,0.22715779999999997,0.25341744,0.1751172029520295,0.023955305361647326,271,0.1303756,0.140114,0.1594695,0.172813,0.1880015,0.2157445,0.2384762000000002
-31.6408,0.17130958333333332,0.03622050090273363,24,0.11656863,0.12018645,0.14840925,0.1658795,0.19902275,0.23097325,0.23796272999999998,0.1763777678571429,0.02495130744772766,112,0.12988728000000002,0.14532105,0.16023774999999998,0.1757605,0.18473375,0.22438775,0.25282611000000005,0.17551468265682665,0.023608923600944128,271,0.1317834,0.1397245,0.15996,0.174134,0.188362,0.21685949999999998,0.23618190000000017
-30.6408,0.16891570833333333,0.03583589965927314,24,0.11477746,0.11867045,0.14588725,0.163871,0.195554,0.22622874999999998,0.233019,0.17608961607142845,0.024468049417407843,112,0.13019549,0.14533175,0.15996975000000002,0.175028,0.18564324999999998,0.22076269999999995,0.25265303,0.17633886346863478,0.023342441837415854,271,0.1319054,0.140926,0.161129,0.174862,0.1885465,0.218866,0.23425280000000015
-29.6408,0.16664316666666665,0.03560467653781338,24,0.11302423,0.1171053,0.141814,0.1605405,0.191938,0.22330505,0.22864009,0.1763888214285714,0.024084641361609985,112,0.13198394000000002,0.1446875,0.159699,0.1749415,0.185847,0.21943999999999994,0.25300214,0.17800861623616224,0.023249690106583783,271,0.1332753,0.1429915,0.16258299999999998,0.176027,0.19009150000000002,0.219745,0.2354988000000001
-28.6408,0.16468670833333332,0.035635958360938406,24,0.11140270000000001,0.11580075000000001,0.13847125,0.1570985,0.18851675,0.22567645,0.22832784,0.1771157232142857,0.02376688210276357,112,0.13557206000000002,0.1469787,0.16102125,0.17555700000000002,0.1872145,0.21974784999999994,0.25298491,0.1802068782287822,0.023315569274865302,271,0.1359477,0.1452235,0.164013,0.178592,0.1932235,0.222293,0.24035180000000006
