Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-35.841,0.20684903846153846,0.05845569153639757,26,0.118342,0.12179175,0.173182,0.2033055,0.2333995,0.32657675,0.35147925,0.2940594553571428,0.04599923467222494,112,0.21937478,0.23288975,0.26522124999999996,0.28713500000000003,0.3158065,0.37819624999999985,0.46245990000000003,0.3768808884758364,0.05331792906946193,269,0.28756388,0.3011182,0.335844,0.369352,0.411989,0.4714446,0.51374444
-34.841,0.20352157692307696,0.058970821249952475,26,0.11756275,0.12135275000000001,0.16901650000000001,0.1985645,0.230485,0.31923175,0.35900624999999997,0.2901971696428571,0.04955592932640245,112,0.21233597999999998,0.2264483,0.259729,0.28108049999999996,0.310511,0.37328834999999966,0.46170599,0.37258406319702597,0.05370298786560905,269,0.2836246,0.2961886,0.332834,0.364072,0.409735,0.46774679999999996,0.5089447599999999
-33.841,0.19978946153846153,0.059068956232004484,26,0.116057,0.1203695,0.16419125,0.1933805,0.22646275,0.30820225,0.36330775000000004,0.28614189285714275,0.05310431097129653,112,0.20920571000000002,0.22143335,0.25334275,0.27558150000000003,0.304806,0.3838275999999997,0.44822219,0.3685483420074349,0.05393465333673923,269,0.28074868,0.2914218,0.330054,0.36052,0.405514,0.4661234,0.5056882
-32.841,0.19671000000000005,0.05908527894357443,26,0.1147865,0.11898125,0.1603195,0.1893405,0.2232715,0.29891199999999996,0.36383424999999997,0.28236084821428586,0.055281080269886027,112,0.20511699,0.2182294,0.24845325000000001,0.270862,0.30008775,0.38427205,0.44627883,0.3653657286245355,0.05409304400087463,269,0.27815532,0.2875576,0.325398,0.35805,0.402502,0.4647544,0.50641932
-31.841,0.19326103846153847,0.05862292099340037,26,0.114149,0.11789125,0.15637625,0.184864,0.21957225,0.29067775,0.35951375,0.27742764285714283,0.0567162599158678,112,0.20076296000000002,0.21250805,0.242129,0.2649635,0.2946265,0.38572199999999995,0.44433116,0.36138179925650565,0.05443755726830649,269,0.27425320000000003,0.2836458,0.32178,0.353928,0.395696,0.4620844,0.5152100399999998
-30.841,0.18955484615384616,0.05736012073187594,26,0.11397525,0.117172,0.1525145,0.182001,0.21399875000000002,0.283012,0.34829425,0.27195816964285713,0.0566480348591493,112,0.19631009,0.20713645,0.23753725,0.26054,0.28744475,0.3818194,0.43869132,0.3575158698884757,0.0546654907991105,269,0.26994784,0.2802794,0.31773,0.34951,0.392432,0.4591974,0.5153509199999997
-29.841,0.18583919230769233,0.056055096947927395,26,0.11448925,0.11694750000000001,0.147908,0.178974,0.2097455,0.291688,0.33938875,0.2659250535714286,0.05526186297555156,112,0.19233081,0.2019984,0.2335985,0.2554395,0.28121775,0.36978124999999995,0.42910325,0.35368701115241613,0.05471423077788398,269,0.26580576,0.2765062,0.314156,0.345896,0.389402,0.45455639999999997,0.5122294399999998
-28.841,0.18222184615384612,0.055190280510751026,26,0.115351,0.1169245,0.14391125,0.1743065,0.20550325,0.30512374999999997,0.328925,0.2596860357142858,0.0526973300990314,112,0.187113,0.19724365000000002,0.229379,0.2497125,0.27606925,0.35238829999999993,0.41489051,0.3502050743494422,0.05464658881552952,269,0.26221,0.2723404,0.310048,0.34179,0.386366,0.4501348,0.5095049199999998
-27.841,0.17851238461538463,0.054544531319703854,26,0.11693300000000001,0.1173385,0.14035175,0.17023749999999999,0.2010265,0.29170025,0.33234600000000003,0.25325233035714284,0.04939889671386942,112,0.18127014,0.19246635,0.224608,0.2449875,0.269996,0.3365655,0.39831815000000004,0.34687204832713775,0.0545864363079318,269,0.25862884,0.2682506,0.307155,0.337699,0.383715,0.44696759999999996,0.5017427999999999
-26.841,0.17425203846153847,0.05342524979930802,26,0.11674224999999999,0.11919325,0.136799,0.166488,0.195996,0.26928399999999997,0.334582,0.2465147678571429,0.045791332049467,112,0.17487012000000002,0.1881313,0.22014075,0.2396005,0.2649605,0.31743285,0.38100239,0.34366005576208175,0.054655056126398,269,0.25527131999999997,0.2651514,0.303677,0.334447,0.380259,0.44326179999999993,0.4901126799999999
