Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-48.4501,0.3737241999999999,0.06647015950848421,25,0.21210568,0.2203766,0.354747,0.388243,0.415098,0.44994900000000004,0.45078764,0.45807124324324305,0.031100400697277264,111,0.3906939,0.4068805,0.4362445,0.460541,0.47851699999999997,0.5073135,0.5307738,0.5179583533834586,0.03658563463596276,266,0.43974395,0.4602425,0.494081,0.514236,0.543035,0.5762637500000001,0.5976428500000001
-47.4501,0.37395791999999994,0.0666303827768784,25,0.2102242,0.219193,0.355325,0.388784,0.416359,0.4499982,0.45014844,0.45833288288288276,0.031061721934572534,111,0.3915492,0.408822,0.4371635,0.462011,0.478599,0.5071815,0.530553,0.5178027781954887,0.03626622854350153,266,0.43751685,0.461756,0.49379975,0.51428,0.5432325,0.57678675,0.5967371500000002
-46.4501,0.37390819999999997,0.06664714994781598,25,0.2087774,0.218319,0.355425,0.388023,0.416464,0.44884379999999996,0.45041184,0.4582510180180178,0.03112056857361586,111,0.3920505,0.409324,0.4364355,0.461891,0.479552,0.50668,0.5304795,0.5178190714285712,0.03614158409605529,266,0.4370597,0.463366,0.493046,0.515001,0.54378175,0.576278,0.5979931
-45.4501,0.37363468000000005,0.06617090765757008,25,0.20898412,0.2185554,0.355438,0.388785,0.414501,0.4463608,0.44978095999999995,0.4579262882882883,0.031306138401971696,111,0.3944045,0.4091505,0.43559349999999997,0.460534,0.4800135,0.507258,0.5305307,0.5182990037593983,0.03614812948165683,266,0.43721945,0.4637735,0.49351425,0.5156864999999999,0.5451267500000001,0.5772222499999999,0.5990081500000001
-44.4501,0.37367227999999997,0.0655070542375145,25,0.21053316,0.2201084,0.355894,0.38997,0.41301,0.444135,0.44911024,0.45757672072072086,0.03139675522382736,111,0.3980197,0.4087095,0.4352235,0.459309,0.479062,0.5075725,0.5307858,0.5184356165413533,0.03598148593137536,266,0.43761845,0.46336425,0.49337125,0.5154974999999999,0.5452667499999999,0.5775622499999999,0.59881815
-43.4501,0.37342847999999995,0.06496677326469791,25,0.21125448,0.2208762,0.356403,0.388568,0.411548,0.44218640000000003,0.44804276,0.45723243243243245,0.03165119172756278,111,0.3989161,0.40805,0.434685,0.458074,0.4792115,0.5082,0.531173,0.5188456879699246,0.0359679269546561,266,0.43771115,0.4630145,0.4931005,0.5158659999999999,0.5452635,0.5781955,0.5993590500000001
-42.4501,0.37279635999999994,0.06439685161162773,25,0.21194164,0.22144780000000003,0.356827,0.386766,0.409964,0.4414434,0.44676188,0.4566583153153154,0.03221372013260019,111,0.3949646,0.40887949999999995,0.43417700000000004,0.45794,0.47931,0.509552,0.5317619,0.519473819548872,0.03618899174409404,266,0.43764264999999997,0.46272250000000004,0.4938445,0.5171064999999999,0.5457205,0.5789880000000001,0.59978855
-41.4501,0.37149528,0.06361916167746423,25,0.2130544,0.2220966,0.356956,0.383163,0.408044,0.4410388,0.44459328,0.45565145045045025,0.033095294383104386,111,0.39002840000000005,0.407084,0.432002,0.455027,0.47873,0.5106535,0.5323972,0.5204172706766915,0.03675938522996472,266,0.4376098,0.46238875,0.4936855,0.5188809999999999,0.5485227500000001,0.579434,0.6004323
-40.4501,0.36928271999999995,0.06267996431112045,25,0.21400364,0.22277280000000002,0.356384,0.378753,0.405813,0.441728,0.44662688,0.45409164864864865,0.03439068453881308,111,0.3835399,0.40434400000000004,0.4291805,0.453036,0.4773945,0.5105770000000001,0.5330598000000001,0.521716515037594,0.03777385108088537,266,0.43716375,0.460995,0.4944385,0.520088,0.55124925,0.58170575,0.6050350000000001
-39.4501,0.36605336,0.061668111373085956,25,0.2144388,0.22365980000000002,0.353934,0.374156,0.403116,0.43808759999999997,0.4513906,0.4519088378378377,0.036108536097700206,111,0.3755798,0.4000995,0.427161,0.449834,0.47620799999999996,0.5104875,0.5336988000000001,0.52334837593985,0.03926276839451763,266,0.43695914999999996,0.45992225,0.494675,0.5219825,0.5559785,0.58672475,0.6102033000000001
-38.4501,0.36142752,0.06065700401514514,25,0.21438544,0.22415960000000001,0.349348,0.368483,0.398717,0.4330842,0.45659952,0.4490418648648647,0.03845055885265612,111,0.3655529,0.3938965,0.423792,0.447315,0.47479150000000003,0.5113715000000001,0.5350484000000001,0.5258245563909772,0.04157560930349891,266,0.43672305,0.45962800000000004,0.49687950000000003,0.5246735,0.5615205,0.594823,0.61705095
-37.4501,0.35589067999999996,0.0594946897901541,25,0.2151922,0.2250918,0.339702,0.363809,0.392924,0.4267042,0.4610365599999999,0.4457625405405405,0.04121508500025066,111,0.3550407,0.3866985,0.4167455,0.443599,0.46937799999999996,0.5151025,0.5370771000000001,0.5289360413533833,0.04446530789034514,266,0.43573275,0.457431,0.49721550000000003,0.5276434999999999,0.5658525000000001,0.60437825,0.6240420000000001
-36.4501,0.34967651999999994,0.05860706158683725,25,0.21620856,0.2258396,0.327699,0.359958,0.385771,0.4192182,0.4655612399999999,0.4426559279279278,0.0443542480029123,111,0.3437216,0.3786835,0.41008750000000005,0.440627,0.465743,0.5188355,0.5401418,0.5330405827067672,0.047844509733198384,266,0.43316955,0.45426025000000003,0.49795475,0.531894,0.57152425,0.61198025,0.6335418
-35.4501,0.343529,0.05842632529305603,25,0.21651436000000002,0.22557180000000002,0.318952,0.349821,0.378189,0.4111008,0.47052535999999984,0.4408383963963964,0.04763828123746305,111,0.33442479999999997,0.3711125,0.40760799999999997,0.438783,0.46578050000000004,0.522499,0.5461651999999999,0.5386018082706766,0.051406917171709005,266,0.4305088,0.45455799999999996,0.498259,0.5369459999999999,0.577317,0.62174925,0.64811045
-34.4501,0.33848591999999994,0.059188362125308605,25,0.21601548,0.22435460000000002,0.316034,0.340373,0.371504,0.40367279999999994,0.4764925999999998,0.4412054954954954,0.05090067617408952,111,0.32831710000000003,0.36766350000000003,0.4031305,0.439455,0.4680945,0.5305795,0.5685653000000002,0.5459681015037594,0.054821845257685214,266,0.43315014999999996,0.4575155,0.50304775,0.545512,0.58447875,0.63568925,0.6649182
-33.4501,0.33527127999999995,0.06090257939633317,25,0.21463868,0.2223476,0.309684,0.335984,0.367273,0.39772779999999996,0.48356059999999973,0.44436582882882886,0.054064666981121084,111,0.325946,0.36770349999999996,0.40499949999999996,0.441703,0.473044,0.5407265,0.5788005,0.5554839699248123,0.057909466181819046,266,0.4378824,0.46282650000000003,0.5115885,0.5564835,0.59430275,0.6537345,0.67844875
-32.4501,0.33440255999999996,0.06330173414625648,25,0.21242048,0.21975,0.303649,0.337415,0.366331,0.3941102,0.49069691999999976,0.45057078378378385,0.0568937085108403,111,0.32917399999999997,0.36985049999999997,0.407382,0.446649,0.4815555,0.5577275,0.5944630000000001,0.5671417593984963,0.06053225326362865,266,0.4446041,0.46717074999999997,0.5220480000000001,0.5686395,0.6072685,0.67205,0.69395235
-31.4501,0.33625012,0.06626130790936743,25,0.20982531999999998,0.2167956,0.309895,0.34194,0.365904,0.3961042,0.4985764799999997,0.4598096666666666,0.05923483682786879,111,0.34026,0.375614,0.41351000000000004,0.454817,0.49256500000000003,0.5696635000000001,0.6166787000000001,0.5807212857142858,0.0626537850199761,266,0.4539423,0.47631875,0.53365325,0.5822355,0.62264575,0.6882305,0.7117670500000002
-30.4501,0.34064264,0.06941244028803484,25,0.20736644,0.2139832,0.312798,0.349556,0.372682,0.406263,0.5069588399999998,0.47154830630630623,0.06112000965251482,111,0.3534468,0.38283900000000004,0.422574,0.466868,0.5089969999999999,0.587333,0.6357025000000002,0.5955244360902257,0.0642137711099716,266,0.46549415,0.49001,0.5482805,0.5976079999999999,0.63986125,0.70373775,0.7305792
-29.4501,0.34702979999999994,0.07264796245536874,25,0.20577752,0.21208100000000002,0.314493,0.357115,0.382727,0.42130959999999995,0.5143441199999997,0.48504636036036025,0.06248421883888222,111,0.3642935,0.395757,0.43713100000000005,0.480567,0.524397,0.604218,0.6448324000000002,0.611042857142857,0.06524528692107559,266,0.47907815,0.5051705000000001,0.56445575,0.613823,0.6568430000000001,0.71939725,0.7514468000000001
-28.4501,0.35489555999999994,0.07591755442094184,25,0.20504016,0.21100200000000002,0.319055,0.368283,0.395234,0.43853119999999995,0.5208667199999998,0.5000196936936936,0.06343167484005459,111,0.376006,0.413528,0.45282750000000005,0.494951,0.545221,0.619658,0.6506023000000001,0.6268620037593988,0.06576094976833856,266,0.49346059999999997,0.522083,0.58032125,0.6274175,0.67204,0.73409125,0.76997415
-27.4501,0.36358712000000004,0.07906652788491896,25,0.20505732,0.21076419999999998,0.325835,0.379157,0.409457,0.4565233999999999,0.5262245199999998,0.5156650720720724,0.06404059754444288,111,0.3896969,0.4271475,0.4664965,0.512299,0.5608139999999999,0.6362995,0.6588969,0.6424426203007518,0.065811834666483,266,0.5061204,0.5382465000000001,0.5949677499999999,0.64323,0.68626775,0.7487517499999999,0.7872756
-26.4501,0.37289388,0.08207258705373759,25,0.20552816,0.2120784,0.3344,0.389391,0.424849,0.4744697999999999,0.5312506399999999,0.5317019459459459,0.06438168516177391,111,0.4037461,0.4405605,0.482109,0.530066,0.5786665,0.6509285,0.6736664,0.6576627857142859,0.06545162876993152,266,0.5186044,0.5516795,0.60890675,0.6575725,0.7012370000000001,0.7653402499999999,0.8008782
