Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-44.5093,0.0008295275600000002,0.00012376858832079867,25,0.0007357764,0.0007391062,0.000756234,0.000785304,0.000829712,0.0011252,0.001162844,0.0007488760462962963,4.594015836870571e-05,108,0.00066013904,0.0006839562000000001,0.00071798575,0.00074547,0.0007823205,0.00083313895,0.00084775727,0.0006890227918215613,4.914276713510653e-05,269,0.0005815517599999999,0.0006278243999999999,0.000660078,0.000683747,0.000716242,0.0007745464,0.0008078944799999999
-43.5093,0.0008342764799999998,0.0001224375689379149,25,0.00073335604,0.0007439778,0.000767659,0.000788498,0.000828334,0.001127564,0.00115661,0.0007579295925925925,4.605106643311163e-05,108,0.00067100216,0.00068530515,0.000726669,0.000755541,0.0007916335,0.0008428096,0.00085219383,0.0006948289776951674,5.119923887231116e-05,269,0.00058388916,0.0006304300000000001,0.000664924,0.000691705,0.000722411,0.0007782452,0.0008202131199999999
-42.5093,0.00084078692,0.00011865076409886004,25,0.00073585668,0.0007563994000000001,0.000773354,0.000801621,0.000837921,0.001127242,0.0011483787999999999,0.0007669354629629627,4.605498737245642e-05,108,0.0006766321,0.0006963272,0.000735711,0.0007676885,0.00080110175,0.0008430534,0.0008639191299999999,0.0006997488550185879,5.320332434440602e-05,269,0.0005872287999999999,0.0006307774,0.000666774,0.000698526,0.000731838,0.0007799074,0.00083094588
-41.5093,0.0008495085199999998,0.00011422833726179039,25,0.0007516194800000001,0.000759178,0.000789622,0.00080804,0.00084523,0.0011313319999999999,0.0011419136,0.0007776511111111113,4.525499265363985e-05,108,0.00068477765,0.0007081477499999999,0.0007452157500000001,0.0007759970000000001,0.0008079095000000001,0.0008532389499999999,0.00087387231,0.00070393687732342,5.4279977611762166e-05,269,0.0005907578000000001,0.0006323364,0.000669979,0.00070327,0.000736161,0.0007879698,0.0008330465199999999
-40.5093,0.0008644320400000001,0.00010992332754867518,25,0.0007594366,0.000781798,0.00080523,0.000831689,0.000852789,0.001139848,0.0011418608,0.0007918790833333337,4.575285118435422e-05,108,0.00069816379,0.0007163253,0.00076292375,0.0007896325,0.00082047875,0.0008727128500000001,0.0008965068799999999,0.0007089103271375465,5.483172461999558e-05,269,0.00059500552,0.0006353032,0.000673864,0.000708113,0.00074233,0.0007978826,0.00083816948
-39.5093,0.0008851137999999998,0.00010590476500453918,25,0.0007672814,0.0007985898,0.000832946,0.000861277,0.00087747,0.0011474,0.0011497312,0.000806671314814815,4.755999599947481e-05,108,0.00071023401,0.00072361975,0.00077759,0.0008030455,0.00083552375,0.0008931552499999999,0.00091879065,0.0007134862081784387,5.496006098958487e-05,269,0.00059809548,0.0006394198,0.000678502,0.000711112,0.000747571,0.0008082884,0.00083856336
-38.5093,0.00090536268,0.00010247037143678817,25,0.00077994184,0.0008124136,0.000852684,0.000882923,0.000903169,0.001151042,0.0011635464,0.0008168874907407407,4.971233172561959e-05,108,0.0007145235899999999,0.00073252365,0.00078653075,0.0008131555,0.000848665,0.0009023436499999999,0.0009323351,0.0007150245799256506,5.422014583392398e-05,269,0.00059816312,0.0006392374,0.000679091,0.000712846,0.000750635,0.0008107056,0.00083152296
-37.5093,0.0009232420000000001,0.00010180740785833482,25,0.00079412188,0.0008246524,0.000865464,0.000901977,0.000932486,0.001157584,0.001184294,0.0008229123611111113,5.1972998806525934e-05,108,0.00071512265,0.00074050725,0.000791651,0.000816021,0.0008570590000000001,0.0009090909,0.0009439838999999999,0.000713754527881041,5.343824883888478e-05,269,0.00059819128,0.0006376573999999999,0.000676349,0.000712032,0.000748444,0.000806281,0.00083213096
-36.5093,0.0009371950799999999,0.00010255231341447156,25,0.0008094271599999999,0.0008331466,0.000872984,0.000921281,0.00094789,0.001163568,0.0012044456,0.0008249143240740748,5.356952119849542e-05,108,0.0007113962000000001,0.00074258935,0.00079370725,0.000817565,0.0008588739999999999,0.0009171403,0.00093961007,0.0007108120817843867,5.279531400205302e-05,269,0.00059990792,0.0006358268,0.000675962,0.000710796,0.000744245,0.0008006014,0.00083044576
-35.5093,0.0009467147999999999,0.00010320342313767183,25,0.00082892812,0.0008441884,0.000879096,0.000927013,0.000966335,0.001165274,0.0012213395999999999,0.0008225971203703708,5.4287858390013506e-05,108,0.00070569322,0.0007421938,0.00079228725,0.0008177225,0.0008554599999999999,0.00091705405,0.00092590335,0.0007067881040892195,5.2383581414433264e-05,269,0.00060057928,0.000632924,0.000670263,0.000705773,0.000738733,0.0007911940000000001,0.0008263378
