Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-38.2653,0.02498629815965,0.05910535032966796,26,0.0,1.1207725e-08,4.959865e-05,0.0002384765,0.000947744,0.12839675,0.2194175,0.007612469745282883,0.012469368959250146,111,7.0951937600000064e-06,0.00012516049999999998,0.0011075,0.00355242,0.008364125,0.027846799999999998,0.04774023,0.02494567110294116,0.015996517956497414,272,0.0028509651,0.0058844815,0.01379795,0.022872049999999998,0.03168285,0.05512479499999999,0.08364780200000006
-37.2653,0.02548718531681923,0.05907978345578643,26,0.0,1.3171825e-08,4.5795775e-05,0.00032772,0.00129392025,0.13865899999999998,0.21454574999999998,0.007559908792514237,0.012460618925364977,111,8.252938900000007e-06,0.0001665175,0.001166805,0.00350729,0.00817085,0.028157500000000002,0.04820458000000001,0.024249069136029398,0.014972379677405811,272,0.0026154206,0.006038882000000001,0.013341825,0.0229298,0.031578525,0.051796899999999986,0.07695075200000003
-36.2653,0.026138415641715387,0.05967735493764661,26,7.21865e-09,7.5768845e-07,4.6530600000000005e-05,0.0003264675,0.001398217,0.149078,0.21222225,0.007613818201387386,0.0124662617565241,111,7.296755800000006e-06,0.0001583025,0.00130873,0.00330699,0.00792347,0.0299469,0.04812419000000001,0.02389302248161764,0.014655839706705375,272,0.0026581057,0.0057713045,0.012891375,0.022355350000000003,0.03130335,0.049795435,0.07542659600000003
-35.2653,0.026657420408549997,0.06021007877064777,26,1.8936575e-08,5.65257725e-07,4.4276525000000004e-05,0.000319227,0.0014406725,0.15942099999999998,0.20939125,0.007597428198099102,0.012331696792718314,111,6.209152000000005e-06,0.000153353,0.0012892849999999998,0.0032752,0.0078431,0.0305806,0.04864859000000001,0.02363427783088235,0.014480071183395603,272,0.0025535452,0.005743997,0.012779025,0.021831200000000002,0.031108200000000003,0.048521754999999986,0.07280490200000009
-34.2653,0.026831625856115385,0.060106444070451556,26,1.5087325e-07,6.75864e-07,4.1753425e-05,0.0003146765,0.0014604115,0.1687255,0.20329225,0.007509967988558561,0.012057076401931955,111,5.9439430000000035e-06,0.000155968,0.001192885,0.00322302,0.007743445,0.030893,0.04870520000000001,0.02327754455147058,0.014282713347569864,272,0.0023844999,0.005530247,0.012519849999999999,0.0211337,0.030600875,0.048267034999999986,0.06962214000000015
-33.2653,0.026724305362000003,0.059640471946787066,26,1.35212e-07,7.5995425e-07,4.1137025000000004e-05,0.000316728,0.001460803,0.1765775,0.1952615,0.007347607988018017,0.011642766121836078,111,5.940535000000003e-06,0.000145268,0.00107449,0.00313907,0.0075563850000000005,0.0309989,0.04869825000000001,0.022841513371323532,0.014055467136196164,272,0.0022064861,0.005278087000000001,0.01224265,0.0206016,0.030018074999999998,0.04779863999999999,0.06735964900000017
-32.2653,0.026365464329607687,0.05892675219082508,26,1.2625335e-07,7.23711e-07,3.8056500000000004e-05,0.0002959115,0.0014623499999999998,0.1754225,0.19072450000000002,0.007115064197657658,0.01116893807890544,111,5.568350000000002e-06,0.0001353215,0.0010189234999999999,0.00312757,0.007440865,0.03089195,0.04834751000000002,0.022294108852941173,0.013809448011493999,272,0.0020556773,0.005060367,0.011786775,0.0199096,0.02940525,0.04715206999999999,0.06629359600000016
-31.2653,0.025622824866800002,0.057518602536526346,26,1.329966e-07,7.2853775e-07,3.4477825e-05,0.000280508,0.00143813075,0.16407725,0.188429,0.006859183695315317,0.010625667073009366,111,5.240649000000003e-06,0.0001233235,0.0009603370000000001,0.00293464,0.0072226600000000005,0.030485949999999998,0.047529790000000016,0.021783316084558833,0.013584453294221598,272,0.0019550786,0.004910641,0.011265575,0.019384150000000003,0.028817425,0.046243454999999996,0.06530193100000015
-30.2653,0.024606897400303845,0.05558094916635955,26,1.27499925e-07,8.29034e-07,3.2092975000000004e-05,0.000260265,0.0014249714999999999,0.15292325,0.18329925,0.0065634736663063055,0.010092701704705382,111,4.652297000000002e-06,0.000116036,0.0009200860000000001,0.00285057,0.00696367,0.0295843,0.046287950000000015,0.021122438544117654,0.01327930790706293,272,0.0018732428,0.004670557,0.0107287,0.018960249999999998,0.02817615,0.04474538499999999,0.06393027400000015
-29.2653,0.023367496217830765,0.05305602361867283,26,1.035922e-07,7.57272e-07,2.822e-05,0.000240538,0.00142294125,0.144727,0.176581,0.006280938666756757,0.009621354534466744,111,4.394547000000002e-06,0.000108598,0.0008803635,0.00280398,0.006666685,0.0287658,0.04284615,0.020497645441176465,0.012983700462066714,272,0.0018117069,0.0044058735,0.010520575,0.01839715,0.027376225,0.04328659999999999,0.06235248600000014
-28.2653,0.02210787540219231,0.05034899157184433,26,1.1619975000000001e-07,7.29982e-07,2.637935e-05,0.0002246815,0.00140847875,0.13812225,0.168383,0.006012544790090091,0.009206834153666112,111,3.787590000000002e-06,0.0001024755,0.0008398765,0.00272984,0.006381305,0.0277636,0.04120759000000002,0.019901502000000012,0.012704183325360194,272,0.0017912783,0.004232369,0.010328525,0.017769649999999998,0.02656855,0.04187558499999999,0.06085338800000013
