Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-38.2653,0.18411892000000002,0.051982831487040033,25,0.13418668,0.1362734,0.154677,0.168754,0.175222,0.2818943999999999,0.3301397599999999,0.1797243482142857,0.015102289266063362,112,0.15066742,0.1564016,0.16802675,0.178599,0.18931625,0.203835,0.22307107,0.17890590298507472,0.0167671956831396,268,0.14948729,0.1544258,0.1678115,0.1765025,0.187889,0.21251195,0.22738365999999996
-37.2653,0.18594688000000004,0.05279569988433401,25,0.1350398,0.1367432,0.158141,0.170388,0.176711,0.2811645999999999,0.3305169199999999,0.1811595892857142,0.014930905327603753,112,0.15399782,0.157416,0.169972,0.180445,0.18929125,0.20501640000000002,0.22350683999999998,0.18055775746268654,0.016200091468650438,268,0.15172998,0.15697195,0.16949,0.179025,0.18898975,0.21173274999999997,0.22682148999999996
-36.2653,0.18802823999999999,0.05396800401262461,25,0.13593984,0.1379628,0.157174,0.170483,0.181282,0.28257799999999994,0.3335336799999999,0.18262581249999998,0.014832465794368229,112,0.15536953,0.15912635,0.171467,0.183339,0.1909245,0.205309,0.22166269,0.18215367537313434,0.015984117422323547,268,0.15356875,0.15870945,0.17113325000000001,0.181148,0.19078675,0.2118597,0.22598777999999994
-35.2653,0.18981235999999996,0.055297889894099936,25,0.13550292,0.1387108,0.156633,0.171136,0.185658,0.283776,0.3376815999999999,0.18422707142857142,0.014772971911973878,112,0.15655859,0.16059055,0.1726985,0.18522349999999999,0.1922145,0.20703539999999998,0.22060265,0.18392695149253738,0.015885127165058285,268,0.15471269999999998,0.1602024,0.17303025,0.18294149999999998,0.1927345,0.21305625,0.22624304999999992
-34.2653,0.19100604000000002,0.056452211069393306,25,0.13466748,0.1391342,0.156245,0.172263,0.189414,0.2845773999999999,0.3408287999999998,0.1854705892857142,0.014682771836501686,112,0.15750211,0.1623893,0.1735515,0.18645650000000002,0.19423200000000002,0.2087818,0.21820958000000001,0.18526865671641782,0.015769761753728413,268,0.1556277,0.1616218,0.17447775,0.184404,0.19403725,0.21336284999999997,0.22639175999999994
-33.2653,0.192168,0.05754871331170953,25,0.13366264,0.13933900000000002,0.156745,0.172904,0.192705,0.284981,0.34420527999999984,0.18674233928571435,0.01457290536093002,112,0.15820181,0.163523,0.17562024999999998,0.1878465,0.1954015,0.2100995,0.21727287,0.1866791791044776,0.015637326913319257,268,0.15633811,0.16338365,0.1756525,0.1855675,0.1951885,0.21441564999999999,0.22702525999999998
-32.2653,0.19333464,0.05830209287401268,25,0.132906,0.139342,0.157646,0.173534,0.195631,0.2845272,0.34740847999999985,0.18824227678571429,0.01446476410323857,112,0.15964238,0.16502055,0.1773085,0.18947550000000002,0.19746625,0.21160345,0.21800541,0.1883595783582089,0.015578938939622098,268,0.15709698,0.1651226,0.1774895,0.186888,0.1970305,0.21577224999999997,0.22822404999999998
-31.2653,0.19384980000000002,0.05860163363763846,25,0.1319678,0.139291,0.158017,0.173846,0.197603,0.2853966,0.35078047999999984,0.18941835714285712,0.014279752088504119,112,0.16086416,0.1662264,0.17878525,0.19112200000000001,0.19900125,0.2114989,0.21809445000000002,0.18970588432835828,0.0154729134498652,268,0.15817178,0.16704545,0.17903825,0.18810349999999998,0.1983335,0.21664830000000002,0.22872398999999996
-30.2653,0.19463692000000002,0.058803863974458914,25,0.1317546,0.1397212,0.158296,0.174622,0.199899,0.28528099999999995,0.3543375999999998,0.19088802678571426,0.014152893153093458,112,0.16281033,0.16704695,0.18104875,0.192683,0.2003605,0.21225144999999998,0.21834931,0.19142169029850745,0.015391072475948694,268,0.15990223,0.16875355,0.1808555,0.1898855,0.20047199999999998,0.21786184999999997,0.22937029999999997
-29.2653,0.19534516,0.0586864527373226,25,0.13211228,0.14034359999999999,0.158665,0.17577,0.201848,0.28461439999999993,0.3566673599999998,0.19227250892857137,0.014047215230416644,112,0.16398215,0.16819495,0.182294,0.1945075,0.202457,0.21421324999999997,0.21892983,0.19301611567164176,0.015253295184167058,268,0.16210178,0.17003405,0.1828945,0.191649,0.2023965,0.21871954999999998,0.22962853
-28.2653,0.19602012,0.05859179192893262,25,0.13264976,0.1403616,0.158831,0.17738,0.203716,0.28355139999999995,0.35872143999999984,0.19361469642857143,0.013986033198435319,112,0.16496408,0.16915285,0.18355249999999998,0.196458,0.20407825,0.2159777,0.22013668,0.19462092537313433,0.015115640020533864,268,0.1648747,0.1716529,0.18448525,0.1931525,0.203963,0.22067584999999998,0.23088894999999998
-27.2653,0.19660096,0.05839979380063483,25,0.1332644,0.1401338,0.159065,0.17841,0.205473,0.28169039999999995,0.3600858799999998,0.19485868750000016,0.013942719318718393,112,0.16605422,0.17005209999999998,0.18472,0.1978095,0.2051115,0.2168265,0.22148980000000001,0.19614563805970156,0.01495471964957376,268,0.16746737,0.17264759999999998,0.186069,0.194755,0.20550025,0.2221981,0.23176625999999997
-26.2653,0.19700376000000003,0.0581551062678363,25,0.13366696,0.139941,0.15939,0.179512,0.206708,0.279338,0.36084055999999975,0.19590932142857137,0.013913720760790997,112,0.16739611000000001,0.17121319999999998,0.18552025,0.1988095,0.20572000000000001,0.2174032,0.22223722,0.19750644029850745,0.014774293421515514,268,0.1694003,0.1744263,0.1875815,0.19629000000000002,0.20667025,0.22396225,0.23293502999999996
-25.2653,0.19746603999999995,0.05801391701097821,25,0.13422288000000002,0.1398708,0.159948,0.180424,0.207808,0.2774428,0.3618153999999998,0.19697980357142866,0.013903148974333463,112,0.16898475999999998,0.17311585,0.18633775,0.19971499999999998,0.20626375,0.217874,0.22390678,0.19892411194029855,0.014621829059187895,268,0.17143736,0.17585794999999999,0.189183,0.19790950000000002,0.20801975,0.2248639,0.23452164999999997
-24.2653,0.19771292000000001,0.05782529465404103,25,0.13462575999999998,0.139626,0.160589,0.180904,0.20875,0.27542099999999997,0.36244443999999976,0.19788362500000004,0.013875855867524219,112,0.17017776,0.17418645,0.1867905,0.199849,0.20704125,0.21841535,0.22550762,0.20019332089552255,0.014464997159539276,268,0.17305078999999998,0.17740535000000002,0.190024,0.1995,0.20938525000000002,0.2257393,0.23584064
-23.2653,0.19785451999999995,0.057614153367553704,25,0.13513371999999998,0.1391294,0.160902,0.181439,0.209424,0.27312719999999996,0.36309743999999977,0.1987171517857144,0.013867013126438786,112,0.1704145,0.17484155,0.18765625000000002,0.2004675,0.208322,0.2190114,0.22693317000000002,0.20142682089552225,0.014318500629950708,268,0.17522836,0.17911069999999998,0.191191,0.20037850000000001,0.210582,0.22658689999999998,0.23722637
-22.2653,0.19786596,0.057241010199914066,25,0.1358188,0.138824,0.160397,0.18181,0.209608,0.2704716,0.36315495999999975,0.1994313928571429,0.013871283393378135,112,0.17024728,0.17639415,0.18855725,0.200852,0.20925275,0.21986465,0.2280067,0.20252013432835822,0.01416005410958527,268,0.17656164,0.1806558,0.19294899999999998,0.2013515,0.2115755,0.22680345000000002,0.23834319999999998
-21.2653,0.19779688,0.05687873429742145,25,0.13571568,0.1395978,0.160102,0.181883,0.209471,0.2677862,0.36326959999999975,0.20001208035714277,0.013892635712114553,112,0.16961455,0.17779165,0.18971,0.20132699999999998,0.21032575,0.22027039999999998,0.22883265000000003,0.20343989179104477,0.014007559396239707,268,0.17694667,0.1812351,0.1939545,0.2022675,0.21170775,0.22681435,0.23895640999999998
-20.2653,0.19782291999999999,0.05665116429291929,25,0.13559708,0.1404012,0.159933,0.182447,0.209502,0.2652866,0.36387207999999976,0.20050943750000005,0.01395510212472033,112,0.16897873,0.178671,0.19025075,0.2014625,0.21062524999999999,0.22110565,0.22941943,0.2042565522388061,0.01386344805841685,268,0.17765151,0.1823255,0.19470575,0.203286,0.21215124999999999,0.22870485,0.23947919999999998
-19.2653,0.19771595999999994,0.056402141407692424,25,0.13525676,0.14081860000000002,0.159637,0.183936,0.209274,0.2625418,0.3640798399999997,0.20080750000000006,0.014028107979891496,112,0.16789648000000001,0.17962945,0.190467,0.201743,0.21062825,0.22182904999999997,0.22960675,0.2048284962686567,0.013730490606252041,268,0.17888209,0.18340375,0.19530175,0.204378,0.21249925,0.22964784999999996,0.23986935999999995
-18.2653,0.19737743999999996,0.05611528522090335,25,0.13468312,0.140829,0.159028,0.18528,0.208535,0.2598852,0.36370651999999976,0.2008607321428572,0.014092549355990549,112,0.16667834,0.18046475,0.1907515,0.2018695,0.21063500000000002,0.22233285,0.22933383,0.20510123880597006,0.013612263752755944,268,0.17903349999999998,0.18428145,0.19503399999999999,0.204801,0.21269725,0.22925659999999995,0.24056716999999997
-17.2653,0.19685872,0.05582437391537261,25,0.13392228,0.1403966,0.15837,0.186575,0.208296,0.2574242,0.36285987999999975,0.2007229642857143,0.014152598384245204,112,0.16530193,0.1803758,0.191303,0.201202,0.21069775000000002,0.2221057,0.22890018,0.20516749253731337,0.013540485929599498,268,0.17844126,0.1849699,0.195316,0.205201,0.21298475,0.22979875,0.24041884999999996
-16.2653,0.19619847999999998,0.05550995923865074,25,0.13311672,0.1396984,0.158051,0.187637,0.20888,0.2553378,0.3617058399999997,0.2004232857142856,0.014198701960992467,112,0.16387015,0.18004065,0.19062725,0.2006985,0.21037825,0.22271319999999997,0.22808554,0.20504828358208946,0.013505053650358272,268,0.17757813,0.18475205,0.196003,0.205041,0.212997,0.23044639999999997,0.23943377
-15.2653,0.19520295999999998,0.05506440717051261,25,0.13230148,0.13880420000000002,0.157172,0.18807,0.209238,0.2542414,0.36010415999999973,0.19980481249999998,0.014224247256976031,112,0.16224096,0.17966795,0.18995925,0.200125,0.209431,0.2220929,0.22667391,0.20454671268656718,0.01350321734541222,268,0.17647799,0.18419444999999998,0.19599575000000002,0.2043135,0.21265575,0.23112079999999996,0.23802084999999998
-14.2653,0.19368328,0.05445854462763396,25,0.13093243999999998,0.1375138,0.156526,0.185905,0.208852,0.252475,0.3573541199999997,0.1987533482142856,0.014207525123007795,112,0.16023931,0.17935275,0.1890145,0.19930900000000001,0.2079125,0.22085775,0.22460443,0.20350291417910457,0.01353637774492428,268,0.17483889,0.18339785,0.19414525,0.202539,0.21189025,0.2294433,0.23660574999999995
-13.2653,0.19179759999999996,0.05373501388061606,25,0.12911708,0.1358844,0.155067,0.183159,0.207819,0.250306,0.35381807999999976,0.1972908125,0.014150248416328467,112,0.15801175,0.17817825,0.18784125,0.19846550000000002,0.20635325,0.21921844999999998,0.22209962,0.20196472014925393,0.013600340107282238,268,0.17236245,0.1818943,0.1926215,0.2012845,0.2100995,0.22729414999999997,0.23469445999999997
-12.2653,0.18949575999999996,0.052769832138637694,25,0.12687004000000002,0.1337062,0.153572,0.180294,0.206518,0.2478762,0.34910923999999977,0.19540111607142857,0.014042666706493083,112,0.15575501,0.1762892,0.18672475,0.1970445,0.204199,0.21684295,0.21961186,0.1999118432835821,0.013699561773168006,268,0.16946541,0.1795644,0.190099,0.1993855,0.20841125,0.2247748,0.23247546999999996
-11.2653,0.18684212,0.05165256418152604,25,0.1240584,0.1312948,0.151872,0.179121,0.204968,0.24497899999999997,0.34341223999999976,0.1930855267857143,0.013914721849948644,112,0.15318178999999998,0.1736319,0.18497,0.19449450000000001,0.20205,0.2134611,0.2167334,0.19734812313432837,0.013815466845832671,268,0.16614056,0.1761064,0.1871215,0.1973495,0.20608949999999998,0.22144489999999997,0.23034844
-10.2653,0.18388471999999997,0.05048499881278266,25,0.12096916,0.12856720000000002,0.150392,0.176749,0.203119,0.24180659999999998,0.33729103999999976,0.19037023214285717,0.013786155699565096,112,0.1504197,0.1705159,0.181894,0.1923745,0.1995875,0.20985395,0.21377982,0.19435817910447759,0.013939176478155006,268,0.16263179,0.17215705,0.1846225,0.1948185,0.203654,0.2180513,0.22716441999999998
-9.2653,0.1806636,0.04917768736429154,25,0.11764552,0.1255938,0.148672,0.175441,0.200991,0.23852259999999997,0.33014095999999976,0.18735819642857146,0.013636798124787334,112,0.14767321,0.16783985,0.179176,0.189582,0.19661199999999998,0.20642229999999998,0.21096491,0.1910631156716419,0.014057094230052043,268,0.15916093,0.16935145000000001,0.181249,0.19133450000000002,0.20079825,0.21423029999999998,0.22439832999999998
-8.2653,0.17729403999999999,0.04775413983404999,25,0.11445088,0.1225818,0.146193,0.172235,0.198258,0.23512059999999999,0.3220664799999998,0.1841187857142858,0.013498166926886792,112,0.14506401000000002,0.1641831,0.17601925000000002,0.1863375,0.19289375,0.20230445,0.20803439,0.18750994402985083,0.014151043101024139,268,0.15562638,0.1655593,0.17741375,0.187696,0.19770175,0.21088944999999998,0.22082056999999997
-7.2653,0.1736898,0.046306549588044234,25,0.11120028,0.1194214,0.143094,0.168557,0.194705,0.23164639999999997,0.3134729999999998,0.18064740178571426,0.013369126316208383,112,0.14223449,0.16022555,0.17299475,0.182716,0.189175,0.19800389999999998,0.20503576,0.18370787313432838,0.014229536380687635,268,0.15130839,0.1616781,0.1736675,0.1837425,0.19355250000000002,0.20633939999999998,0.21608805999999994
-6.2653,0.16986895999999999,0.04479788263084168,25,0.10802904,0.1162474,0.139879,0.164583,0.191243,0.22788479999999997,0.3043534799999998,0.1769277410714285,0.013234977741395522,112,0.13925059,0.156159,0.17035875,0.1788125,0.185205,0.19386689999999998,0.20166391,0.17965949253731334,0.014286567562934113,268,0.14686668,0.15694415,0.16959725,0.18018800000000001,0.18997825000000002,0.2013011,0.21041591999999992
-5.2653,0.16581140000000003,0.04323264930389223,25,0.10509968,0.1128886,0.136538,0.160469,0.187385,0.22379519999999997,0.2948018399999998,0.1730152946428571,0.013102471388252334,112,0.13620744,0.1520352,0.166571,0.174405,0.18118175,0.1892452,0.19842796,0.17540960447761203,0.014324867366365035,268,0.14244433,0.1520786,0.1656175,0.17612650000000002,0.185191,0.19639615,0.20666627999999995
-4.2653,0.16154000000000004,0.04158622632955933,25,0.10198516,0.10942120000000001,0.133258,0.156134,0.182666,0.21923719999999997,0.28464575999999986,0.16891604464285717,0.012956414112540813,112,0.13296038999999998,0.1479019,0.1623125,0.17002,0.17735275,0.1855123,0.19504412000000002,0.17096123880597025,0.01433563941540021,268,0.13755849,0.14694495,0.16149575,0.172035,0.180845,0.19241944999999996,0.20237561999999998
-3.2653,0.157305148,0.03999201162937752,25,0.098899492,0.10598300000000001,0.130216,0.151978,0.175706,0.21439479999999994,0.27488031999999984,0.16484454464285722,0.01281676012868257,112,0.12961567000000002,0.14385,0.15787974999999999,0.165792,0.17313625,0.1818569,0.1901767,0.16656527985074615,0.014316761401457356,268,0.13347069,0.14228765,0.15748175,0.167672,0.17644075,0.18727280000000002,0.19761578999999999
-2.2653,0.152012224,0.03796350397351251,25,0.09530486,0.10208964000000001,0.126449,0.146269,0.167038,0.20801979999999992,0.26283363999999987,0.1598025267857143,0.012586599757628566,112,0.12561548,0.1390854,0.15257575,0.16033550000000002,0.16857225,0.17723639999999996,0.18365609,0.16112757835820893,0.014233941094571266,268,0.12932902000000002,0.13652985,0.1520455,0.1623715,0.1707725,0.18262285,0.19179118999999997
-1.2653,0.14742529599999998,0.03618367629796941,25,0.092404996,0.09897092,0.123365,0.143547,0.159681,0.20215079999999994,0.2522743199999999,0.15541632142857145,0.0123970942339446,112,0.12219658,0.1349789,0.148055,0.156169,0.16438375,0.17323544999999999,0.17852377,0.15637820149253737,0.01414205571158277,268,0.12507542,0.1322877,0.14784125,0.15718700000000002,0.16575674999999998,0.17670254999999999,0.18688518999999995
-0.2653,0.142919316,0.03449119246502987,25,0.08963062,0.09609216,0.120168,0.140672,0.152666,0.19618799999999995,0.2420525999999999,0.15113577678571424,0.012179164370741794,112,0.11884897,0.13048715,0.14382024999999998,0.15187,0.159797,0.16926515,0.17373029,0.15171913805970152,0.014017137883107652,268,0.11997625,0.12814235000000002,0.14341775,0.1528025,0.16117525000000002,0.1718586,0.18197539999999995
0.7347,0.13846408,0.03281649917682415,25,0.08693158,0.0934494,0.117172,0.137533,0.147047,0.19014939999999994,0.2319215199999999,0.14695611607142856,0.011921569981518535,112,0.11580474,0.1263733,0.13969225000000002,0.1477885,0.15526099999999998,0.16524179999999997,0.16892891,0.14714254850746258,0.013871481318569441,268,0.11522963,0.1239493,0.1385545,0.148105,0.15629400000000002,0.1672412,0.17770455999999996
1.7347,0.13408689199999999,0.03116996042102503,25,0.084372404,0.09098436,0.114176,0.133431,0.144176,0.18410779999999993,0.22194019999999992,0.1428723392857143,0.011652145522230466,112,0.11308098,0.12265245,0.13611025,0.143568,0.15108625,0.16062245,0.16421231,0.14264615597014924,0.01371732809925,268,0.11069265,0.11945015,0.13416899999999998,0.143667,0.151406,0.1632978,0.17331490999999996
2.7347,0.12996114,0.029620048190991632,25,0.082056508,0.08876028000000001,0.111154,0.129088,0.140095,0.17843259999999994,0.21248671999999993,0.13898040178571433,0.011367146790308869,112,0.11022045,0.1195195,0.13185724999999998,0.139716,0.1472435,0.1560532,0.16033139,0.13834593432835812,0.01356359043742927,268,0.10628089,0.11577319999999999,0.12925124999999998,0.13923999999999997,0.146758,0.1591732,0.16894765999999997
3.7347,0.12507375999999998,0.02780813861736344,25,0.079478596,0.08608462,0.10792,0.123368,0.133066,0.17165199999999994,0.20127071999999993,0.13430041071428564,0.011025230240944183,112,0.10647441,0.11622705,0.127696,0.135063,0.14178075,0.15073745,0.15657977,0.13317791791044775,0.013366063312637377,268,0.10109991,0.1113601,0.12430925000000001,0.133883,0.14120925,0.15517345,0.16332689999999997
4.7347,0.121456044,0.0264553093623328,25,0.077759372,0.08409792,0.105595,0.118964,0.128118,0.16647719999999994,0.19293163999999993,0.1307772321428572,0.010692256094766654,112,0.10400825,0.11351205,0.1244015,0.13159300000000002,0.13787300000000002,0.14743975,0.15344748,0.12926182201492534,0.0131696246619467,268,0.097462777,0.107373,0.120554,0.13007049999999998,0.13711825,0.15135735,0.15860876
5.7347,0.118170024,0.025183428723423135,25,0.07637039200000001,0.08228008,0.102615,0.115674,0.123937,0.16157619999999995,0.18511203999999995,0.12751777678571427,0.010362918086815647,112,0.10184174,0.11103445,0.12137774999999999,0.12774649999999999,0.1348225,0.14377204999999998,0.14949667,0.12559516716417907,0.012956923950053002,268,0.09391526700000001,0.10401205000000001,0.11734925,0.126307,0.133233,0.14721695,0.15430261
