Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-38.2653,0.00106555092,7.809172707513048e-05,25,0.000953179,0.0009703672,0.00100315,0.00105284,0.00109895,0.001195912,0.0012364084,0.0009575050000000001,4.947445908840329e-05,112,0.0008527776000000001,0.00087955435,0.000922515,0.0009528595,0.000993178,0.0010411284999999998,0.0010756415,0.0009026310932835816,6.435302906969065e-05,268,0.00080500269,0.00083032365,0.0008678379999999999,0.0009008445,0.000924198,0.00098037065,0.0010689041999999995
-37.2653,0.0010679445600000003,7.771078338143725e-05,25,0.00097515904,0.0009772388,0.00100813,0.00105434,0.00109437,0.0012236299999999999,0.0012501043999999998,0.0009528120982142858,4.6453099093264434e-05,112,0.00087101597,0.00088467795,0.0009177905,0.0009484875,0.00098506425,0.0010306255,0.0010457697,0.0008979668134328353,5.036010843423724e-05,268,0.00080921678,0.0008314582,0.0008671095,0.0008954515,0.00092084025,0.000970142,0.0010355714999999994
-36.2653,0.0010696638800000002,7.914043318279221e-05,25,0.0009754967600000001,0.0009829448,0.00101474,0.0010451,0.00110908,0.0012297779999999997,0.0012700568,0.0009491383125,4.583168859097013e-05,112,0.0008730659100000001,0.0008790398,0.000912252,0.000942404,0.00098543375,0.0010305565,0.001041238,0.0008945030970149253,4.429160669828592e-05,268,0.00081345217,0.00083375765,0.0008647290000000001,0.0008914895,0.00091568725,0.0009708183999999998,0.0010430259999999994
-35.2653,0.0010702237600000001,7.839229943489347e-05,25,0.00097146668,0.0009893242,0.00101544,0.00104345,0.00110486,0.0012348459999999997,0.0012668999999999998,0.0009463514821428572,4.5375810488973195e-05,112,0.0008635535,0.00088111985,0.0009088652500000001,0.0009403475,0.00097970925,0.0010263235,0.0010393612,0.0008916834291044771,4.093975807969764e-05,268,0.0008155446299999999,0.0008302531,0.0008623745,0.0008902999999999999,0.00091592325,0.0009650777,0.0010281269999999998
-34.2653,0.0010709833599999998,7.662721508863544e-05,25,0.00097085856,0.000993186,0.00102437,0.00104067,0.00110847,0.0012379779999999998,0.0012586916,0.0009441032857142858,4.487309668536202e-05,112,0.00085522362,0.0008818592,0.00090456525,0.0009379830000000001,0.00097809375,0.0010175475000000001,0.0010381765,0.0008888457500000002,3.9072292323163026e-05,268,0.00081592072,0.0008297044,0.00086068625,0.0008874499999999999,0.000914254,0.0009589333,0.0009840815299999998
-33.2653,0.00107154436,7.569327445293055e-05,25,0.0009737465999999999,0.0009939775999999998,0.00102187,0.00104339,0.00110387,0.001230122,0.0012613536,0.0009420780357142859,4.4042572970008613e-05,112,0.00085351331,0.00088188085,0.00090494725,0.000938281,0.00097911275,0.001008312,0.0010346374,0.0008858056716417909,3.7530339093539335e-05,268,0.00081182423,0.0008268179,0.00085910325,0.000885283,0.0009087769999999999,0.00094915455,0.0009727072999999998
-32.2653,0.0010718444,7.724158948228604e-05,25,0.00098048492,0.0009914032,0.00102155,0.0010534,0.00109267,0.001232488,0.0012683059999999999,0.0009400542053571429,4.2944516831539575e-05,112,0.00085516993,0.000881746,0.00090472475,0.000937794,0.0009810560000000001,0.0010059440000000002,0.0010284085,0.0008823713843283584,3.5913366751302166e-05,268,0.0008089245,0.0008262386,0.00085751,0.0008835695,0.0009018655,0.0009401908,0.0009688115799999999
-31.2653,0.001072012,8.078252814243518e-05,25,0.000984344,0.0009887542000000002,0.00101817,0.00104961,0.00108741,0.001241952,0.0012748056,0.0009382143749999997,4.183459080478801e-05,112,0.0008519851700000001,0.0008813116,0.00090228025,0.0009338230000000001,0.000972806,0.00100351,0.0010220742,0.0008786449328358203,3.450842033631548e-05,268,0.00080425865,0.0008218403,0.00085523175,0.0008786595,0.00090105825,0.00093591875,0.0009644419899999999
-30.2653,0.0010719464399999998,8.516911189905255e-05,25,0.000975281,0.000980212,0.00101593,0.0010449,0.00108969,0.0012565739999999999,0.0012770728,0.0009367911785714286,4.100297251303572e-05,112,0.0008478298000000001,0.000880591,0.0009053655,0.000935026,0.0009679490000000001,0.001005642,0.0010180157,0.000874845294776119,3.3472555728912325e-05,268,0.0007983094400000001,0.0008192056,0.00085275475,0.0008723800000000001,0.0008975045,0.0009301343,0.0009551594099999999
-29.2653,0.00107145332,8.958340294604426e-05,25,0.00096760484,0.000973276,0.00101377,0.00104926,0.00108665,0.001270462,0.0012767555999999998,0.0009356895178571431,4.06815019948654e-05,112,0.00084490539,0.0008805464,0.0009054740000000001,0.000931437,0.00096606225,0.00100376,0.0010114234,0.0008713008507462686,3.269741303068162e-05,268,0.00079121474,0.00081487825,0.0008496635,0.000870139,0.0008947495,0.0009235804500000001,0.0009415629499999998
