Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-34.4381,0.01345851342307692,0.020644649764753314,26,0.0005505072500000001,0.00069996025,0.0023863499999999998,0.00459188,0.0097127975,0.0632745,0.067513375,0.009139197954954957,0.006647099955350607,111,0.0010011165,0.00172734,0.00488846,0.00791254,0.011667150000000001,0.02016995,0.03615493000000008,0.016598049816479395,0.01266423102334506,267,0.0013098686,0.0035799200000000008,0.00854148,0.0130809,0.0202838,0.043849389999999995,0.05933052599999984
-33.4381,0.014503287076923076,0.018948896191009073,26,0.001052673,0.0014835775,0.00345266,0.0071612099999999995,0.0112115,0.0561433,0.061581175,0.011793074774774774,0.007582285871570159,111,0.001926264,0.0027830299999999997,0.006859085,0.0104714,0.0147481,0.0246137,0.04052060000000008,0.01935323775280899,0.013318757476104844,267,0.0021837052000000003,0.005310604,0.01088685,0.0157997,0.0234439,0.04553821999999999,0.06455038399999964
-32.4381,0.015008243846153844,0.017831984415902807,26,0.001357125,0.0019356375,0.0042695525,0.008063865,0.013807825,0.054462525,0.059589925,0.013422044594594595,0.008016593584635535,111,0.002703941,0.003908785,0.008082415,0.0117812,0.01606485,0.026583,0.043205760000000065,0.021306620898876395,0.013761941179159113,267,0.0027193028,0.00633507,0.01188295,0.017788,0.02586735,0.04585445,0.06947241199999965
-31.4381,0.015254596153846152,0.017470202139692848,26,0.0016369375,0.00225711,0.004813990000000001,0.009162045,0.013920374999999999,0.047520475,0.0649778,0.014446134414414415,0.0082719411692994,111,0.0032287139999999997,0.004636345,0.00855765,0.012541,0.017231,0.027963099999999998,0.04468939000000004,0.022767028726591768,0.013986136879671155,267,0.0032042508,0.006954032000000001,0.013126949999999998,0.0199225,0.0272824,0.04850934999999999,0.07078528799999977
-30.4381,0.015064178846153846,0.017870624219764535,26,0.00166253,0.0023423725000000003,0.0049195925,0.00934679,0.0134388,0.0406722,0.070994075,0.014480267027027037,0.008163932100442063,111,0.003382382,0.00507772,0.00858007,0.0127071,0.017431549999999997,0.027553750000000002,0.043996440000000005,0.023433234232209724,0.013987773252314182,267,0.0033789392,0.0077569250000000005,0.013441950000000001,0.020463,0.027751949999999997,0.04865681999999998,0.07119072199999993
-29.4381,0.014803364615384616,0.0193675139898576,26,0.0016732425,0.0023857,0.004947915,0.00912808,0.012688125,0.034757974999999997,0.08048664999999999,0.014204951441441436,0.007815191637161078,111,0.0034659089999999997,0.005379780000000001,0.008252599999999999,0.0123591,0.0172821,0.02645635,0.04405268000000002,0.024102292584269658,0.014038714276303847,267,0.003756351,0.007705174,0.0141087,0.0213838,0.0296661,0.050449869999999994,0.07105787599999988
-28.4381,0.014231362692307691,0.021484697281456782,26,0.0015157875,0.0021781025,0.00458894,0.00817002,0.011020275,0.035034725,0.091229525,0.012841892072072078,0.00698630898068151,111,0.003148022,0.0050626149999999995,0.00767115,0.011183,0.0162864,0.023765099999999997,0.037725370000000015,0.023894364044943814,0.013978771599191272,267,0.0037052432000000005,0.007393223,0.01421,0.0214418,0.029203850000000003,0.050675029999999996,0.06751044399999977
-27.4381,0.013427041923076925,0.023297413699629926,26,0.0012630925000000001,0.0018276725,0.0038712475,0.00700882,0.0089949125,0.036754625,0.099141725,0.010944049999999999,0.006050275556678389,111,0.002656054,0.00414409,0.00657042,0.00942957,0.0137025,0.0197844,0.030332220000000007,0.023257302097378283,0.014036618504303109,267,0.0037409316,0.006385127,0.013827,0.0208317,0.02898725,0.04962107999999999,0.0626129699999997
-26.4381,0.012749529153846155,0.024565499438616058,26,0.0009808485,0.0014640475,0.0030800525,0.00558964,0.00930488,0.040440699999999996,0.103890975,0.009269321711711713,0.00553383223137208,111,0.0021592029999999997,0.00326317,0.0054062450000000005,0.0079076,0.01183105,0.0163619,0.02446019000000001,0.022871092209737848,0.01434861188798619,267,0.0037242898000000003,0.0058221,0.0134488,0.0196342,0.02979425,0.04682027,0.06357615399999982
-25.4381,0.012210145076923078,0.025067458316863824,26,0.0007094765000000001,0.0010936425,0.0021984925,0.004130965,0.00704925,0.0454176,0.10474800000000001,0.007871613513513516,0.00537621134829853,111,0.001644003,0.00263087,0.00457393,0.00699722,0.009989905,0.0141691,0.022310630000000012,0.022646854363295877,0.014646650833883305,267,0.0034297784,0.004953852,0.0127945,0.0197079,0.0311264,0.04611266999999999,0.06354547399999998
