Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-32.8269,0.33377739999999995,0.03939675728830146,25,0.25199699999999997,0.2610206,0.331776,0.342445,0.358426,0.3838214,0.39300979999999996,0.3930685535714287,0.02527583543671962,112,0.30747817,0.36038285000000003,0.37843125,0.3944655,0.40848775,0.43262255,0.43656408,0.43105300374531835,0.029299905976971744,267,0.3720424,0.3871554,0.409657,0.42976,0.4474395,0.48669679999999993,0.49953107999999974
-31.8269,0.34244544,0.03964914988903713,25,0.25942468,0.2666062,0.340607,0.353754,0.366938,0.390565,0.39800164,0.40336414285714295,0.0261520869185544,112,0.31698755,0.36799940000000003,0.388225,0.40597700000000003,0.41916025,0.44240369999999996,0.45208276,0.4426931498127341,0.02881063976853358,267,0.38288768,0.3996824,0.42373,0.441793,0.45969550000000003,0.4918748,0.5161779199999996
-30.8269,0.34918028,0.04014645938365342,25,0.26362620000000003,0.2740982,0.346869,0.355702,0.374911,0.3972374,0.4030034,0.4104630089285715,0.026216865562092285,112,0.32499833,0.37427115,0.39543825,0.41227,0.4266675,0.44985919999999996,0.45838398,0.44999612734082395,0.028615382051768688,267,0.39000431999999996,0.40824,0.43155750000000004,0.448806,0.466281,0.4998989,0.5238430199999996
-29.8269,0.3598746,0.040880733717119117,25,0.27257612,0.2852036,0.357091,0.367743,0.386857,0.4085142,0.41375088,0.42147235714285725,0.026015775829935615,112,0.33765043,0.3822214,0.40589725,0.4231005,0.43840675,0.45974324999999994,0.46754152000000004,0.4613202734082397,0.028550812869473148,267,0.40121829999999997,0.4192616,0.442039,0.459839,0.477705,0.5122399,0.5343890399999996
-28.8269,0.37277896,0.041750703354833836,25,0.283569,0.29871960000000003,0.36818,0.381745,0.400278,0.4230756,0.42728168,0.4349456607142859,0.025902720899742836,112,0.35287989999999997,0.3950167,0.4208865,0.435635,0.45240975,0.47412515,0.47920109,0.47501061048689136,0.028665110395707273,267,0.41557082,0.4320627,0.4547515,0.474397,0.4922075,0.5283932,0.5486211399999996
-27.8269,0.3889418,0.04295552990884876,25,0.29710664000000003,0.315274,0.378623,0.398589,0.417009,0.4425852,0.44389288,0.451736767857143,0.025965498458143613,112,0.37087577,0.41123425,0.43925925,0.452083,0.47007224999999997,0.49139555,0.49556674,0.49205828838951315,0.02902575033935184,267,0.43294140000000003,0.4499418,0.4708595,0.49165,0.5091110000000001,0.5455671999999999,0.5668702799999997
-26.8269,0.4082142,0.04425392971816175,25,0.31356900000000004,0.3349962,0.3925,0.418707,0.438698,0.4620306,0.46608428,0.4717510446428572,0.02618012801481045,112,0.3910436,0.43060775,0.45833799999999997,0.472332,0.4911375,0.50984085,0.5179105900000001,0.5122442247191011,0.029607878868379782,267,0.45062496,0.4684879,0.491191,0.512279,0.5309215,0.5689094,0.5886872799999998
-25.8269,0.43285804000000005,0.045965534989525936,25,0.33448775999999997,0.3591188,0.411418,0.444566,0.468078,0.48739879999999997,0.49463732,0.49738131250000006,0.026494135724086734,112,0.4164337,0.4544145,0.484109,0.5006505,0.51709025,0.5345158,0.54566241,0.5379309363295881,0.030526357125122503,267,0.47264908,0.49141,0.5163964999999999,0.538419,0.5574939999999999,0.5968542,0.61490894
-24.8269,0.4624573199999999,0.04796983992114212,25,0.36021384,0.3873164,0.434445,0.474511,0.500413,0.5182918,0.5282226,0.5284003035714283,0.02705874212761258,112,0.44615556,0.48290605,0.5150065,0.530115,0.5475655,0.5653663,0.57803922,0.5687922209737828,0.031766046149344196,267,0.49844696,0.5179912,0.5472904999999999,0.569139,0.5890405000000001,0.6286779,0.6454903
-23.8269,0.4911197599999999,0.049914473060826754,25,0.38439900000000005,0.4128288,0.456619,0.502951,0.530829,0.5480202,0.55897164,0.5585268214285714,0.027729427855169173,112,0.4742746,0.5108127499999999,0.5444819999999999,0.5600995,0.576479,0.5964467499999999,0.6113141799999999,0.5984180224719101,0.0328839291156364,267,0.525423,0.5437914,0.5775455,0.598094,0.619397,0.6578231,0.6771489399999998
