Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-32.8269,0.22832680769230773,0.023425791043239896,26,0.1764805,0.181931,0.2188825,0.23026249999999998,0.24544549999999998,0.26004950000000004,0.26726425,0.2695089910714287,0.0225635891798179,112,0.21569254,0.23229675,0.25773625,0.270384,0.283214,0.30385124999999996,0.32453764,0.309125099264706,0.035469321076352964,272,0.23930265,0.26112045,0.28308025000000003,0.3082095,0.33003099999999996,0.37701275,0.40545159000000003
-31.8269,0.24853857692307685,0.025155919629658668,26,0.1890325,0.19480675,0.240847,0.2513135,0.26611425,0.278133,0.28962275000000004,0.2933818660714285,0.022792052526073008,112,0.23696782,0.25712655,0.28052525,0.293514,0.30601500000000004,0.32943465,0.35368262000000006,0.3343621360294116,0.034568040000923006,272,0.26768147000000003,0.2873595,0.31164625,0.3323045,0.35585875,0.39698325,0.42225974000000005
-30.8269,0.25954903846153854,0.02607861977249681,26,0.19468725,0.2019445,0.24898599999999999,0.2622775,0.27536825,0.292893,0.30068700000000004,0.30594749107142855,0.022710781463935188,112,0.24913373,0.2733524,0.2956985,0.305193,0.31824175,0.33980455,0.36789436000000003,0.34719521323529395,0.03344330514758096,272,0.28740361000000003,0.3000421,0.32552675,0.34335899999999997,0.3695555,0.40458204999999997,0.43245733000000003
-29.8269,0.27394115384615386,0.02721570358552915,26,0.20525025,0.214042,0.2630315,0.276015,0.28776,0.31024074999999995,0.3159625,0.32125704464285726,0.022432235756072266,112,0.26696056,0.28957145,0.3105595,0.3207215,0.3327615,0.35582755,0.38489607000000003,0.3630142794117647,0.03297317492448381,272,0.30177361999999996,0.3159323,0.34064575,0.36052850000000003,0.3847135,0.42267714999999995,0.44914161
-28.8269,0.2900142307692308,0.02837994969313045,26,0.2180965,0.22838925,0.27883125000000003,0.29457599999999995,0.30478500000000003,0.3283325,0.33382049999999996,0.3383384642857142,0.022313130658482165,112,0.28554128,0.30462955,0.32575225,0.33896550000000003,0.3497215,0.37436805,0.39970517,0.3802223308823531,0.03265635856000081,272,0.31561902,0.33298805,0.35823574999999996,0.377646,0.40117575,0.43942905,0.46604199
-27.8269,0.30778219230769227,0.029659682870886172,26,0.2325845,0.24471474999999998,0.29409399999999997,0.31315550000000003,0.32288975,0.34765925,0.35471400000000003,0.3567309910714288,0.022315572718545146,112,0.30431975,0.32058775,0.34389675000000003,0.35747700000000004,0.3694775,0.39166785,0.41467219,0.39881784191176495,0.03262973896148225,272,0.33153301,0.3504854,0.37680400000000003,0.3949965,0.417036,0.4570843,0.48229526000000006
-26.8269,0.32696607692307694,0.030502785807100412,26,0.25042225,0.26410075,0.3101735,0.3303725,0.3430105,0.36716675,0.37714575,0.37608887500000016,0.022595722413138765,112,0.32247173,0.3393586,0.36201700000000003,0.3764955,0.38981299999999997,0.40925709999999993,0.42895359,0.41853090073529375,0.03302627071450019,272,0.35039531,0.37144145,0.39643125,0.414809,0.437015,0.48093375,0.5014588000000001
-25.8269,0.3502843076923077,0.03173927751133504,26,0.27176175,0.2865205,0.33275025,0.3522415,0.36737575,0.39159475,0.40327225,0.3989503571428568,0.023052183984731134,112,0.34429468,0.3629323,0.38639175,0.3996515,0.4133025,0.43379665,0.44862857,0.4418593051470586,0.033961259849526464,272,0.37425824,0.39326700000000003,0.42023325,0.43833500000000003,0.45950775,0.50769915,0.5248905000000001
-24.8269,0.3783605384615385,0.0330896379590116,26,0.29792825,0.31204175,0.358547,0.379085,0.39948324999999996,0.42040025,0.4341235,0.426391294642857,0.023773027242691938,112,0.36675935,0.3905418,0.41096350000000004,0.4262935,0.44094,0.46730389999999994,0.4752793,0.46977921691176466,0.03549214830784805,272,0.40162268,0.4174228,0.44659275,0.4650785,0.48914875,0.5368983,0.5571905300000002
-23.8269,0.40558461538461543,0.034395379952635405,26,0.32446875,0.337446,0.3857065,0.4061225,0.43063524999999997,0.44900524999999997,0.463137,0.4529521428571428,0.024553110591677703,112,0.3916921,0.41368155,0.4377715,0.451884,0.46905949999999996,0.4985129,0.50235341,0.49661993382352976,0.03685965324876539,272,0.43082633,0.4430347,0.47128575,0.490641,0.51779425,0.56342825,0.5891182000000001
