Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-20.7165,0.240237,0.043576895900465415,26,0.16421375,0.17805100000000001,0.20851975,0.2410215,0.26852975,0.308782,0.32241275,0.26963961467889896,0.03992047639251953,109,0.16016068,0.19892100000000001,0.246812,0.268549,0.297586,0.3276068,0.34914856,0.28581447191011244,0.04528109555461404,267,0.16760456,0.20740070000000002,0.2592905,0.286106,0.316238,0.3602711,0.38261513999999996
-19.7165,0.24171134615384615,0.044965762038192844,26,0.159206,0.18219675,0.20518799999999998,0.241453,0.2683995,0.31667350000000005,0.33888775,0.2689793302752293,0.03745577806265406,109,0.16645875999999998,0.2060726,0.250342,0.270203,0.291466,0.3233502,0.34753892000000003,0.2864377265917605,0.04229941981618506,267,0.17988894,0.2085897,0.26327100000000003,0.288872,0.31416900000000003,0.3535483,0.3769132999999999
-18.7165,0.24056623076923078,0.042920220377167397,26,0.15954675000000001,0.18415475,0.2060635,0.245041,0.26602525,0.310344,0.328023,0.26901468807339457,0.03402255923830574,109,0.16875936,0.2114394,0.250766,0.273206,0.288752,0.31753180000000003,0.33643212,0.28687205992509374,0.039245040710736596,267,0.18743386,0.220916,0.26393849999999996,0.287163,0.310898,0.3500501,0.37013033999999995
-17.7165,0.2403891923076923,0.03975669955418255,26,0.15712325,0.18215975,0.21694025,0.24330449999999998,0.269227,0.299246,0.31084425,0.2686318256880735,0.030751120739541386,109,0.18539892000000002,0.21858660000000002,0.249252,0.271139,0.289662,0.3122726,0.32260044,0.28737004119850185,0.03660008288912441,267,0.1981391,0.2226071,0.26576849999999996,0.288406,0.3105595,0.3474002,0.37061743999999996
-16.7165,0.24073350000000002,0.036870902330428536,26,0.15523625,0.183006,0.22169725,0.24230849999999998,0.26348275,0.29418425,0.29978875,0.26796974311926597,0.027421679435832326,109,0.19732924,0.2251182,0.250794,0.271075,0.291008,0.3048016,0.31577980000000005,0.2878589063670413,0.03454903642033894,267,0.20926462,0.22838250000000002,0.2649405,0.287903,0.30875050000000004,0.3437648,0.37511108
-15.7165,0.2404869615384615,0.033913528087158105,26,0.16012325,0.18855775,0.224229,0.2390975,0.2643975,0.28728,0.29237399999999997,0.2688789908256882,0.024434706385739986,109,0.20705432,0.2264668,0.251022,0.26982,0.286313,0.3020322,0.30949484,0.29068013483146055,0.03225360621296711,267,0.225245,0.2414518,0.268777,0.288852,0.31050999999999995,0.3475166,0.3701078999999999
-14.7165,0.23992980769230776,0.029655345820973632,26,0.16896625,0.19212924999999997,0.227754,0.238825,0.26199399999999995,0.27888225,0.28753225,0.2695070366972475,0.02267533055536208,109,0.21250887999999998,0.229189,0.255817,0.271935,0.285124,0.30295300000000003,0.30982584,0.2923148501872658,0.030446106372542095,267,0.2336292,0.2472973,0.27182850000000003,0.290825,0.3104125,0.3466351,0.36532763999999995
-13.7165,0.23971034615384618,0.025671085148769708,26,0.18307275,0.189934,0.22782750000000002,0.244122,0.255902,0.2674975,0.28836325,0.26888209174311944,0.022311844804589736,109,0.21535396,0.2324762,0.254358,0.270121,0.286774,0.3039612,0.31036908,0.29313165917602996,0.029638155978222017,267,0.22966044,0.24913909999999997,0.2732565,0.291247,0.3093765,0.3456405,0.3645654799999998
-12.7165,0.23945757692307695,0.023724252037395116,26,0.189297,0.19517374999999998,0.2298705,0.24384499999999998,0.256121,0.26210475,0.285292,0.2678718348623853,0.022754518466837792,109,0.21182512,0.2285828,0.252558,0.266616,0.283669,0.3015428,0.31684088,0.29333766666666655,0.029623821902867834,267,0.22892157999999999,0.2506771,0.272296,0.290869,0.3103445,0.348556,0.3622789199999999
-11.7165,0.23953207692307693,0.02284217468442631,26,0.193851,0.199599,0.22661125,0.24466,0.25025325,0.26800124999999997,0.286869,0.26811722018348616,0.02335582795195753,109,0.21258716,0.22715079999999999,0.253522,0.266989,0.28283,0.3064748,0.31922252,0.2941524906367042,0.029976297420467483,267,0.23302962,0.2501026,0.273055,0.291398,0.312801,0.34637819999999997,0.3595774599999999
-10.7165,0.2406916538461539,0.023922287693182366,26,0.196634,0.1989785,0.22805,0.2441585,0.249882,0.2789815,0.28793275,0.2688758807339449,0.023960131307114375,109,0.21610396,0.227566,0.252439,0.269641,0.284555,0.30954699999999996,0.32137032,0.2952978464419475,0.029973670651899004,267,0.2338318,0.2480433,0.2737795,0.292969,0.3140475,0.3468773,0.3690950399999999
-9.7165,0.24332238461538466,0.025611922915824845,26,0.19214825,0.19887625,0.23197299999999998,0.2464365,0.25571875,0.2833065,0.2893195,0.27068459633027525,0.023868458968285468,109,0.21997228000000002,0.2318428,0.253958,0.26956,0.286464,0.3088946,0.32254208,0.2974053071161048,0.029824247213386203,267,0.23606944000000002,0.2514154,0.2767115,0.297359,0.31463450000000004,0.3483682,0.37864045999999957
