Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-24.802,0.09774687692307694,0.0245496308954299,26,0.050239525,0.061779425,0.0785003,0.09623995,0.1125285,0.137512,0.14214375,0.15168098130841126,0.07670143659519318,107,0.057209656,0.07081298000000001,0.09617325,0.129797,0.18834499999999998,0.3203512,0.38443032,0.1838278249056604,0.11103654726706755,265,0.056192856,0.07039036000000001,0.106706,0.153853,0.224774,0.3869833999999997,0.5984244800000003
-23.802,0.2158151153846154,0.05237980077344848,26,0.1150265,0.1310095,0.19099275,0.2171285,0.24386325,0.300424,0.3093295,0.27159012616822414,0.08750357006768389,107,0.11926106,0.1625164,0.2066085,0.26385,0.3170015,0.43222979999999983,0.5190503999999999,0.29038048339622635,0.11993065307356422,265,0.09913266000000001,0.1179504,0.209387,0.276775,0.351649,0.504891,0.6218592000000012
-22.802,0.253471576923077,0.06310379048404181,26,0.134839,0.14482675,0.21879175,0.2532625,0.29084425,0.3468335,0.35927675000000003,0.309999663551402,0.08943796261211728,107,0.16227134000000001,0.1935348,0.24958650000000002,0.301996,0.3555075,0.47032839999999987,0.5611309999999999,0.324201009056604,0.12144462053319502,265,0.10643419999999999,0.1357874,0.242932,0.311389,0.39277,0.5467747999999999,0.6380071600000007
-21.802,0.2330037307692308,0.0635727292297933,26,0.1189275,0.12381400000000001,0.185549,0.241449,0.26429575,0.334544,0.34131975000000003,0.29063605607476645,0.08818838812898941,107,0.15232616,0.1719161,0.22990549999999998,0.283535,0.33064000000000004,0.44642309999999996,0.53002726,0.3073594313207549,0.11992135911669316,265,0.093085952,0.124638,0.22469,0.292822,0.375495,0.5312412,0.6356594000000003
-20.802,0.20503584230769228,0.06174580653549307,26,0.099662675,0.10241675,0.1499565,0.210111,0.23316275,0.30378,0.316469,0.26318530841121485,0.08625578667341263,107,0.13378864000000001,0.1513835,0.2043485,0.252143,0.301157,0.42647539999999995,0.49827632,0.28405759320754703,0.11740768635906795,265,0.085463032,0.1074744,0.201989,0.269034,0.344815,0.5074151999999998,0.6211256000000002
-19.802,0.17708697307692306,0.05764250026393759,26,0.08271192499999999,0.08492235,0.12273524999999999,0.181433,0.207209,0.2752035,0.2791935,0.2359751299065421,0.08449276800395317,107,0.11375916,0.1334842,0.1782475,0.224058,0.27326300000000003,0.40930329999999987,0.48188082,0.2600306049056603,0.11385891883360959,265,0.075074528,0.09494156000000001,0.182983,0.238733,0.317835,0.4949942,0.5980664800000004
-18.802,0.14900621538461542,0.05231326732960726,26,0.06779734999999999,0.070390325,0.098630125,0.15279399999999999,0.17738125,0.2348425,0.24277825,0.2082385467289721,0.08261026519498824,107,0.093917258,0.11138,0.1514105,0.192411,0.247468,0.3795584999999999,0.4622265799999999,0.2347290996226416,0.11021238419342813,265,0.06596608400000001,0.08618062,0.160214,0.215141,0.28892,0.45198859999999996,0.5694578800000003
-17.802,0.11597980384615385,0.0463342967261227,26,0.05031935,0.053916425000000004,0.071580875,0.1173375,0.14031274999999999,0.20374575,0.2050295,0.1744307626168225,0.07989163742922142,107,0.071814964,0.08706572,0.1167525,0.154878,0.207615,0.35223449999999984,0.41051272,0.2041008732075472,0.10607225131748856,265,0.051805739999999996,0.07092784,0.130847,0.181931,0.252249,0.4174223999999998,0.5343726400000003
-16.802,0.07918655769230772,0.04060497483287656,26,0.03125035,0.033751425,0.0455738,0.0765324,0.096192225,0.1641255,0.171542,0.1355476140186916,0.0773019483761414,107,0.048549907999999996,0.05524602,0.0823557,0.113318,0.16835899999999998,0.30491689999999994,0.36828237999999996,0.1693030852830188,0.10267347521418457,265,0.03549462,0.049028880000000004,0.0952267,0.146518,0.21199,0.3767658,0.4737191600000003
-15.802,0.05548422692307691,0.03692655348289692,26,0.0205994,0.021812,0.028715275,0.0502118,0.062997425,0.14136600000000002,0.15427325,0.10848297850467291,0.07398208470639084,107,0.031115757999999997,0.03542132,0.05754805,0.0859799,0.14731,0.2630121999999999,0.3283152,0.14501287698113213,0.09856780621663809,265,0.023033688,0.03728592000000001,0.0753049,0.117029,0.188303,0.3619685999999998,0.41596980000000017
-14.802,0.04141097692307693,0.03511294187031679,26,0.015627275,0.0158923,0.01794995,0.030543400000000002,0.042805125,0.12602649999999999,0.144681,0.08998206261682241,0.06954119673118912,107,0.019940976,0.025121090000000002,0.0400947,0.0615756,0.1241795,0.22549329999999995,0.3084972199999999,0.12790808528301886,0.09329424713545124,265,0.020771424,0.03212512,0.0604589,0.0953589,0.174398,0.3279044,0.3906501200000001
-13.802,0.03389353461538462,0.03303188246955287,26,0.012364924999999999,0.013226149999999999,0.01445855,0.0215971,0.031971775,0.110958275,0.13306775,0.076504386635514,0.06339491111181186,107,0.014997486,0.01868267,0.0307207,0.0475337,0.1115675,0.18728199999999998,0.29560835999999985,0.11526688867924527,0.08599634792635458,265,0.018446416,0.028916320000000002,0.0537663,0.0892763,0.157095,0.2888389999999999,0.3613727600000003
-12.802,0.02936976923076923,0.02962652789075047,26,0.010789324999999999,0.01147725,0.0119705,0.01730495,0.027884725,0.093644525,0.11567655,0.06540362822429908,0.05611538246710792,107,0.010571948,0.01512343,0.02651535,0.0420157,0.0999445,0.1598374999999999,0.2640220199999998,0.10425251018867925,0.07630681043338083,265,0.017990495999999998,0.02701008,0.0506663,0.0799099,0.132684,0.26186359999999986,0.34383132000000005
-11.802,0.025138249615384613,0.024879210584391215,26,0.00913675,0.009452975,0.010282300000000001,0.0139604,0.026092374999999998,0.075396525,0.09286405,0.054601384672897185,0.04835039138504901,107,0.0090360242,0.01187646,0.019880750000000003,0.0359243,0.07995730000000001,0.14275189999999985,0.22416245999999987,0.09215156116981131,0.06496018665520235,265,0.016887872,0.02454818,0.0475106,0.0733638,0.116947,0.22121599999999997,0.31929100000000005
-10.802,0.020854823076923077,0.020056008198913518,26,0.007517525,0.007596965000000001,0.0078605475,0.011433,0.022636,0.0677447,0.073360325,0.044102847943925216,0.040171185109047575,107,0.008060641,0.009907875,0.015030950000000001,0.0301196,0.0613992,0.12092929999999992,0.18405211999999993,0.07931929298113208,0.053405291159324624,265,0.017261836,0.02219426,0.0414893,0.0704146,0.0995086,0.1862031999999999,0.2933389600000001
-9.8019,0.017346298846153848,0.01657021797769657,26,0.0054066875,0.0055373425,0.0067382375,0.010030535,0.024065049999999998,0.050395449999999994,0.06324065000000001,0.03499539887850468,0.03206562007697495,107,0.006175642,0.007405511,0.012535049999999999,0.0253114,0.0469047,0.09750720999999998,0.14408025999999996,0.06821517984905658,0.04363045058546736,265,0.014587584,0.02011802,0.0348484,0.0604259,0.0891924,0.14026999999999998,0.24928240000000013
-8.8019,0.015979897692307697,0.015678287003073086,26,0.0037081075,0.003785645,0.0056747099999999995,0.00963668,0.01771795,0.051067375,0.059172375,0.029233317102803743,0.02536509309255574,107,0.004420540000000001,0.006220377,0.01094465,0.0201133,0.038794800000000004,0.08756665999999999,0.10479097799999998,0.06129254162264155,0.03731713842875946,265,0.011384248,0.01899336,0.0341691,0.0564338,0.0796694,0.1232048,0.18516832000000052
