Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-24.802,0.1457841,0.018902782177552598,26,0.10357445,0.127554,0.13513,0.1459395,0.156029,0.17228525,0.188969,0.14739265384615388,0.023772890877386797,104,0.09153029400000001,0.10895465,0.13186175,0.1480645,0.16268825,0.1826334,0.19973734,0.14826446083650194,0.035857441635138355,263,0.077782824,0.1050041,0.12775599999999998,0.146034,0.163356,0.19566059999999996,0.22090741999999988
-23.802,0.1714821923076923,0.01780491282319401,26,0.13891399999999998,0.144701,0.16087449999999998,0.16977599999999998,0.1800215,0.19059775,0.21636125,0.17046451346153854,0.02421272834586976,104,0.11490014999999999,0.12900605,0.1549025,0.173404,0.18736825000000001,0.2050029,0.21918955999999998,0.17427977946768067,0.030522844723230365,263,0.10155431999999999,0.12384250000000001,0.156511,0.174464,0.1945535,0.22033609999999998,0.24357979999999999
-22.802,0.18557646153846155,0.020004998253897985,26,0.15080175,0.15753175000000003,0.17271625000000002,0.18619750000000002,0.1973465,0.20833225,0.23742775,0.1864179442307692,0.027224218471851004,104,0.12613228999999998,0.1358677,0.16938475,0.1904395,0.2045825,0.2262674,0.23478135,0.19053187148288978,0.032575218402399554,263,0.11401924,0.1337088,0.1711645,0.19128,0.211591,0.2424915,0.26667683999999997
-21.802,0.19472769230769232,0.022785067441233053,26,0.15214625,0.16388,0.17909675,0.197168,0.208756,0.2192355,0.250377,0.19673866826923073,0.02927302750716097,104,0.13048821,0.1409548,0.17993725,0.202177,0.21590925,0.2357802,0.24881599,0.2002664087452473,0.033971002037424196,263,0.12407368,0.141786,0.1795915,0.199961,0.22142450000000002,0.25568409999999986,0.2745848999999999
-20.802,0.20325292307692308,0.025958392230526265,26,0.150968,0.1632575,0.19138349999999998,0.202154,0.21802425,0.23326724999999998,0.2645065,0.2052803942307692,0.031138787977802996,104,0.13130072,0.14465685,0.1885675,0.2085035,0.2269225,0.25080359999999996,0.26355783,0.20794593041825085,0.03519539335346896,263,0.12810726,0.14762930000000002,0.187282,0.209966,0.231226,0.26402099999999995,0.28127729999999995
-19.802,0.20990846153846154,0.028064050377991798,26,0.15095350000000002,0.16510475000000002,0.2001445,0.20828649999999999,0.228744,0.24368299999999998,0.27229625,0.21174272115384618,0.032959442893849805,104,0.13070442,0.14420975,0.196386,0.213562,0.23183125,0.26062604999999994,0.27600174,0.21425425171102658,0.03643852628580896,263,0.1332235,0.1520212,0.19389499999999998,0.216044,0.239846,0.2724037999999999,0.28899485999999996
-18.802,0.21444530769230766,0.02944645288488137,26,0.15144225,0.165675,0.20503824999999998,0.21335900000000002,0.230767,0.25117675,0.27553825,0.216956721153846,0.034369140093775515,104,0.12922283999999998,0.14367235,0.20057875,0.220608,0.238017,0.26456785,0.28593281000000004,0.2199874942965781,0.03794853129643182,263,0.13729666,0.1552077,0.19803500000000002,0.220593,0.24779,0.2784577,0.29650793999999997
-17.802,0.2180165769230769,0.031162710358597603,26,0.15187699999999998,0.162855,0.2059635,0.21717350000000002,0.23159375,0.26351325000000003,0.27755549999999996,0.22242645192307695,0.035630921556815756,104,0.128893,0.14601740000000002,0.20823725,0.2245225,0.24389775,0.2693718,0.29630587,0.22605893155893556,0.039655095134870165,263,0.1418323,0.1568612,0.202358,0.227889,0.2538335,0.2889481999999999,0.31009533999999994
-16.802,0.21927311538461536,0.032952973439526724,26,0.15178275,0.15779625,0.2053105,0.215973,0.2322425,0.2741685,0.27730525,0.22651355769230766,0.036463691820243435,104,0.12861612,0.1489954,0.20935475,0.2291945,0.24954900000000002,0.27323214999999995,0.30338750000000003,0.23121875665399236,0.04099477131072229,263,0.14655342000000002,0.1576995,0.20491,0.230403,0.258333,0.29556499999999997,0.3192663999999999
-15.802,0.21551292307692307,0.03331390146701293,26,0.1485005,0.15708475,0.19938575,0.21381699999999998,0.23098,0.27237725,0.2776275,0.2267271057692308,0.03571067963071738,104,0.13083792,0.1524002,0.2139945,0.2299905,0.24843875,0.27604539999999994,0.30473097,0.23328161216730037,0.040990239403551454,263,0.15126618,0.1588061,0.205494,0.232788,0.25847050000000005,0.3002755,0.3273057
-14.802,0.20923092307692304,0.03235863760657803,26,0.14502525,0.158332,0.19318875,0.2089595,0.2264025,0.2691015,0.2749955,0.2247359423076924,0.03361403798369744,104,0.13804343,0.1549281,0.20899925,0.225114,0.24745925000000002,0.2714157,0.30029076,0.23414162737642594,0.04017902815745318,263,0.15474782,0.1612194,0.208755,0.23247,0.25791,0.3003008999999999,0.32506458
-13.802,0.20555165384615387,0.03134692956695096,26,0.14427925,0.162853,0.19243000000000002,0.20168399999999997,0.21904774999999999,0.261603,0.276141,0.22511914423076937,0.031156690984369642,104,0.1525474,0.1591647,0.2084625,0.226323,0.2455185,0.2684002,0.29133115,0.23764692395437254,0.03899009871252592,263,0.1582691,0.1687934,0.213124,0.237506,0.264751,0.30071359999999997,0.32144671999999996
-12.802,0.20827269230769233,0.031192019981744347,26,0.1489695,0.17132425,0.1897535,0.203004,0.22375475,0.260367,0.28248325,0.23174981730769234,0.028881194847860538,104,0.16606679,0.1716855,0.2148205,0.2337475,0.25041349999999996,0.27661535,0.28844468,0.2477945399239545,0.03781829499182966,263,0.16942526,0.18458570000000002,0.222552,0.246288,0.274312,0.31023899999999993,0.33060116
-11.802,0.2193628846153846,0.03167079988042856,26,0.161584,0.18565125,0.19739325000000002,0.21444200000000002,0.235991,0.268614,0.29442325,0.24620584615384603,0.02707726899035613,104,0.18414037,0.19208170000000002,0.22846075,0.2480425,0.26398425,0.2872406,0.29780988999999997,0.26687995057034236,0.03736521986314561,263,0.19004132,0.2046558,0.24120550000000002,0.266326,0.29463649999999997,0.327888,0.3491848
-10.802,0.23686526923076923,0.03252741839194459,26,0.17715175,0.20214925,0.21494775,0.232601,0.2550495,0.28433125,0.30994299999999997,0.26644708653846155,0.026137839510077608,104,0.20426808000000002,0.21861345000000001,0.251928,0.2680845,0.28457325,0.3068764,0.31374479,0.29281296958174924,0.03758488496376607,263,0.21494518,0.2342071,0.265842,0.292442,0.31950049999999997,0.3569875,0.37792891999999995
-9.8019,0.25523861538461534,0.033906213154614506,26,0.18850975,0.21462775,0.2342575,0.25072700000000003,0.27806474999999997,0.30209725,0.32613949999999997,0.28658061538461527,0.025946559883209278,104,0.22536797,0.23961765000000002,0.27227775,0.28715100000000005,0.30270325,0.3250575,0.33469776,0.31852512927756643,0.03834385720111579,263,0.2406442,0.26098899999999997,0.2913805,0.316429,0.34552249999999995,0.3872786,0.40724876
-8.8019,0.2690041923076923,0.03519544610658513,26,0.19389374999999998,0.2243325,0.2491635,0.26713200000000004,0.29573125,0.31729025,0.337744,0.3013050961538463,0.02584894170356977,104,0.24476041,0.25208790000000003,0.2866745,0.3022035,0.3167085,0.3411311,0.35191257000000004,0.33766736882129267,0.03912749808395646,263,0.26369066,0.2787222,0.3097495,0.334737,0.36458100000000004,0.40687579999999995,0.4267764
-7.8019,0.27604473076923075,0.03583633895314385,26,0.19430025,0.22964975,0.255058,0.27669699999999997,0.30369225,0.3253695,0.34072074999999996,0.307838201923077,0.025360043414551905,104,0.25498544,0.26296635,0.29226850000000004,0.3100445,0.3214715,0.34354274999999995,0.36147366,0.34740330418250936,0.03938652582054507,263,0.27374584,0.2893528,0.32007399999999997,0.342728,0.373576,0.41813480000000003,0.44620550000000003
