Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-66.0298,0.25151453846153843,0.04567998878741611,26,0.171859,0.17626075000000002,0.2153225,0.26292550000000003,0.28994675,0.29858925000000003,0.31239700000000004,0.31559423853211,0.04595824996645991,109,0.23150888,0.24350660000000002,0.280061,0.312718,0.352983,0.38913839999999994,0.412503,0.3510308566037736,0.056417836164589924,265,0.25013812,0.26256440000000003,0.311635,0.344876,0.395949,0.4441056,0.48546780000000006
-65.0298,0.260136923076923,0.046015025686767214,26,0.17544749999999998,0.18517525,0.2287995,0.27245600000000003,0.298048,0.30426,0.328355,0.3279023944954128,0.04459125656781423,109,0.24204264,0.2548938,0.297485,0.327284,0.362764,0.39807879999999995,0.42073716,0.3662036679245283,0.053850186649347945,265,0.26925768,0.28195200000000004,0.325808,0.361116,0.408908,0.45483619999999997,0.4987377600000001
-64.0298,0.2686144615384615,0.04642264702080722,26,0.18237425000000002,0.1916265,0.24062925000000002,0.2792015,0.30473525,0.31637325,0.3371815,0.3400933027522935,0.04279978762354383,109,0.25165092,0.272335,0.314514,0.335125,0.369131,0.41146,0.42769296,0.38132543018867926,0.051215460072550595,265,0.2827706,0.3009914,0.342936,0.381839,0.420594,0.46368699999999996,0.50226528
-63.0298,0.2762888076923076,0.046839419405470206,26,0.190249,0.19699775,0.24953424999999999,0.2875565,0.31176525,0.32984824999999995,0.34072725000000004,0.35126865137614666,0.04131039438773163,109,0.2579864,0.28527399999999997,0.32529,0.348463,0.381264,0.4195152,0.43332432,0.3948572113207547,0.04916479290325879,265,0.29235108,0.3162962,0.360476,0.396903,0.427095,0.4751832,0.50604824
-62.0298,0.2828988076923077,0.04723037161998134,26,0.1969285,0.202784,0.257359,0.2936185,0.31662925000000003,0.3404555,0.34430625000000004,0.36158933027522944,0.04051485117580115,109,0.26579284000000003,0.292075,0.337817,0.362365,0.388988,0.42488139999999996,0.44201428,0.40705593962264147,0.048294078783447096,265,0.30320828,0.3272694,0.37097,0.409805,0.440601,0.4871646,0.51124564
-61.0298,0.2894448076923077,0.04756412044557892,26,0.2027795,0.208463,0.26415275,0.30178799999999995,0.3250285,0.3463525,0.35023425,0.3714151834862387,0.0402842222156712,109,0.2735724,0.304145,0.346443,0.37274,0.395293,0.4294684,0.4523182,0.41857935849056604,0.0480799347619742,265,0.30936492,0.3377566,0.385461,0.42211,0.449258,0.4961232,0.5174056400000001
-60.0298,0.29640392307692304,0.04791034112166022,26,0.20870875,0.214504,0.270532,0.308319,0.33270775,0.35120025,0.35994675,0.38128869724770653,0.04052474440514014,109,0.28262192,0.3135114,0.359061,0.383342,0.408107,0.44227819999999995,0.4631834,0.4300278188679245,0.04817028206605321,265,0.31312596,0.3479024,0.39914,0.434781,0.461649,0.5041514,0.5299279600000001
-59.0298,0.30211192307692303,0.048280945739637766,26,0.21268700000000001,0.21911825000000001,0.27377025,0.315646,0.339206,0.3546585,0.36544675,0.38939696330275225,0.040399408897840786,109,0.29105276,0.3216776,0.366893,0.392192,0.414508,0.45162519999999995,0.46879952,0.43917253207547174,0.04782342833895144,265,0.31649036,0.358094,0.408851,0.442364,0.470109,0.5131266,0.5407615600000001
-58.0298,0.3083538846153846,0.04911629179922029,26,0.216021,0.22452424999999998,0.2776425,0.32662250000000004,0.34657525,0.360208,0.37036825,0.3981521467889911,0.04042304505106556,109,0.29488988000000005,0.3293882,0.37431,0.401862,0.423435,0.4596422,0.47541604000000004,0.4487340981132075,0.047654964472197414,265,0.32353708,0.368728,0.420196,0.451916,0.480254,0.5237404,0.5504548
-57.0298,0.31576830769230774,0.05060821859403409,26,0.21961975,0.23126425,0.28114675,0.3379045,0.3550405,0.36973475,0.3768625,0.40820883486238535,0.04045681007282671,109,0.30536532,0.3388002,0.383001,0.41376,0.435442,0.46846259999999995,0.48203304,0.45963293207547173,0.047601038842463646,265,0.33396144,0.3802334,0.431128,0.461927,0.49016,0.5340812,0.56430408
-56.0298,0.32336673076923084,0.0523852077529966,26,0.22441650000000002,0.23886374999999999,0.28472149999999996,0.345709,0.36463025,0.3812215,0.38302250000000004,0.4176831467889908,0.04022099596185354,109,0.31544904,0.3474496,0.391016,0.424571,0.446746,0.4771436,0.4894564,0.4700041358490566,0.04714318194137125,265,0.34775712000000003,0.3914736,0.443311,0.472348,0.501734,0.5440968,0.5785821200000001
-55.0298,0.3295706923076923,0.05393316920172166,26,0.22782575,0.24273275,0.288084,0.3508255,0.37339124999999995,0.38496475,0.3941525,0.4247886880733944,0.03983439540255364,109,0.32172336,0.35814979999999996,0.398149,0.426771,0.45555,0.4813074,0.49488676,0.47762163396226415,0.04641567142130456,265,0.36160056,0.3994458,0.448831,0.479779,0.508693,0.5501218,0.5880151600000001
-54.0298,0.33420907692307694,0.05485074719339606,26,0.23007075,0.242983,0.29143375,0.3550495,0.37935125000000003,0.3896145,0.40487799999999996,0.42947639449541297,0.03940529276562711,109,0.32562912,0.36442260000000004,0.400335,0.428061,0.457766,0.4828016,0.49820164,0.4824855698113208,0.045642138398739505,265,0.37288272,0.40447679999999997,0.454849,0.482297,0.512558,0.5522248,0.5897930800000002
-53.0298,0.33900453846153844,0.055235142344149536,26,0.23284975,0.24365975,0.29545925,0.360593,0.383965,0.395331,0.41465225,0.43420650458715604,0.0390376163310191,109,0.33494644,0.3705694,0.402956,0.432724,0.463429,0.4876562,0.49941,0.4876772679245283,0.044856390691276074,265,0.3810394,0.4117376,0.460114,0.488529,0.519521,0.5565778,0.5889580400000002
-52.0298,0.34407869230769234,0.055367976048087034,26,0.235879,0.24541324999999997,0.30112975,0.36695,0.38634875,0.401996,0.4239625,0.439267137614679,0.038869171798785206,109,0.34395516000000004,0.3771594,0.4114,0.440054,0.466272,0.4932468,0.50123268,0.4933483169811321,0.044198085134519505,265,0.38255772,0.4167266,0.463215,0.495406,0.523061,0.5631884,0.5862090800000003
-51.0298,0.3504021923076923,0.05529098605669407,26,0.23981275000000002,0.249469,0.3087685,0.373472,0.39080025,0.41025025000000004,0.43237000000000003,0.4459408532110093,0.03900386707224509,109,0.35414948,0.3828602,0.417902,0.449249,0.474953,0.4979852,0.50711536,0.5009218075471699,0.043735687843982816,265,0.390966,0.4258136,0.474006,0.50428,0.52857,0.5720286,0.5905237200000002
-50.0298,0.3591853846153846,0.0553930907598245,26,0.24526875,0.25667775,0.31842075000000003,0.379019,0.39800625,0.421036,0.44208749999999997,0.4558217889908256,0.03947884231460389,109,0.36368268,0.39096020000000004,0.430302,0.46192,0.484427,0.507981,0.51749552,0.5120158641509434,0.0434383670549221,265,0.4100602,0.4386582,0.483859,0.515282,0.539097,0.5831484,0.60202776
-49.0298,0.37035242307692307,0.05596469713823034,26,0.25239174999999997,0.26630699999999996,0.32931725,0.3858465,0.409322,0.43446875,0.453992,0.46892053211009155,0.04012711609340368,109,0.3745548,0.400504,0.443755,0.476606,0.497862,0.520176,0.5296901199999999,0.5267435433962264,0.04306159721935997,265,0.42903080000000005,0.4548686,0.50016,0.52789,0.552459,0.5972242,0.61976732
-48.0298,0.3832589999999999,0.05720794246815735,26,0.259965,0.27715724999999997,0.34084625,0.394045,0.42228550000000004,0.45042825,0.4677615,0.4844032018348626,0.040910216005834915,109,0.38703612,0.4105976,0.457957,0.490221,0.516486,0.5343392,0.5432454,0.5441763849056604,0.042498089833398985,265,0.44964740000000003,0.47421979999999997,0.518606,0.545569,0.569566,0.6137516,0.63881396
-47.0298,0.39750934615384614,0.05912446818835147,26,0.26787325,0.28870850000000003,0.35274275,0.4076325,0.440619,0.46742875,0.48325650000000003,0.5014895137614677,0.04181830615660657,109,0.39970412,0.4263044,0.472086,0.508838,0.534198,0.5531005999999999,0.5608064,0.5633035547169811,0.04181419901469315,265,0.46954424,0.494617,0.537142,0.56489,0.589485,0.631716,0.6572681600000001
