Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-28.5341,0.24253734615384615,0.04718079116415265,26,0.142517,0.14893375,0.21206825,0.2464825,0.28037275,0.29541,0.30843575,0.3040828392857143,0.0400146987323484,112,0.22374347,0.23650425,0.277778,0.306341,0.3274185,0.3706644,0.38296557,0.3415036494464945,0.04601144382545046,271,0.2407591,0.2633585,0.3113825,0.342367,0.37144750000000004,0.412298,0.4506422000000002
-27.5341,0.25253299999999995,0.04633147489299256,26,0.14893525000000002,0.16853775,0.21580825,0.262246,0.29140975,0.3042045,0.30649325,0.3179641874999999,0.03697543315768946,112,0.21746457000000002,0.2496973,0.30284475,0.321678,0.34146550000000003,0.37146055,0.38859927,0.3569665867158671,0.04180175959772029,271,0.2515134,0.2881225,0.33094199999999996,0.356839,0.382169,0.4241055,0.4585222
-26.5341,0.2620183076923077,0.04651994658446566,26,0.15517350000000002,0.177052,0.22791775,0.2718665,0.29760074999999997,0.30770875,0.31589375,0.3282158749999999,0.03659940389784959,112,0.22552982,0.25816385000000003,0.31033375,0.332706,0.34870975,0.38009519999999997,0.38587468,0.3688144870848708,0.04109976193135091,271,0.2633222,0.3002185,0.34283850000000005,0.37054,0.394671,0.4354435,0.46365330000000016
-25.5341,0.2710139615384616,0.04617103531131246,26,0.16410149999999998,0.18290125,0.23855775,0.281449,0.30719825,0.31591874999999997,0.32316125,0.33852099999999996,0.036279422620235535,112,0.23648360999999998,0.2695558,0.321484,0.34215300000000004,0.36148250000000004,0.38735165,0.39672202,0.3806251586715867,0.04064359783050786,271,0.28002350000000004,0.3129095,0.355156,0.38196,0.406717,0.44694849999999997,0.47509930000000017
-24.5341,0.28132223076923085,0.046271176340618524,26,0.17615399999999998,0.18983275,0.2494345,0.29450849999999995,0.3176825,0.32525025,0.33250725000000003,0.35084859821428577,0.0365558342003073,112,0.24766752,0.2767956,0.3335925,0.35686450000000003,0.3747275,0.40094689999999994,0.41073651,0.3945307527675277,0.04099166684206074,271,0.2901369,0.32487299999999997,0.3679565,0.395218,0.421492,0.460046,0.4888146000000002
-23.5341,0.2937365,0.04663172318861914,26,0.19247475,0.198787,0.26145175,0.3096805,0.3304785,0.337294,0.34423125,0.36561802678571437,0.03721366999812039,112,0.26050358,0.29038715000000004,0.34787075,0.3717425,0.39014499999999996,0.4167163,0.42902811,0.4109595202952029,0.041637070928202215,271,0.3020089,0.3404505,0.384306,0.411842,0.438709,0.47612699999999997,0.5061544000000002
-22.5341,0.3100030769230769,0.04779558158401094,26,0.20858925,0.2182955,0.276152,0.3282315,0.34762899999999997,0.35470875,0.360375,0.3854219910714285,0.038430319709128954,112,0.27548391,0.30981275,0.36505575,0.39067799999999997,0.408628,0.43907024999999994,0.45197738,0.4326686420664207,0.04259511889686512,271,0.3218099,0.357169,0.405462,0.434523,0.4596775,0.49944,0.5327116000000002
-21.5341,0.32978573076923073,0.04988488576918479,26,0.2252535,0.24091025,0.29293475,0.349707,0.370969,0.37934325,0.380836,0.40964550892857154,0.04010245251964036,112,0.28701263,0.33495035,0.39019175,0.41642650000000003,0.43511725,0.4651825999999999,0.48237862,0.45904074538745393,0.04358649798450721,271,0.3368622,0.3830475,0.43133,0.46139,0.485188,0.5299240000000001,0.5608559000000001
-20.5341,0.3494346538461539,0.052500418888951586,26,0.24090375000000003,0.25514775,0.30845525,0.3698625,0.39150799999999997,0.40333175,0.40683575,0.43459127678571413,0.04201207961836258,112,0.30856422,0.360884,0.41787075,0.43923,0.460879,0.48857044999999993,0.51433348,0.4859270959409594,0.044649619768258056,271,0.3588541,0.407582,0.458285,0.488394,0.512598,0.5604560000000001,0.5920345
-19.5341,0.36828719230769225,0.055722885463708155,26,0.256772,0.26649275,0.32311675,0.39021700000000004,0.40858,0.42837675000000003,0.433995,0.4586555624999999,0.04398370173221133,112,0.32019596,0.3863341,0.43843575,0.4644325,0.484382,0.516918,0.5441002,0.5119762656826568,0.04576587002676699,271,0.3868845,0.437243,0.4841385,0.513575,0.5395894999999999,0.5840145,0.616271
-18.5341,0.3812902307692308,0.05821059426620394,26,0.266745,0.27180000000000004,0.333189,0.40491699999999997,0.4194625,0.445972,0.45235775,0.47562026785714284,0.04563187563021281,112,0.33004736,0.40052795,0.45063025,0.482077,0.50085175,0.53814935,0.5657068700000001,0.5307844797047971,0.046776631268648505,271,0.4015789,0.450836,0.502467,0.531392,0.5601545,0.602385,0.6392407
-17.5341,0.3875089615384616,0.05968811575077957,26,0.27014024999999997,0.27725,0.33866025,0.4109625,0.4277885,0.4563345,0.459296,0.4849558392857145,0.04732492334446538,112,0.32234482000000003,0.40631565000000003,0.460377,0.490782,0.5103175,0.5537061499999999,0.5778781199999999,0.5432146974169741,0.04764105538049471,271,0.4189943,0.464433,0.5125500000000001,0.545747,0.5736715,0.6172,0.654803
-16.5341,0.3887212692307692,0.05992205455727143,26,0.26898900000000003,0.28294175,0.34249825,0.41164049999999996,0.43348149999999996,0.4572275,0.4595765,0.48885776785714274,0.04868151852583955,112,0.31485086,0.40744885,0.460363,0.492274,0.515317,0.5589632499999999,0.5843869100000001,0.5525204059040589,0.048101576843305356,271,0.4364777,0.4738555,0.5211975,0.556684,0.5831649999999999,0.626261,0.6579623000000001
-15.5341,0.38819242307692303,0.05951221996543102,26,0.26623274999999996,0.28424725,0.346431,0.40935900000000003,0.43005375,0.4564775,0.45914275,0.4910670267857143,0.04944987881519138,112,0.31411803,0.4160514,0.46097575,0.49594950000000004,0.5204305,0.56341305,0.58010361,0.5624504132841328,0.04870087534211088,271,0.4496547,0.485089,0.5282415,0.565451,0.5963765,0.633569,0.6668591000000001
-14.5341,0.38888476923076926,0.05931711101886719,26,0.261687,0.27386775,0.350394,0.408373,0.42866325,0.45868275000000003,0.46155525,0.49465487500000005,0.050203183919009124,112,0.31529148,0.41780690000000004,0.46741225,0.49834500000000004,0.5252272499999999,0.5656899,0.58042379,0.5752243284132842,0.049911565853490325,271,0.4627235,0.491068,0.542638,0.578072,0.6103105,0.6521330000000001,0.6783613000000001
-13.5341,0.39286034615384613,0.05986231612220984,26,0.26118175,0.26809825,0.35888625,0.40933949999999997,0.43537099999999995,0.461356,0.4682035,0.5021495089285714,0.050978128542479996,112,0.32535851,0.4239042,0.47205325,0.504864,0.53577725,0.5725639,0.59327416,0.5919810774907749,0.052135593718096444,271,0.47544630000000004,0.507464,0.5540125,0.595555,0.6314405000000001,0.6726305,0.6961826
-12.5341,0.4004316538461537,0.06133080838530815,26,0.26084624999999995,0.27641375,0.37004325000000005,0.414414,0.44697125,0.47262325,0.47621325,0.5133420267857145,0.05182445412418298,112,0.34395101,0.43149044999999997,0.48271025,0.5164,0.551455,0.5873595,0.5988996400000001,0.6114945608856088,0.05507590243455424,271,0.4907607,0.515358,0.572338,0.614749,0.6514135,0.6973665,0.7201631000000001
-11.5341,0.40936115384615385,0.06311281038628674,26,0.26455575,0.28915425,0.381551,0.41868550000000004,0.44992175,0.48486,0.489852,0.5244801339285717,0.05241118450756867,112,0.36676609,0.44122500000000003,0.490915,0.5239575000000001,0.56526225,0.59831305,0.61269076,0.6281698966789667,0.05773115406328003,271,0.4977902,0.5273129999999999,0.5900449999999999,0.630778,0.6697355,0.716656,0.745218
-10.5341,0.4153864999999998,0.06440484956352277,26,0.26928525,0.30035199999999995,0.3882735,0.42348600000000003,0.4556945,0.4914465,0.499654,0.530227830357143,0.052339645907377906,112,0.38347498,0.4452894,0.5003132499999999,0.5283115,0.57119825,0.6029322500000001,0.62245856,0.6358024833948338,0.05932164064517969,271,0.5030884,0.5320155,0.5968865000000001,0.635642,0.677897,0.7261839999999999,0.7563482
-9.5341,0.41497323076923076,0.06419423525103025,26,0.274459,0.302259,0.38887299999999997,0.42254,0.45558975,0.49196425,0.49567125,0.5268624285714284,0.05095492367561397,112,0.39418241,0.44339405000000004,0.49673175,0.525021,0.5643605,0.605557,0.6213645,0.6316760664206642,0.05977237901445302,271,0.4975424,0.5291695000000001,0.593054,0.628775,0.671755,0.722812,0.7506965000000001
-8.5341,0.4070798461538462,0.06266176650027817,26,0.27808925,0.295763,0.38338475,0.413132,0.45048875,0.48409375,0.48796500000000004,0.5140797589285715,0.04875159309057796,112,0.39417953,0.4362766,0.48346325,0.516622,0.55006875,0.588531,0.60845479,0.6171993025830258,0.05943003405334863,271,0.4804571,0.5104445,0.5800725,0.61491,0.658211,0.713052,0.7391229
