Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-28.5341,0.31175173076923074,0.090647495385833,26,0.17924649999999998,0.21020525,0.26519475,0.2942815,0.32596650000000005,0.49192275,0.5811915,0.29105357575757596,0.042278333680235855,99,0.21713976,0.2320669,0.264764,0.283385,0.30923849999999997,0.3627549999999999,0.3936961599999996,0.2986151102661598,0.04267597718803219,263,0.21977012,0.2452061,0.2677695,0.291552,0.3206745,0.3774304,0.4250887199999999
-27.5341,0.29679596153846155,0.07523175338298624,26,0.19848074999999998,0.2113435,0.25654825000000003,0.27736950000000005,0.311869,0.47225075000000005,0.5097754999999999,0.28024035353535354,0.04003551929462217,99,0.22106836,0.2351107,0.256393,0.274898,0.291299,0.36590310000000004,0.4106467799999997,0.2863106730038023,0.03569131026802449,263,0.2227255,0.2389063,0.263547,0.278458,0.30266550000000003,0.3522965,0.39693798
-26.5341,0.2870878846153846,0.0671789454935559,26,0.19760875,0.2124595,0.255112,0.2728875,0.3047485,0.44432775,0.48034575,0.27349219191919183,0.03750609063210411,99,0.21851754,0.2352969,0.253796,0.266039,0.284308,0.3458757,0.3953998999999997,0.27889199239543727,0.03284487468213935,263,0.21812566,0.2335192,0.2576405,0.273668,0.29461950000000003,0.3385551,0.37611735999999996
-25.5341,0.28012773076923075,0.06290151439675054,26,0.1918255,0.21772950000000002,0.24896625,0.270748,0.29272600000000004,0.42081799999999997,0.469539,0.26780983838383843,0.03494208353445335,99,0.21616274,0.22627460000000002,0.249855,0.259948,0.2788485,0.3303312,0.3751094999999997,0.2719543384030418,0.030560900323135423,263,0.21505382,0.22978230000000002,0.25322,0.266553,0.28702150000000004,0.3274284,0.36272706
-24.5341,0.2719938076923077,0.059910245858964206,26,0.187768,0.21758775,0.24098875,0.264414,0.27629475,0.40003675,0.45972324999999997,0.2606524747474748,0.03291564857370149,99,0.20739433999999998,0.2220655,0.24424200000000001,0.253965,0.271271,0.31371229999999994,0.35358773999999965,0.26344644486692026,0.02931984695208528,263,0.2057424,0.22271459999999998,0.2455925,0.258347,0.2781365,0.3163233,0.35273142
-23.5341,0.2616946153846154,0.056592347150530464,26,0.182528,0.213595,0.23527875,0.2509995,0.26843975000000003,0.37158175,0.44681099999999996,0.2518923737373738,0.03098379124329162,99,0.19603506,0.21579700000000002,0.235825,0.245922,0.2613445,0.29974039999999996,0.33496841999999966,0.25327057034220524,0.028369037680905637,263,0.19484648000000002,0.2125164,0.236089,0.248852,0.2677545,0.3045867,0.34278406
-22.5341,0.2478998076923077,0.05207765595878465,26,0.1754155,0.2078025,0.22839925,0.2365485,0.254216,0.33529074999999997,0.42407174999999997,0.2399243131313131,0.0290590544274461,99,0.18547529999999998,0.2043453,0.22455950000000002,0.234208,0.2507855,0.28892389999999996,0.3173739399999997,0.23976333840304181,0.027645036840622902,263,0.17690688000000002,0.2019696,0.222476,0.236696,0.25523399999999996,0.2887299999999999,0.3210176599999999
-21.5341,0.232037,0.048975339870592015,26,0.16606825,0.19850099999999998,0.2078375,0.2229835,0.23474,0.296285,0.40029025,0.22570662626262633,0.02730603359601409,99,0.17655886,0.1909676,0.212001,0.219656,0.238599,0.27337189999999995,0.2968636199999997,0.22383824334600758,0.027212592882962093,263,0.1583423,0.18523230000000002,0.2060025,0.221015,0.239708,0.2718932,0.30056452
-20.5341,0.21620615384615385,0.04593385313399459,26,0.156827,0.1777105,0.191639,0.2073485,0.22353875,0.26100075,0.37198225,0.21092182828282816,0.026459989392550516,99,0.16246818,0.1740574,0.196747,0.207522,0.223083,0.2568007,0.2766821999999998,0.20779325855513306,0.026798894273818583,263,0.14387586,0.1683482,0.1908,0.20579,0.2246545,0.2513453,0.28055872
-19.5341,0.20022353846153845,0.041854064649666484,26,0.14875899999999997,0.157783,0.18270375,0.1951135,0.2119095,0.226509,0.3372325,0.1966400202020202,0.026314661775651508,99,0.14887347999999997,0.1585764,0.17954599999999998,0.195726,0.2089685,0.24169739999999998,0.2679279599999999,0.19337506083650194,0.026599478224021197,263,0.13637436,0.15384050000000002,0.177043,0.192126,0.2103735,0.23785709999999996,0.2623118
-18.5341,0.18903553846153848,0.03756715811048875,26,0.14472425,0.14745475,0.17391475,0.186306,0.202457,0.21685775,0.30874199999999996,0.18795671616161613,0.026551598286577344,99,0.139311918,0.14817149999999998,0.171425,0.188377,0.20215,0.23281889999999997,0.25766310000000003,0.18619680608365016,0.026348024917150277,263,0.1333444,0.1471126,0.16848,0.185702,0.2011475,0.22854599999999994,0.2517987199999999
-17.5341,0.18448576923076918,0.03273443148894777,26,0.14251325,0.14557275,0.1693465,0.179697,0.19983725000000002,0.22017599999999998,0.28412925,0.18573756666666658,0.02726779083375229,99,0.138699802,0.1420282,0.16909,0.184937,0.20138899999999998,0.23259719999999998,0.27018661999999993,0.1857070494296578,0.02554843563236125,263,0.13612156,0.1484653,0.1677255,0.185307,0.1992875,0.22537079999999998,0.25078121999999997
-16.5341,0.18524619230769235,0.028617429533791792,26,0.14444175,0.14613025000000002,0.1680005,0.18128,0.20033050000000002,0.22974024999999998,0.26551400000000003,0.18764922222222225,0.02734755432058707,99,0.14249012,0.1471162,0.17290149999999999,0.185353,0.200861,0.22411679999999995,0.29228686,0.18778187452471487,0.023910608585936174,263,0.13755222,0.156017,0.17157899999999998,0.186136,0.2004565,0.22684399999999993,0.24683651999999995
-15.5341,0.18817007692307694,0.026921268861512568,26,0.14545475,0.14846725,0.17357150000000002,0.185848,0.196192,0.24374549999999998,0.25382899999999997,0.1897329191919192,0.025868890741535193,99,0.15139713999999999,0.15561360000000002,0.175209,0.188649,0.200365,0.2233905,0.30224767999999996,0.18742838783269977,0.022124468049019057,263,0.14689874,0.1576602,0.17283199999999999,0.185113,0.198247,0.22435639999999998,0.24068309999999998
-14.5341,0.19035884615384618,0.027905442733190677,26,0.14549700000000002,0.14650825,0.17312475,0.1886515,0.20658875000000002,0.23190125,0.261465,0.1896043434343434,0.024046315593361556,99,0.15836966000000002,0.1622101,0.174431,0.186306,0.19775399999999999,0.2204083,0.30471983999999996,0.1824532547528517,0.021486735961746613,263,0.14538469999999998,0.1539313,0.167162,0.179006,0.1952505,0.2157315,0.2293422
