Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-48.3839,0.2703048461538461,0.0398563802337265,26,0.159306,0.20609149999999998,0.24677549999999998,0.27380150000000003,0.302124,0.32029575,0.3228915,0.3020780089285714,0.02958242860836968,112,0.23417632,0.2598843,0.28271,0.3013205,0.32038500000000003,0.34729915,0.35771167,0.3044348927203065,0.028527302628898417,261,0.2355514,0.255832,0.285469,0.305982,0.324996,0.348356,0.3634257999999999
-47.3839,0.26508661538461536,0.037690571295300825,26,0.16220525,0.20652700000000002,0.24129675,0.266183,0.292326,0.3125325,0.31686125,0.2967403214285715,0.0290178369436239,112,0.23207802000000002,0.25553485,0.27882125,0.2958865,0.3162205,0.34100579999999997,0.35670356000000003,0.29931872413793104,0.02788173465717006,261,0.2368186,0.253091,0.281547,0.300607,0.317244,0.342754,0.3579772
-46.3839,0.2610245384615385,0.036471855570267615,26,0.16307225,0.20510175,0.23832575,0.261705,0.28705325,0.3050655,0.31128875,0.2937093928571429,0.027970093866938557,112,0.23441338,0.25235420000000003,0.275648,0.29359,0.31400125,0.33957044999999997,0.3461478,0.29625308812260537,0.02788027442965678,261,0.237414,0.249802,0.276243,0.297597,0.316133,0.337259,0.35398099999999993
-45.3839,0.25795850000000003,0.03538871083975792,26,0.16407175000000002,0.20161600000000002,0.2367485,0.258584,0.286262,0.29799575,0.3063805,0.29127575892857155,0.027228855027571986,112,0.2349437,0.2501923,0.27171275,0.291393,0.31066725,0.33402299999999996,0.34597587,0.29426160153256703,0.027763916097126955,261,0.2390298,0.248734,0.273587,0.295972,0.314356,0.337441,0.3502452
-44.3839,0.2546430384615385,0.03444388173766803,26,0.16497675,0.19645300000000002,0.23794275,0.255582,0.28187675,0.2916885,0.30155975,0.28854573214285706,0.027073543567086994,112,0.23320976,0.2477346,0.26897575,0.287307,0.30760675000000004,0.3279735999999999,0.36150808,0.29225578544061304,0.02785412843312768,261,0.2389696,0.247389,0.271309,0.29335,0.313756,0.338062,0.3482798
-43.3839,0.25108023076923075,0.034085933068417174,26,0.16594150000000002,0.19114075000000003,0.23788974999999998,0.252876,0.27712775,0.29114700000000004,0.298323,0.2860869464285714,0.027805416414416206,112,0.23040738,0.24551415,0.2688655,0.28537250000000003,0.302782,0.32956845,0.36178057,0.2909592835249042,0.02856805967772529,261,0.2322648,0.247869,0.267342,0.290259,0.310389,0.340224,0.35096259999999996
-42.3839,0.24569542307692308,0.03415866893914114,26,0.16747874999999998,0.184277,0.23423475,0.246376,0.27070375,0.29144575,0.29582749999999997,0.28303663392857153,0.029815023962623467,112,0.22769417,0.23911295,0.2669525,0.2821275,0.300116,0.32875345,0.37687560000000003,0.2902556781609195,0.030758667949861995,261,0.2257426,0.245092,0.265188,0.290342,0.310319,0.343754,0.36825919999999995
-41.3839,0.24084780769230774,0.03495543222907619,26,0.1650885,0.17401149999999999,0.22843725,0.24106650000000002,0.26381875,0.28432,0.298587,0.2805365000000001,0.03185324847789617,112,0.2255581,0.233566,0.261309,0.278123,0.2956175,0.32526564999999996,0.38873147,0.29086544444444445,0.033316371951711464,261,0.2219418,0.237368,0.266573,0.290839,0.311713,0.347293,0.38338219999999995
-40.3839,0.2369560769230769,0.0358267163596365,26,0.16231225,0.1690525,0.2224815,0.23819400000000002,0.25781275,0.27745975,0.30330625,0.27709986607142856,0.033312082967724616,112,0.22212514,0.2297893,0.25596275,0.274386,0.29616375,0.31596645,0.39282438000000003,0.2901533295019157,0.03563040397187075,261,0.211976,0.23215,0.266233,0.289786,0.311671,0.350567,0.3890385999999999
-39.3839,0.23535003846153846,0.037251038464430244,26,0.1600945,0.16935050000000001,0.21980224999999998,0.2356115,0.25804125,0.2786995,0.31120475,0.27496309821428583,0.0343395574417693,112,0.21878355,0.22252145,0.24986075,0.273391,0.29268675,0.3261179499999998,0.38904706,0.28949759386973184,0.03792902950262961,261,0.2035718,0.229997,0.264446,0.2904,0.312802,0.35622,0.3860374
