Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-53.2004,0.06403601538461538,0.06887224549161551,26,0.01213415,0.013857175,0.022707724999999998,0.0320519,0.08975335000000001,0.17156375000000001,0.2779385,0.04545400702702704,0.037318506935077565,111,0.008389832,0.0122512,0.0218538,0.033226,0.05589395,0.1224215,0.16257010000000008,0.06361360726591761,0.0676838313991375,267,0.0093491388,0.01286625,0.02208745,0.0380006,0.07773279999999999,0.2093703999999999,0.3160699599999998
-52.2004,0.0810316923076923,0.0591578552228657,26,0.026308699999999997,0.030646700000000002,0.042009975,0.0591051,0.09308150000000001,0.1753295,0.249842,0.0672342736036036,0.043572809286264294,111,0.01280366,0.02127035,0.042165850000000005,0.0601235,0.07880909999999999,0.145889,0.21973470000000006,0.0843272112359551,0.06960033487719397,267,0.015974592,0.021911490000000002,0.03994335,0.0618935,0.104284,0.21676609999999996,0.3419084999999993
-51.2004,0.09068486538461538,0.0556947554123434,26,0.03894285,0.040406975000000005,0.049467449999999996,0.06607925,0.11626325,0.19253075,0.2293345,0.07932550900900907,0.0488619140526379,111,0.01506965,0.0307774,0.05237995,0.0716984,0.08949535,0.15907300000000002,0.27222870000000016,0.0940627344569288,0.0719252461437323,267,0.019483554,0.026232980000000003,0.047145400000000004,0.0719452,0.1185075,0.25056039999999996,0.37902442
-50.2004,0.09795850384615384,0.0569842841682405,26,0.041784974999999995,0.05001115,0.055555725,0.0741805,0.13142525,0.219239,0.22671149999999998,0.08868742612612612,0.05434991335150526,111,0.01876287,0.0331408,0.05871445,0.0763333,0.100582,0.170858,0.3286798000000002,0.10011366704119853,0.07396142103762102,267,0.022523344,0.03001923,0.0527489,0.0774695,0.1210615,0.250146,0.39773391999999846
-49.2004,0.10706694230769229,0.06387468101162572,26,0.04311445,0.047134925,0.06345475,0.0820372,0.15226375,0.24263825,0.26665275,0.10025775045045049,0.06295736853359636,111,0.027907079999999997,0.038239300000000004,0.06436095,0.0877599,0.11161399999999999,0.209699,0.36075370000000007,0.10883994082397008,0.0785903917037373,267,0.02406322,0.03404623,0.05856485,0.0840229,0.132292,0.2665878,0.4028667799999972
-48.2004,0.12306440769230768,0.07667002492577094,26,0.043777825,0.049430025,0.063424025,0.09583259999999999,0.1685875,0.29148725000000003,0.3115735,0.11846059189189188,0.07191252342825481,111,0.03424466,0.04265365,0.07460925,0.0995055,0.1356765,0.2499635,0.4175527000000005,0.12694317865168536,0.08413726331074127,267,0.02565547,0.03936016,0.07289090000000001,0.102472,0.1559475,0.27287029999999995,0.40902847999999686
-47.2004,0.14593092692307696,0.0945086583356025,26,0.037836175,0.044857825,0.081406875,0.1171475,0.202293,0.3411305,0.36332600000000004,0.1467735171171171,0.08327111652488338,111,0.03306826,0.04533605,0.0917896,0.129902,0.176093,0.2994365,0.46734210000000065,0.15480771423220982,0.09190201660053075,267,0.028119714,0.04882231,0.09041205,0.138196,0.1994155,0.30796509999999994,0.4679504999999984
-46.2004,0.16925889615384618,0.11191478301025465,26,0.033624925,0.036692175,0.0940368,0.12705650000000002,0.23885475,0.38110374999999996,0.413423,0.17996059819819826,0.09374067376105498,111,0.02558053,0.06420034999999999,0.114571,0.167868,0.2206735,0.34195949999999997,0.49699340000000036,0.1857971797752809,0.1003429361078067,267,0.037356650000000005,0.052105860000000004,0.1142865,0.176561,0.238297,0.3569406,0.5180477199999999
-45.2004,0.19372815769230767,0.12461068223965768,26,0.03107135,0.0353647,0.11268975,0.1523195,0.266602,0.42031525000000003,0.45933425,0.2144397468468468,0.10254295880588321,111,0.035118119999999996,0.08852299999999999,0.144505,0.200661,0.26975000000000005,0.404162,0.5139392000000003,0.21870499588014974,0.10784156568005206,267,0.042823954000000004,0.06444554000000001,0.1393185,0.209357,0.2835105,0.4059635,0.5335964199999988
-44.2004,0.21405567307692308,0.13207406530657428,26,0.031676825,0.03806675,0.129566,0.18945099999999998,0.279526,0.4667205,0.501187,0.2453743288288289,0.10784379155214892,111,0.04004414,0.10582549999999999,0.1680335,0.22653,0.31200300000000003,0.452424,0.5350116,0.2503399509363297,0.1123791200605365,267,0.057325718,0.08085592000000001,0.1713135,0.234118,0.3186795,0.4528521999999999,0.5378209599999986
