Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-32.2963,0.03967241611538462,0.09577641318210489,26,0.0,0.0,0.0,1.02215e-05,0.019839075,0.300114,0.31884375000000004,0.029878443714236355,0.06607311751172933,110,0.0,0.0,0.0,0.000203812,0.0108740625,0.19159604999999996,0.27919298999999986,0.021865980003332095,0.042380212151694484,268,0.0,1.3394390000000001e-05,0.0006778475,0.004248315,0.018156775,0.1110211999999999,0.1911525699999996
-31.2963,0.04028318039230769,0.09669257232848923,26,0.0,0.0,0.0,9.4336e-06,0.019549125,0.30207275,0.32665500000000003,0.02925486024716364,0.06337862037961735,110,0.0,0.0,2.5561125e-07,0.00032418,0.0106698125,0.17884839999999994,0.27114375999999984,0.022219505509645535,0.041834030422057605,268,3.232616e-08,5.0437500000000006e-05,0.000856959,0.0047318099999999995,0.019622624999999998,0.11599429999999988,0.1953671599999997
-30.2963,0.04103592370769231,0.09779076295646143,26,0.0,0.0,0.0,6.9787e-06,0.02013285,0.303871,0.33753425000000004,0.028879058966814548,0.06104035033852909,110,0.0,0.0,7.46026e-07,0.0003314975,0.012329425,0.16847239999999988,0.26139472999999985,0.022624283121279842,0.04161564971179651,268,2.0095385e-07,4.780233000000001e-05,0.00097835375,0.00503924,0.020933325000000003,0.11367739999999993,0.19790838999999993
-29.2963,0.041271428682424616,0.09796015304056431,26,0.0,0.0,0.0,1.2060547e-05,0.02105045,0.30466150000000003,0.342848,0.027984061957248188,0.05799504439522929,110,0.0,0.0,9.2402075e-07,0.00032906000000000005,0.0150872,0.1594377499999999,0.24856392999999985,0.02251636933347387,0.0408681731477404,268,1.674101e-07,4.5539605000000014e-05,0.00102257225,0.0050793950000000004,0.022169599999999998,0.11096019999999972,0.1901285299999996
-28.2963,0.04133611657228424,0.09750466339461678,26,0.0,0.0,0.0,4.36932565e-05,0.02058055,0.30301100000000003,0.34449175,0.026951893095654742,0.055047954604998124,110,0.0,0.0,7.44718e-07,0.000277384,0.01583435,0.1530795499999999,0.23651749999999988,0.021928162719973873,0.039722080911473036,268,1.8961534e-07,4.161964000000002e-05,0.00097896625,0.00504719,0.022370974999999998,0.1117919499999999,0.17913599999999938
-27.2963,0.040976823785540385,0.09579777965270488,26,0.0,0.0,0.0,5.9237664000000005e-05,0.019695149999999998,0.29758925,0.33950525,0.025578166791197295,0.051716661191958044,110,0.0,0.0,7.5082375e-07,0.000225852,0.0151103,0.14583404999999994,0.22289878999999987,0.020954001046075005,0.03804335158962377,268,1.4826319e-07,4.0688965000000014e-05,0.00091264975,0.004925855,0.021420625,0.10618294999999998,0.16282606999999916
-26.2963,0.04023386393705446,0.09281984485556313,26,0.0,0.0,0.0,6.475875649999999e-05,0.0193627,0.28894475,0.32762424999999995,0.023818205215594985,0.04784870790548666,110,0.0,0.0,7.20628e-07,0.0002016145,0.015798975,0.1377497,0.2065605799999999,0.019613617526166045,0.03594664213249309,268,1.02891247e-07,3.1556250000000005e-05,0.00090637775,0.004585015,0.020181750000000002,0.08979841499999998,0.15686125999999928
-25.2963,0.03922469532867093,0.0888188240574211,26,0.0,0.0,0.0,6.580996e-05,0.0193242,0.27197375,0.31367975000000003,0.021746525410701288,0.04353277333929982,110,0.0,0.0,1.00272e-06,0.00018830449999999999,0.01758935,0.12824619999999995,0.17539507,0.01802679448342163,0.03354083969254495,268,4.2268959999999993e-08,2.8805095000000003e-05,0.00079811425,0.003991825,0.0186786,0.08409449499999995,0.14897296999999948
-24.2963,0.03763339738828274,0.08343710966724709,26,0.0,0.0,0.0,6.630633e-05,0.019281575000000002,0.248985,0.2936065,0.019299752852924273,0.03879095547460291,110,0.0,0.0,6.7802675e-07,0.0001876685,0.018089825,0.11636629999999998,0.16072968999999993,0.0161639222717347,0.030734247321167786,268,1.3371792999999999e-08,2.7336495e-05,0.0007035605,0.003548455,0.016493175,0.07757113999999994,0.1368198899999997
-23.2963,0.035492066056973075,0.07688876595418254,26,0.0,0.0,0.0,5.995337e-05,0.017029275,0.224227,0.2681195,0.01668271906578674,0.03403703171591786,110,0.0,0.0,5.8533575e-07,0.000133996,0.01371205,0.10037375,0.13604285,0.014185640735192157,0.027744099224804496,268,1.0596719999999999e-08,1.8934850000000007e-05,0.0005735512499999999,0.00323873,0.014617775,0.07324357499999996,0.12282612999999981
