Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-32.2963,0.21026794799999998,0.07953044789450725,25,0.100042612,0.108059,0.171574,0.199216,0.229591,0.33147219999999994,0.42503947999999975,0.21003130357142852,0.046042842419524624,112,0.13031102,0.14774235,0.17767850000000002,0.205976,0.23678525,0.28734305,0.3391221,0.19731960305343502,0.042517824363801845,262,0.11999862,0.14169295,0.17484525,0.1894565,0.212923,0.28443944999999987,0.35905355999999977
-31.2963,0.205173576,0.07886780272991255,25,0.092318384,0.1043014,0.160666,0.192959,0.221061,0.33208319999999997,0.4167106799999998,0.20462025892857152,0.04458994844814275,112,0.12577853,0.1450157,0.17353925,0.19881300000000002,0.2293565,0.27759035,0.3272242,0.19215362977099235,0.04116718763442926,262,0.11518329,0.1407929,0.16813475,0.185176,0.206206,0.27491209999999994,0.3428372099999999
-30.2963,0.20032165200000002,0.07814352489011869,25,0.087393508,0.1034098,0.153233,0.186463,0.216412,0.32768459999999994,0.4080436399999998,0.19949833035714276,0.043558415540345084,112,0.12491059,0.1411069,0.1698515,0.19421850000000002,0.2219885,0.26785709999999996,0.32014307000000003,0.18733538740458017,0.040298811426333715,262,0.10929788,0.13771305,0.162719,0.1813695,0.2025185,0.26468564999999994,0.33407431
-29.2963,0.19492328399999997,0.07618932894884121,25,0.084384356,0.102965,0.147921,0.184089,0.21282,0.318872,0.39490859999999983,0.1945382499999999,0.04237794137029056,112,0.12541078,0.1372555,0.16298475,0.189836,0.21561750000000002,0.26278704999999997,0.31536933,0.18261397442748087,0.03903724092675456,262,0.102611353,0.13477485,0.15874475,0.1768855,0.19854,0.2509008,0.31551324999999997
-28.2963,0.18986674400000003,0.07422806461878756,25,0.081925516,0.102284,0.142312,0.180121,0.20871,0.31018060000000003,0.3823549199999998,0.19011010714285717,0.04141016718832458,112,0.12241451,0.13346115,0.160694,0.18703199999999998,0.21009925000000002,0.2616418999999999,0.31141295,0.17841576526717554,0.03780780859472118,262,0.098895242,0.1332264,0.1545935,0.17309449999999998,0.19458425,0.24389019999999997,0.3047012399999998
-27.2963,0.18583224800000003,0.07222855992817823,25,0.079719716,0.10159064,0.138316,0.173523,0.204583,0.3029318,0.3702293999999998,0.18655186607142854,0.04024911768122423,112,0.11976625,0.1332412,0.15916625,0.18168299999999998,0.20839225,0.26193569999999994,0.3064734,0.17500312175572516,0.03647115822213503,262,0.09824240299999999,0.13099775,0.15019675,0.1703465,0.19091575,0.24068344999999997,0.2915494399999999
-26.2963,0.18250133600000001,0.0701461903631378,25,0.077692708,0.10065464,0.138676,0.17375,0.195834,0.2968362,0.35820391999999984,0.18362923214285706,0.03889745195109786,112,0.11679928,0.13256855,0.157665,0.18,0.20180025000000001,0.26308709999999996,0.30268945,0.1723776083969467,0.035030038385008636,262,0.100175503,0.12593215,0.1487435,0.16879850000000002,0.1901435,0.23615784999999997,0.28169152000000003
-25.2963,0.18001419600000002,0.06748591528971361,25,0.07706374,0.10013276,0.132486,0.174181,0.193627,0.29061139999999996,0.3440433199999999,0.18158466964285716,0.03741591922591922,112,0.11934547000000001,0.13389225,0.15696375,0.17752,0.19790375000000002,0.26133095,0.29864342,0.17078602519083957,0.03338922429607287,262,0.10080617,0.12478885,0.1496385,0.1677075,0.18901125,0.23037144999999998,0.27027190999999995
-24.2963,0.17762321600000003,0.06431065342774787,25,0.076747284,0.0985888,0.130959,0.17397,0.198739,0.28475739999999994,0.3269759999999999,0.17986353571428568,0.035672007946759426,112,0.11930209,0.1364176,0.156301,0.176129,0.193834,0.25315845,0.27635917,0.16961385916030544,0.03151587653685573,262,0.102245732,0.12200535,0.14994475,0.166853,0.18591475000000002,0.2205332,0.26271169
-23.2963,0.17574615999999998,0.061307451883872426,25,0.076829336,0.09591916,0.130388,0.17385,0.202847,0.28083259999999993,0.30877259999999995,0.17879097321428578,0.033676317748907794,112,0.11852417,0.1358128,0.1561265,0.1748495,0.19234300000000001,0.24878764999999992,0.27557194,0.16917312709923651,0.029530346065184697,262,0.10295591,0.12079765,0.15131175,0.1663905,0.18455275,0.2215524499999999,0.2508910499999999
