Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-37.4063,0.027379710520000003,0.029551729812469948,25,0.00013074311999999999,0.0007802564000000001,0.00548096,0.0178336,0.0405123,0.08490237999999997,0.09806047999999996,0.008723509239249997,0.01930527212432557,112,0.0,0.0,0.0,0.000215469,0.0068317975,0.04297893499999999,0.09624864200000001,0.009108766188940083,0.030058322281710393,267,0.0,0.0,0.0,0.000725096,0.006349955,0.025698599999999995,0.1289668799999994
-36.4063,0.025122713015999998,0.033553456850338385,25,0.00018910954400000002,0.0007089966,0.00222796,0.00944226,0.0296715,0.09471697999999998,0.10498989599999997,0.006616119735053571,0.016034853755159183,112,0.0,0.0,0.0,0.0003552755,0.004470975,0.044346145,0.06767649,0.009179586047250941,0.03032707183151916,267,0.0,0.0,1.372455e-05,0.00106512,0.006485595,0.03236704999999998,0.12413405999999853
-35.4063,0.025648445372000013,0.040515031546063306,25,0.00010423226799999999,0.00039734640000000006,0.00151962,0.00603921,0.021232,0.12362915999999988,0.13560076,0.0056605455745526775,0.01529968643699839,112,0.0,0.0,0.0,0.0003338395,0.0028703775,0.03407519999999983,0.064278792,0.008929249623191762,0.03103863793580129,267,0.0,0.0,3.646755e-05,0.000935356,0.0054344,0.03835919999999994,0.1295957599999988
-34.4063,0.025786097239999996,0.04487042344871087,25,6.396668e-05,0.00023294140000000002,0.000863104,0.00366765,0.018003,0.13969031999999987,0.15176124,0.004848123166642858,0.013967618299228738,112,0.0,0.0,0.0,0.00023509950000000001,0.0022481525,0.026442694999999808,0.062404323000000005,0.008637546599249438,0.03144929046666929,267,0.0,0.0,5.049105e-05,0.0009145,0.004626315000000001,0.034936029999999965,0.13103083999999882
-33.4063,0.025539260680000005,0.047799849965473394,25,3.970384e-05,0.00013726840000000002,0.000491317,0.00224618,0.0143715,0.14942639999999988,0.15910008,0.004170229394408037,0.012817155066181802,112,0.0,0.0,1.0399542499999999e-07,0.00016358749999999999,0.001867975,0.021400654999999807,0.06609839,0.008431421901367045,0.03178278054931277,267,0.0,0.0,6.265605000000001e-05,0.000825515,0.004390245,0.03255702999999999,0.1319259799999985
-32.4063,0.02445587445155999,0.04897971006266275,25,2.28864124e-06,7.524582000000001e-06,4.76713e-05,0.00123873,0.0113419,0.15204419999999993,0.15854152,0.003468776491913394,0.0117183612878332,112,0.0,0.0,0.0,7.303244999999999e-05,0.0011174775,0.0176034984999998,0.067169147,0.008243502269274531,0.031833500713772465,267,0.0,0.0,3.89321e-05,0.000661178,0.004351605,0.03343193,0.1312001799999981
-31.4063,0.023079489194519992,0.048661687633261605,25,0.0,1.267306000000001e-07,6.80814e-05,0.000923295,0.00825252,0.14987479999999997,0.15224252,0.0028614642366348213,0.010683093594650266,112,0.0,0.0,0.0,3.2670749999999995e-05,0.0008175965,0.013651969499999833,0.053887858000000004,0.00820857843981103,0.031831380354683525,267,0.0,0.0,2.853515e-05,0.000673968,0.004472735,0.03363449999999997,0.1443631799999983
-30.4063,0.020838380612559996,0.04645274125048461,25,0.0,0.0,4.16175e-05,0.000614824,0.00549549,0.1378468,0.14707283999999995,0.0022457501610428565,0.00969792603671789,112,0.0,0.0,0.0,1.867065e-05,0.00042326775,0.008958049999999895,0.038150702,0.008242135815716032,0.03223406732152073,267,0.0,0.0,3.49273e-05,0.000711481,0.0044316649999999996,0.031245559999999985,0.1685811399999988
-29.4063,0.0178754026372,0.04133695926348747,25,0.0,0.0,1.16458e-05,0.00036044,0.00402527,0.1115992,0.14013759999999992,0.0017711911863000005,0.0092420591656671,112,0.0,0.0,0.0,8.424445e-06,0.00024272125,0.006034219499999933,0.024821462,0.008568777134668438,0.03272965690998683,267,0.0,0.0,4.041715e-05,0.000749064,0.004886405,0.02896409999999999,0.1917758199999992
-28.4063,0.015363775263855996,0.0360556848167414,25,0.0,0.0,7.80608e-06,0.000259068,0.00285861,0.0895691,0.12553564799999992,0.0014992442502860712,0.009228982621265475,112,0.0,0.0,0.0,7.365375000000001e-06,0.00014232375,0.00364923249999997,0.016757995,0.009196223328388767,0.033312724963675294,267,0.0,0.0,4.4224499999999996e-05,0.000794706,0.005516215,0.032261429999999994,0.21105729999999961
-27.4063,0.014154557207999997,0.03257425745283504,25,0.0,0.0,2.60299e-06,0.00017717,0.00161838,0.08133573999999999,0.10908840799999993,0.001311005499345803,0.00943358835089912,112,0.0,0.0,0.0,2.841255e-06,0.0001265705,0.0024014454999999844,0.0097336433,0.01014330865036292,0.034332502391528304,267,0.0,0.0,6.273935000000001e-05,0.00111381,0.00619128,0.03738375999999997,0.22698481999999992
-26.4063,0.015132827186599999,0.03396857767094416,25,0.0,0.0,0.0,1.72058e-05,0.000968734,0.09361191999999999,0.09999464799999999,0.0012220046389312502,0.009849545891913497,112,0.0,0.0,0.0,3.36872e-06,9.8537975e-05,0.0018004174999999966,0.0060932118000000006,0.011498928707501504,0.035825493277854344,267,0.0,0.0,0.0001231305,0.00170393,0.007665775,0.04528506999999997,0.23977277999999996
-25.4063,0.0181849977718,0.04111088162605717,25,0.0,0.0,0.0,3.94994e-06,0.000742704,0.11490643999999994,0.12531539999999997,0.0012481347116749999,0.010358786457833655,112,0.0,0.0,0.0,1.813395e-06,0.00012245425,0.0019207759999999984,0.004551906400000001,0.013314497193627338,0.03769300881275311,267,0.0,0.0,0.000261704,0.00246953,0.010222849999999999,0.05496232999999994,0.25029177999999985
-24.4063,0.02231715145024,0.05214813925561614,25,0.0,0.0,0.0,7.47356e-07,0.0005921,0.15301439999999988,0.16926735999999998,0.0012780518519333029,0.010521710394387804,112,0.0,0.0,0.0,7.21296e-07,0.00016882675,0.0018272494999999928,0.004114173600000001,0.015536433213904877,0.03998559550588618,267,0.0,0.0,0.000490399,0.00362605,0.014114100000000001,0.06447135999999998,0.25945973999999955
-23.4063,0.0262677239124,0.06356845898969715,25,0.0,0.0,0.0,0.0,0.000110198,0.1907593999999998,0.21349727999999998,0.0013066977476849108,0.010283628182528058,112,0.0,0.0,0.0,0.0,0.00012370125,0.0023317819999999884,0.004813570200000001,0.01812716246031127,0.04258896557598214,267,0.0,5.199030000000012e-10,0.0006738250000000001,0.00492902,0.01839265,0.07628644999999994,0.2677791799999991
-22.4063,0.02871759629336,0.07119563708755319,25,0.0,0.0,0.0,0.0,4.38333e-05,0.21660979999999974,0.24315048,0.0013884201686008932,0.009757839220419721,112,0.0,0.0,0.0,0.0,0.00021836775,0.0030937259999999954,0.007268732000000001,0.020855664849925095,0.045049043073172666,267,0.0,1.4492870000000005e-06,0.00117394,0.00641001,0.022675849999999997,0.08712874999999996,0.27230481999999856
