Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-37.4063,0.3997215384615385,0.08549455868590972,26,0.26894875,0.28655175,0.34285299999999996,0.378608,0.46265049999999996,0.55541825,0.582257,0.3345675044247788,0.060108748592821906,113,0.24338512,0.257943,0.295264,0.323805,0.370615,0.4504479999999999,0.5004315599999999,0.3426541026615971,0.06364187893270311,263,0.2442258,0.26134579999999996,0.2979255,0.325764,0.37628249999999996,0.4693746999999999,0.51613208
-36.4063,0.3896508076923078,0.08467394702836013,26,0.278084,0.282558,0.316428,0.391808,0.44796674999999997,0.5315712499999999,0.56439825,0.32015930088495564,0.05648667670975371,113,0.24458848,0.25589259999999997,0.281096,0.306068,0.351222,0.41424959999999994,0.48488671999999994,0.32551345247148294,0.059537308683989536,263,0.23477922,0.25172059999999996,0.281392,0.311092,0.363501,0.4442408,0.48201541999999997
-35.4063,0.3772667307692307,0.08550196981055241,26,0.264934,0.26794675,0.30519825,0.3689195,0.43678425,0.5278845,0.537556,0.3087101858407081,0.05458219635715031,113,0.23835988,0.2478034,0.27049,0.294426,0.338893,0.4025294,0.4748089999999999,0.31259007984790893,0.055142726116250075,263,0.22843986,0.2440068,0.2724135,0.302965,0.3463115,0.4157191,0.45224098
-34.4063,0.3636891538461538,0.0873240180063617,26,0.245843,0.2549365,0.2971855,0.357211,0.43262975,0.51136475,0.529191,0.2963719026548672,0.052373168580316244,113,0.22918048000000002,0.2376576,0.261501,0.281955,0.32172,0.3869261999999999,0.45496788,0.2988024752851712,0.05105309524809095,263,0.2191273,0.23234120000000003,0.26227849999999997,0.287115,0.328769,0.3961769999999999,0.42681677999999995
-33.4063,0.34991915384615396,0.08973202907711039,26,0.2276325,0.2401615,0.28564625,0.334488,0.4289325,0.48902225,0.52565975,0.28412238938053097,0.0501210016149193,113,0.2217682,0.2297196,0.250796,0.269974,0.306735,0.3731225999999999,0.4422138399999999,0.2847566273764257,0.04675850259592681,263,0.20932583999999999,0.223518,0.250836,0.275438,0.311835,0.3695717,0.41103083999999995
-32.4063,0.3335389615384615,0.09184490224524419,26,0.2068275,0.22344725,0.26734275,0.30650350000000004,0.40889149999999996,0.46579175,0.519299,0.27062450442477864,0.047752280376386944,113,0.21065699999999998,0.219473,0.236694,0.257637,0.289423,0.36018039999999996,0.4309085199999999,0.26977094676806085,0.042358985917590394,263,0.19871548,0.2136079,0.23739349999999998,0.26377,0.2962945,0.3435601,0.3974716
-31.4063,0.3135528076923077,0.09322315257832434,26,0.18674649999999998,0.20307775,0.24189,0.277666,0.383515,0.4386475,0.50832775,0.2549991592920355,0.044731024693551495,113,0.1971852,0.2085312,0.223394,0.242433,0.270576,0.3400506,0.4109279199999999,0.2530955589353612,0.03779791095134274,263,0.18728974,0.1985944,0.22558050000000002,0.249536,0.2759325,0.31718789999999997,0.37187343999999994
-30.4063,0.2889121538461539,0.09420981374090166,26,0.16739500000000002,0.18008375,0.21139249999999998,0.249254,0.35876775,0.42287474999999997,0.49962900000000005,0.23746882300884947,0.04122422814668363,113,0.18431044,0.1909428,0.208227,0.226546,0.250161,0.3120298,0.3768270399999999,0.23482287452471465,0.03331758008958905,263,0.17518692,0.1877317,0.211704,0.232899,0.25297000000000003,0.29221549999999996,0.3381993999999999
-29.4063,0.26537442307692305,0.09316819625008228,26,0.1504,0.16100575,0.19429325,0.2345445,0.32984475,0.40494375,0.48588025,0.22154029203539813,0.037688984957876294,113,0.15990516,0.17674499999999999,0.195787,0.217093,0.231956,0.28554719999999995,0.34386487999999993,0.21902130798479083,0.030149655623345185,263,0.16050164,0.1769494,0.1991715,0.216635,0.23436600000000002,0.26770809999999995,0.31339927999999984
-28.4063,0.24479642307692304,0.08962118262784667,26,0.1370735,0.1449995,0.17551,0.222081,0.29944125,0.3836705,0.46590525000000005,0.20903644247787612,0.034969354729212046,113,0.14756940000000002,0.1651588,0.188236,0.204135,0.22137,0.26422979999999996,0.3179000799999999,0.2076608631178707,0.028271922619168388,263,0.14938028,0.16447900000000001,0.188452,0.207588,0.22221950000000001,0.2526398999999999,0.2961790599999999
-27.4063,0.2274673076923077,0.08607036369611516,26,0.12699,0.13167525,0.165356,0.211111,0.27790575,0.37053175,0.44790325,0.19887416814159287,0.032734040624211785,113,0.14132815999999998,0.1578808,0.180055,0.194895,0.216098,0.24819979999999997,0.29506952,0.1999914600760455,0.027181612382125204,263,0.14105594000000002,0.15842409999999998,0.182492,0.198494,0.215281,0.2415442,0.2870731999999999
-26.4063,0.21558276923076924,0.08417508510351869,26,0.12032425,0.121866,0.153507,0.196297,0.26735424999999996,0.36519,0.43527925,0.191778424778761,0.030805653985570024,113,0.13548552,0.1496928,0.174912,0.188134,0.207371,0.24040659999999997,0.2791162,0.19622087072243344,0.026559138809960216,263,0.13964246,0.1560668,0.17917850000000002,0.194591,0.211614,0.23658499999999996,0.28039974
