Arc_Length,0-3m_mean,0-3m_std,0-3m_N,0-3m_p1,0-3m_p5,0-3m_p25,0-3m_p50,0-3m_p75,0-3m_p95,0-3m_p99,4-9m_mean,4-9m_std,4-9m_N,4-9m_p1,4-9m_p5,4-9m_p25,4-9m_p50,4-9m_p75,4-9m_p95,4-9m_p99,10-60m_mean,10-60m_std,10-60m_N,10-60m_p1,10-60m_p5,10-60m_p25,10-60m_p50,10-60m_p75,10-60m_p95,10-60m_p99
-37.4063,0.001057429576923077,9.46316432101538e-05,26,0.0009412695,0.0009470362499999999,0.0009872560000000002,0.0010446700000000001,0.0011015225000000001,0.0012376075000000001,0.0013198525,0.0009196930176991146,5.396136487289876e-05,113,0.00082419568,0.000850138,0.000886222,0.000907873,0.000948915,0.001019466,0.0010669444,0.0008655372661596954,5.86318033049597e-05,263,0.00076305692,0.0007977212,0.0008384895,0.000860786,0.0008839675,0.00093323,0.00099364014
-36.4063,0.0010599418461538462,0.00010356028741315556,26,0.00093731225,0.00095187675,0.0009693004999999999,0.001046765,0.0010965425,0.001232725,0.0013133575,0.0009189269292035397,4.620910142101662e-05,113,0.00083055592,0.0008569898,0.00088761,0.000909363,0.000951933,0.001006834,0.0010305064,0.000863395452471483,4.32284951190337e-05,263,0.00078040488,0.0007909192,0.0008386165,0.000861469,0.000884626,0.0009328288,0.00097910154
-35.4063,0.0010686759999999997,0.00011213498438114663,26,0.00094008025,0.0009537505,0.00097590925,0.0010520199999999999,0.0011084425,0.001295105,0.001319715,0.0009215184955752208,4.455810604827538e-05,113,0.00083834372,0.0008589918,0.000890544,0.000921147,0.000949785,0.0010058442,0.0010300508,0.0008639339011406842,4.102733862718717e-05,263,0.0007741802,0.0007964009,0.000838953,0.000863337,0.0008882345000000001,0.0009275325,0.00097966736
-34.4063,0.001075130076923077,0.00011769712566479204,26,0.00093925775,0.0009525965,0.0009823375,0.001051615,0.0011171825000000002,0.0013297075,0.0013392974999999999,0.0009242663451327438,4.388228600894546e-05,113,0.00084607312,0.0008611036,0.000892357,0.000923518,0.000953368,0.0010030701999999996,0.0010352376,0.000864103414448669,4.043521271647786e-05,263,0.00077187516,0.000798614,0.000839926,0.00086449,0.000888369,0.0009288247999999999,0.00097112
-33.4063,0.0010796914615384616,0.00012031338372873761,26,0.00093682575,0.000954923,0.0009923727499999999,0.00105778,0.0011228574999999998,0.0013479375,0.00136468,0.0009273583893805307,4.2998459945517996e-05,113,0.00085419068,0.000866976,0.000896069,0.000927508,0.000951162,0.0010012524,0.0010430472,0.0008639615437262359,3.9941271300643784e-05,263,0.0007681124,0.0007992030000000001,0.0008376785,0.000864759,0.000890687,0.0009278457999999999,0.0009660013000000001
-32.4063,0.0010838561923076921,0.00012030795083119625,26,0.00093681525,0.00096076525,0.001000947,0.001067535,0.00112125,0.00135737,0.0013791475,0.0009314538318584074,4.248091114020312e-05,113,0.00085705172,0.0008712676,0.000901586,0.000931682,0.000957465,0.001006554,0.0010506163999999998,0.0008640384448669202,4.010549937119333e-05,263,0.0007644006,0.0007971629,0.0008371184999999999,0.000864474,0.0008918,0.0009256503,0.00095937516
-31.4063,0.0010880035,0.0001181129622919517,26,0.00094137775,0.0009695985,0.0010097875,0.0010775749999999999,0.0011232675,0.0013600650000000001,0.0013839775,0.0009365993716814161,4.2544666207829386e-05,113,0.00085899748,0.0008787274,0.000906588,0.000938504,0.000959431,0.001003322,0.001047838,0.0008640038935361216,4.0726287252933695e-05,263,0.000758683,0.0007975005000000001,0.0008399745,0.000865596,0.0008913875,0.0009293664999999999,0.0009575508199999999
-30.4063,0.001091477423076923,0.00011298970632271703,26,0.0009469875,0.00097709375,0.0010190149999999999,0.00108233,0.001118925,0.0013528124999999998,0.001375735,0.000943190274336283,4.29995936804407e-05,113,0.00086495864,0.0008874668,0.000912031,0.000943035,0.000971178,0.001013176,0.0010508604,0.0008638494866920151,4.207367261887283e-05,263,0.0007511419399999999,0.0007948766999999999,0.0008382585,0.00086628,0.0008912670000000001,0.0009296395,0.0009577424799999999
-29.4063,0.001091938846153846,0.00010470075412667944,26,0.00095476075,0.0009878235,0.0010239950000000002,0.00107629,0.0011154625,0.00133334,0.0013465025,0.0009494525929203544,4.312078148345089e-05,113,0.00086929616,0.0008905608,0.000923414,0.000945709,0.000975779,0.0010229619999999999,0.0010555692,0.0008633416311787076,4.3909466066717496e-05,263,0.0007459144,0.0007881356,0.0008354225,0.000865161,0.000890177,0.0009266971,0.0009581561
-28.4063,0.0010919114615384616,9.757981175519076e-05,26,0.000965658,0.00099980575,0.0010335175,0.001072445,0.0011064825,0.0013140375,0.0013160025,0.0009555196548672567,4.333282152602812e-05,113,0.0008762454,0.0008899164000000001,0.000926185,0.000953596,0.000979549,0.001035606,0.0010642680000000002,0.0008633405741444868,4.614308733182697e-05,263,0.0007429609800000001,0.0007840374,0.0008345045,0.000867864,0.0008919415,0.0009315981,0.0009596172199999999
-27.4063,0.0010932913461538462,9.540583092827913e-05,26,0.0009763862500000001,0.0010051625000000002,0.0010349675,0.00107254,0.001098805,0.0013003,0.0013283825,0.0009616521504424779,4.4256313763692285e-05,113,0.00088331116,0.0008909660000000001,0.000932704,0.000958484,0.000986454,0.0010445939999999998,0.001076994,0.0008641094562737641,4.878494572471654e-05,263,0.00074157592,0.0007804753,0.000834567,0.000868892,0.000898115,0.0009380644,0.00095948034
-26.4063,0.0010977151153846155,9.933128873193054e-05,26,0.0009855372500000002,0.00100519,0.0010431174999999998,0.001069775,0.0010935775,0.0013066175,0.0013554275,0.0009679768053097344,4.596915667808036e-05,113,0.00088227328,0.000892605,0.00093684,0.000962216,0.000996639,0.001050488,0.0010907496,0.0008659831216730032,5.142368681813734e-05,263,0.00074154694,0.0007778992,0.0008351249999999999,0.000869023,0.000903357,0.0009457523999999999,0.0009580546
-25.4063,0.0011048400384615384,0.00010739336518071525,26,0.0009915932500000001,0.0010053975,0.0010483075,0.00107202,0.0010961725,0.001333505,0.0013881125,0.0009743470088495578,4.795967304459616e-05,113,0.00087994,0.0009006236,0.000940099,0.000969781,0.00100652,0.001055194,0.0011012944,0.0008689206958174899,5.387998346352063e-05,263,0.00074241202,0.0007764932,0.0008361544999999999,0.000870047,0.0009066285,0.0009513620000000001,0.00096209714
-24.4063,0.001112872576923077,0.00011739341562734194,26,0.00099640775,0.0010075275,0.0010538775000000001,0.0010754850000000002,0.0011006725,0.0013732475,0.00142186,0.0009801997876106197,4.9781685022213904e-05,113,0.00087769172,0.0009059774,0.000946184,0.000972058,0.00101344,0.0010640479999999997,0.0011074916,0.0008722187946768067,5.6244357975600116e-05,263,0.00074273238,0.0007725677,0.0008372235,0.000877591,0.0009122185,0.0009552857,0.00097249104
-23.4063,0.0011200259999999999,0.00012735974073466077,26,0.001001837,0.0010129450000000001,0.0010477375,0.0010805300000000001,0.0011004324999999999,0.0014146375,0.00145078,0.000985034601769911,5.125145867271554e-05,113,0.0008831942,0.0009073404,0.000950281,0.000978003,0.0010189,0.001070986,0.0011124111999999999,0.0008751746159695815,5.8584791398053854e-05,263,0.0007431742,0.0007685738,0.0008384845,0.000882056,0.0009175254999999999,0.0009605891,0.00098325368
-22.4063,0.0011238915384615385,0.00013471332438010156,26,0.00100654,0.001018845,0.0010509500000000001,0.00108191,0.0011004775,0.0014442675000000001,0.001465815,0.0009876124159292033,5.2021724616075675e-05,113,0.00089006304,0.0009117190000000001,0.000952206,0.000980901,0.00102211,0.001074312,0.0011142947999999999,0.0008768553269961979,6.0571862290909046e-05,263,0.0007426387,0.0007646970000000001,0.0008377115,0.000884273,0.000918838,0.0009644268,0.0009904966200000001
-21.4063,0.0011229319230769232,0.0001375838724856727,26,0.0010077675,0.00101419,0.0010482924999999999,0.00107872,0.00110159,0.0014526625,0.0014640875,0.000987646389380531,5.206546734648352e-05,113,0.00089257312,0.0009116158,0.000950014,0.000979469,0.00102457,0.001073686,0.0011124519999999999,0.0008768385817490493,6.209080710533836e-05,263,0.0007406626,0.0007601042,0.0008362765,0.000882579,0.0009194275,0.0009706008,0.0010013236
-20.4063,0.001116991346153846,0.0001357978888315845,26,0.00099952625,0.00101067,0.0010403250000000001,0.0010693249999999999,0.001099475,0.0014394975,0.0014481625,0.0009851658053097341,5.151661416958098e-05,113,0.00089427484,0.000913727,0.000947371,0.000976652,0.0010244,0.001077026,0.0011073544,0.0008751476425855508,6.300277364791001e-05,263,0.0007377525400000001,0.0007594174,0.0008336405,0.000881058,0.0009183030000000001,0.000969936,0.0010026392
-19.4063,0.0011083921153846154,0.00013087431364613208,26,0.00098872375,0.001007165,0.0010330875,0.00105813,0.001094215,0.0014134775,0.0014253075,0.000980848690265487,5.0712034762132224e-05,113,0.0008943298,0.0009155152,0.000943765,0.000973492,0.00101841,0.001072316,0.0010956403999999999,0.0008723194714828907,6.315171999517808e-05,263,0.0007343405000000001,0.0007605966,0.000832536,0.000878003,0.0009170974999999999,0.0009670813,0.0010012438
-18.4063,0.0010999994615384615,0.00012457113405415582,26,0.0009809195,0.0009986474999999998,0.0010312449999999999,0.001048245,0.001086875,0.00138039,0.00140142,0.0009759854424778761,4.9870890682831135e-05,113,0.00089458088,0.0009105532,0.000935739,0.000965124,0.00101157,0.00106666,0.0010842992,0.0008691732319391636,6.258083303085148e-05,263,0.00073158366,0.0007586232,0.0008316475,0.000873474,0.0009133705,0.0009659593,0.0009970813
-17.4063,0.0010938495384615382,0.00011863267756540969,26,0.0009793045,0.0009948585,0.0010323725,0.00104509,0.0010807025,0.00134727,0.0013826099999999998,0.0009717037433628314,4.900686530090503e-05,113,0.00089533864,0.0009050652,0.000931403,0.000965684,0.00100669,0.0010558639999999999,0.0010807044,0.0008664481863117869,6.163839381182638e-05,263,0.00073070582,0.0007612675,0.0008308025,0.000869019,0.000906715,0.0009629908,0.0009883345
-16.4063,0.0010903798461538463,0.00011411759187388853,26,0.0009824905,0.00099449475,0.0010254600000000002,0.00105002,0.001076695,0.0013179875,0.001370825,0.0009686536902654865,4.8154341066935064e-05,113,0.0008898972,0.0009023880000000001,0.000927282,0.000960329,0.00100345,0.0010504800000000001,0.0010787748,0.0008645867262357412,6.071262723767059e-05,263,0.00073152096,0.0007554452000000001,0.0008292795,0.000866362,0.0009023480000000001,0.0009599063,0.00098537304
